CODI_DIVISIO_TERRITORIAL;TIPUS_VEHICLE;CODI_TIPUS_VEHICLE;ANTIGUITAT;POTENCIA_FISCAL;CILINDRADA;PLACES;MARCA;NR_VEHICLES
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2009;13,19;1968;5;Seat;3
B-01;FURGONETA;Camions de 1.000 a 2.999 kg de càrrega  ;2007;14,09;2198;3;Peugeot;2
B-01;MOTOCICLETA;Motocicletes de més de 500 fins a 1000cc;2007;5,13;600;2;Yamaha;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2005;13,3;1997;7;Peugeot;2
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;2005;1,44;125;2;Honda;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2005;11,47;1560;5;Mazda;4
B-01;TODO TERRENO;Turismes de 16 fins a 19,99 CV          ;2001;17,66;3200;7;Mitsubishi;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2005;12,02;1686;5;Honda;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2002;11,59;1587;5;Citroen;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2010;12,9;1896;5;Skoda;4
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2012;11,64;1598;5;Volkswagen;2
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes de més de 125 fins a 250 cc;2000;2,14;239;2;Yamaha;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2007;10,74;1398;4;Citroen;2
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;2004;1,44;124;2;Piaggio;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2000;10,73;1396;5;Honda;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2008;13,19;1968;5;Seat;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2014;10;1242;4;Ford;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2001;11,59;1587;5;Citroen;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2006;12,89;1896;5;A.U.D.I.;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2001;13,12;1951;5;B.M.W.;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2002;11,63;1596;5;Fiat;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2010;13,19;1968;5;Audi;2
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;2011;1,45;125;2;Kymco;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2009;11,64;1598;5;Renault;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2007;11,64;1598;5;Toyota;2
