CODI_DIVISIO_TERRITORIAL;TIPUS_VEHICLE;CODI_TIPUS_VEHICLE;ANTIGUITAT;POTENCIA_FISCAL;CILINDRADA;PLACES;MARCA;NR_VEHICLES
B-09;CICLOMOTOR DOS RUEDAS;Ciclomotors                             ;2000;0;49;2;Derbi;2
B-09;CICLOMOTOR DOS RUEDAS;Ciclomotors                             ;2000;0;49,4;2;Piaggio;3
B-09;CICL. 2 RUEDAS;Ciclomotors                             ;2003;0;49;2;Derbi;2
B-09;CICL. 2 RUEDAS;Ciclomotors                             ;2006;0;49;2;Yamaha;4
B-09;CICLOMOTOR DOS RUEDAS;Ciclomotors                             ;2000;0;49,94;2;Derbi;3
B-09;MOTOCICLETA;Ciclomotors                             ;2012;1,14;49;2;Kymco;2
B-09;CICL. 2 RUEDAS;Ciclomotors                             ;2001;0;49,13;2;Peugeot;3
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2007;11,47;1560;5;Citroen;13
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2005;12,78;1870;5;Renault;12
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2006;11,47;1560;5;Citroen;15
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2003;11,59;1587;5;Peugeot;5
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2007;10,74;1398;5;Citroen;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2005;12,89;1896;5;Seat;16
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2013;12,49;1798;5;Toyota;5
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2010;10,51;1349;5;Mazda;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2010;10,74;1384;5;Citroen;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2012;11,02;1461;5;Renault;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2004;8,77;998;5;Toyota;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;1998;11,63;1597;5;Ford;3
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;1987;11,46;1598;5;Opel;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;1999;12,78;1870;5;Renault;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;1997;12,89;1896;5;Seat;8
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;1999;10,7;1390;5;Volkswagen;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;1999;13,3;1997;5;Citroen;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;1998;12,89;1896;5;Seat;6
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;1990;12;1781;5;Volkswagen;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2013;9,78;1197;5;Seat;5
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2004;11,45;1398;4;Citroen;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2000;10,7;1390;5;Seat;6
B-09;MOTOCICLETA;Motocicletes fins a 125 cc              ;2013;1,45;125;2;Kymco;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2005;9,55;1150;5;Chevrolet;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2002;10,75;1398;5;Peugeot;2
B-09;MOTOCICLETA;Motocicletes de més de 125 fins a 250 cc;2002;2,78;234;2;Honda;3
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2001;12,42;1781;5;Audi;3
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2010;10,7;1390;5;Volkswagen;3
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2011;11,47;1560;5;Peugeot;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2005;14,03;2184;5;Nissan;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2003;13,98;2172;5;Opel;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2014;13,3;1997;5;Ford;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2012;11,64;1598;5;Citroen;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2010;11,02;1461;5;Renault;8
B-09;VEHICULO MIXTO ADAPTABLE;Turismes de 8 fins a 11,99 CV           ;2007;11,47;1560;5;Peugeot;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;0;13,3;1995;7;Nissan;3
B-09;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;2012;1,45;124;2;S.Y.M;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2006;13,3;1995;5;Bmw;3
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2006;10,7;1390;5;Seat;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2000;11,62;1595;5;Volkswagen;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;0;10,75;1398;5;Citroen;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2015;13,88;2143;5;Mercedes-Benz;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2001;9,42;1124;5;Citroen;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2004;13,31;1997;7;Peugeot;5
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2001;13,29;1995;7;Opel;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2012;13,14;1956;5;Opel;2
B-09;VEHIC. MIXTO;Turismes de 12 fins a 15,99 CV          ;2006;13,3;1997;5;Peugeot;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2014;11,64;1598;5;Opel;2
B-09;MOTOCICLETA;Motocicletes fins a 125 cc              ;2005;1,91;125;2;Honda;2
B-09;MOTOCICLETA;Motocicletes fins a 125 cc              ;2006;1,45;125;2;Suzuki;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2007;12,3;1753;5;Ford;2
B-09;MOTOCICL.2 RUEDAS S.SID.;Motocicletes de més de 250 fins a 500 cc;2010;2,34;279;2;Honda;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2008;11,64;1598;4;Mini;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2008;10,74;1397;4;Mini;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2013;10;1242;4;Ford;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2007;13,3;1995;5;Bmw;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2001;12,37;1769;5;Nissan;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2008;12,78;1870;5;Renault;3
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2005;13,19;1968;5;Skoda;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2005;13,3;1998;5;Mazda;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2015;11,03;1461;5;Nissan;4
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2006;12,48;1794;7;Toyota;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2008;13,3;1995;5;Bmw;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2015;11,47;1560;5;Peugeot;2
B-09;MOTOCICLETA;Motocicletes fins a 125 cc              ;2007;1,45;125;2;Yamaha;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2002;11,59;1587;7;Peugeot;3
B-09;CAMION;Camions de 1.000 a 2.999 kg de càrrega  ;2009;13,9;2148;3;Mercedes-Benz;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2015;10,03;1248;5;Hyundai;4
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2012;13,19;1968;5;Volkswagen;3
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2005;9,99;1240;5;Nissan;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2011;11,64;1598;5;Skoda;3
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2006;14,09;2198;5;Jaguar;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2007;13,19;1968;5;Volkswagen;5
B-09;MOTOCICLETA DE 2 RUEDAS;Motocicletes fins a 125 cc              ;0;1,45;125;2;Honda;5
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2005;10,74;1398;4;Citroen;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2005;12,48;1794;7;Toyota;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2012;12,02;1686;5;Opel;4
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2008;12,94;1910;7;Opel;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2005;13,19;1968;5;A.U.D.I.;4
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2006;10,69;1388;5;Ford;3
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2007;14,12;2204;5;Honda;3
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2000;12,89;1896;5;Volkswagen;8
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2008;11,45;1560;5;Peugeot;7
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2012;10,7;1390;5;Seat;6
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2014;11,02;1461;5;Dacia;6
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2014;11,03;1461;5;Nissan;3
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2005;10,75;1398;5;Peugeot;3
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2008;12,3;1753;5;Ford;5
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2006;10,7;1390;5;Volkswagen;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2006;12,89;1896;5;Seat;9
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2007;11,63;1598;5;Opel;2
B-09;MOTOCICLETA;Motocicletes fins a 125 cc              ;2007;1,45;125;2;Kymco;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2003;10,56;1360;5;Citroen;3
B-09;MOTOCICLETA;Motocicletes de més de 125 fins a 250 cc;2007;2,19;249;2;Suzuki;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2008;14,21;2231;7;Toyota;3
B-09;MOTOCICLETA;Motocicletes fins a 125 cc              ;2007;1,45;125;2;Suzuki;4
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2007;9,93;1229;5;Opel;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;0;11,47;1560;5;Citroen;3
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2007;15,18;2231;5;Toyota;2
B-09;MOTOCICLETA;Motocicletes de més de 500 fins a 1000cc;2006;6,46;599;2;Honda;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2008;11,47;1560;5;Citroen;5
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2003;9,99;1240;5;Nissan;4
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2002;13,3;1997;5;Citroen;12
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2005;11,64;1598;5;Chevrolet;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2005;11,63;1596;5;Ford;5
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2006;10,74;1399;5;Ford;3
B-09;MOTOCICLETA;Motocicletes de més de 250 fins a 500 cc;2009;4,39;499;2;Yamaha;2
B-09;MOTOCICLETA;Motocicletes fins a 125 cc              ;2006;1,44;125;2;Honda;6
B-09;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;2007;1,45;125;2;Honda;2
B-09;MOTOCICLETA;Motocicletes de més de 125 fins a 250 cc;2005;2,19;249;2;Honda;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2003;10,57;1360;5;Peugeot;3
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2014;12,02;1685;5;Kia;5
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2010;11,64;1598;5;Seat;9
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2015;13,3;1997;7;Ford;2
B-09;MOTOCICLETA;Motocicletes fins a 125 cc              ;2010;1,45;125;2;Honda;5
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2005;11,64;1598;5;Toyota;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2015;11,02;1461;5;Renault;5
B-09;MOTOCICLETA;Motocicletes de més de 500 fins a 1000cc;2009;7,38;748;2;Kawasaki;3
B-09;MOTOCICLETA;Motocicletes fins a 125 cc              ;2004;1,45;125;2;Honda;4
B-09;MOTOCICLETA;Motocicletes de més de 125 fins a 250 cc;0;2,88;248;2;Suzuki;2
B-09;CICL. 2 RUEDAS;Ciclomotors                             ;2001;0;49;2;Honda;6
B-09;CICLOMOTOR DOS RUEDAS;Ciclomotors                             ;2000;0;49;1;Yamaha;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2013;11,02;1461;5;Dacia;5
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2002;12,89;1896;5;Seat;12
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;0;11,64;1598;5;Volkswagen;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2001;11,64;1598;5;Opel;3
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2001;13,12;1951;5;Bmw;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2005;10,45;1332;5;Mitsubishi;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2002;12,89;1896;5;Audi;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2004;13,3;1998;5;Ford;3
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2006;13,3;1995;5;B.M.W.;4
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2014;13,29;1995;5;Mini;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2011;11,02;1461;5;Renault;4
B-09;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;2006;1,45;125;2;Honda;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2013;11,64;1598;5;Seat;12
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2012;11,64;1598;5;Nissan;5
B-09;TURISMO;Turismes de 16 fins a 19,99 CV          ;2005;19,68;2926;5;Bmw;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2004;12,9;1896;5;Volkswagen;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2002;11,59;1587;5;Citroen;5
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2006;13,3;1997;5;Ford;3
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2000;13,3;1995;7;Opel;2
B-09;MOTOCICLETA;Motocicletes fins a 125 cc              ;2008;1,44;124;2;Aprilia;3
B-09;MOTOCICLETA;Motocicletes de més de 250 fins a 500 cc;0;4,38;498;2;Kawasaki;2
B-09;VEHICULO MIXTO ADAPTABLE;Turismes de 12 fins a 15,99 CV          ;2000;12,78;1870;5;Renault;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;1997;12,02;1686;5;Opel;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;1999;13,21;1974;5;Nissan;4
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;1998;12,42;1781;5;Audi;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2000;12,34;1761;5;Citroen;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;1993;13;1984;5;Volkswagen;3
B-09;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;1996;1,46;74;2;Honda;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;1999;12,43;1783;5;Renault;2
B-09;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;1999;1,75;101;2;Honda;3
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;1999;10,7;1390;5;Renault;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;1997;11,18;1495;5;Hyundai;2
B-09;MOTOCICL.2 RUEDAS S.SID.;Motocicletes de més de 125 fins a 250 cc;1988;2,14;239;2;Yamaha;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2004;12,01;1686;5;Opel;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2004;12,94;1910;5;Opel;2
B-09;MOTOCICLETA DE 2 RUEDAS;Motocicletes fins a 125 cc              ;2012;1,45;124;2;Kymco;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2007;11,03;1461;5;Nissan;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2013;11,47;1560;5;Citroen;4
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2001;11,32;1527;5;Citroen;3
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2007;13,3;1995;5;B.M.W.;2
B-09;MOTOCICLETA;Motocicletes fins a 125 cc              ;2010;1,45;124;2;Daelim;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2009;11,03;1461;5;Nissan;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;1998;11,64;1598;5;Renault;6
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;1995;10,7;1390;5;Renault;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;1998;12,37;1769;5;Peugeot;3
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;1998;11,62;1595;5;Volkswagen;3
B-09;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;1997;1,75;101;2;Honda;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;1973;8,26;903;5;Seat;2
B-09;TURISMO;Turismes de menys de 8 CV               ;1973;7,49;767;4;Seat;3
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2000;11,64;1598;5;Renault;2
B-09;MOTOCICLETA;Motocicletes fins a 125 cc              ;2014;1,45;124;2;Kymco;4
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2010;13,29;1995;5;Bmw;4
B-09;TODO TERRENO;Turismes de 12 fins a 15,99 CV          ;2006;15,18;2488;7;Nissan;3
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2008;12,78;1870;7;Renault;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2010;10,74;1399;5;Ford;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2014;10;1242;4;Ford;4
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2009;11,45;1560;5;Peugeot;6
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2015;14,01;2179;7;Mahindra;3
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2007;12,78;1870;7;Renault;3
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2008;10,03;1248;5;Fiat;3
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2004;11,63;1598;5;Opel;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2007;10,74;1398;4;Citroen;3
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2015;11,64;1598;5;Seat;6
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2011;12,02;1685;5;Hyundai;4
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2001;12,89;1896;5;A.U.D.I.;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2009;11,02;1461;5;Renault;6
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2007;11,47;1560;7;Citroen;5
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2006;10,57;1364;5;Opel;4
B-09;VEHIC. MIXTO;Turismes de 12 fins a 15,99 CV          ;2005;13,3;1997;5;Peugeot;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;0;13,31;1997;5;Peugeot;2
B-09;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;2012;1,45;125;2;Honda;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2000;13,3;1997;5;Citroen;11
B-09;MOTOCICLETA;Motocicletes fins a 125 cc              ;2003;1,45;125;2;Honda;5
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2006;10,6;1368;5;Fiat;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2001;12,89;1896;5;Audi;4
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2008;11,63;1596;5;Ford;3
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2013;13,29;1995;5;Bmw;3
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2006;13,28;1991;5;Kia;3
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2001;11,19;1498;5;Nissan;3
B-09;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;2013;1,45;124;2;S.Y.M;4
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2001;10,57;1360;5;Citroen;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2007;13,29;1995;7;Renault;2
B-09;VEHIC. MIXTO;Turismes de 12 fins a 15,99 CV          ;2004;12,78;1868;5;Peugeot;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2007;13,28;1991;5;Chevrolet;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2014;10,74;1398;5;Opel;3
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2001;14,04;2184;5;Nissan;3
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2008;12,89;1896;7;Volkswagen;2
B-09;MOTOCICLETA;Motocicletes de més de 125 fins a 250 cc;2014;2,2;249;2;Yamaha;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2015;10,73;1396;5;Hyundai;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2010;10,03;1248;5;Hyundai;7
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2009;9,54;1149;5;Renault;3
B-09;MOTOCICLETA;Motocicletes fins a 125 cc              ;2015;1,45;125;2;Honda;7
B-09;MOTOCICLETA;Motocicletes de més de 250 fins a 500 cc;2013;2,35;279;2;Honda;3
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2012;13,19;1968;7;Seat;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2011;11,63;1596;5;Ford;2
B-09;VEHIC. MIXTO;Turismes de 16 fins a 19,99 CV          ;2005;16,65;2902;7;Kia;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2006;13,31;1998;5;Honda;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2008;11,57;1582;5;Hyundai;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2006;12,3;1753;7;Ford;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2001;12,89;1896;7;Seat;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2014;11,47;1560;5;Ford;3
B-09;MOTOCICL.2 RUEDAS S.SID.;Motocicletes de més de 125 fins a 250 cc;2000;2,14;239;2;Yamaha;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2003;9,67;1422;5;Seat;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2002;13,98;2172;5;Opel;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2004;11,56;1598;5;Volkswagen;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2008;10,7;1390;5;Seat;4
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2001;11,64;1598;5;Seat;3
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2008;11,63;1598;5;Opel;3
B-09;MOTOCICLETA;Motocicletes de més de 125 fins a 250 cc;2007;2,19;250;2;Honda;3
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2005;10,74;1398;5;Citroen;5
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2007;10,7;1390;5;Renault;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2000;9,79;1199;5;Opel;3
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2005;11,47;1560;5;Citroen;14
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2006;10,68;1386;5;Nissan;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2006;11,59;1587;5;Citroen;2
B-09;MOTOCICLETA;Motocicletes fins a 125 cc              ;2015;1,44;124;2;Piaggio;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2015;8,72;1198;5;Nissan;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2004;10,74;1399;5;Daewoo;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2006;13,3;1997;5;Peugeot;4
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2001;10,57;1360;5;Peugeot;5
B-09;MOTOCICLETA;Motocicletes fins a 125 cc              ;2009;1,45;125;2;Honda;14
B-09;MOTOCICLETA;Motocicletes de més de 500 fins a 1000cc;2005;5,13;600;2;Yamaha;4
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2009;14,12;2204;5;Honda;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2006;11,59;1587;7;Peugeot;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2009;13,19;1968;5;Volkswagen;8
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2008;13,3;1997;5;Peugeot;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2009;12,9;1896;5;Volkswagen;2
B-09;MOTOCICLETA;Motocicletes de més de 500 fins a 1000cc;2008;5,13;600;2;Yamaha;2
B-09;MOTOCICLETA DE 2 RUEDAS;Motocicletes fins a 125 cc              ;2013;1,45;125;2;Kymco;3
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2014;11,47;1560;5;Citroen;12
B-09;MOTOCICLETA;Motocicletes de més de 500 fins a 1000cc;2007;3,93;660;2;Yamaha;2
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2009;12,89;1896;5;Seat;10
B-09;MOTOCICLETA;Motocicletes de més de 500 fins a 1000cc;2004;5,13;600;2;Yamaha;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2005;11,47;1560;7;Peugeot;3
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2014;9,78;1197;5;Seat;7
B-09;MOTOCICLETA;Motocicletes de més de 125 fins a 250 cc;2006;2,2;249;2;Yamaha;5
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2004;12,78;1870;7;Renault;3
B-09;MOTOCICLETA;Motocicletes fins a 125 cc              ;2015;1,44;125;2;Honda;3
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2002;10,57;1360;5;Peugeot;8
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2008;13,19;1968;5;Seat;6
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2005;12,01;1686;5;Opel;5
B-09;TURISMO;Turismes de 12 fins a 15,99 CV          ;2010;12,01;1686;5;Opel;3
B-09;TURISMO;Turismes de 20 CV en endavant           ;2003;20,85;3222;5;Mercedes;2
B-09;TURISMO;Turismes de 8 fins a 11,99 CV           ;2006;10,27;1299;5;Ford;2
