DIVISIO_TERRITORIAL;TIPUS_VEHICLE;DESCRIP_TARIFA;POTENCIA;CILINDRADA;PLACES;DECODE(TIPUS_VEHICLE,'CAMION',CARREGA,'REMOLQUE',CARREGA,NULL);MARCA;NR_VEHICLES
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;1;124;2;;Kymco;2
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;1;124;2;;Kymco;4
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;1;124;2;;Sym;2
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;1;124;2;;Yamaha;2
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;1;124;2;;Yamaha;3
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;1;124;2;;Yamaha;4
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;1;125;2;;Yamaha;3
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;1;125;2;;Daelim;2
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;1;125;2;;Honda;2
B-01;MOTOCICLETA DE 2 RUEDAS;Motocicletes fins a 125 cc              ;1;125;2;;Honda;2
B-01;MOTOCICLETA DE 2 RUEDAS;Motocicletes de més de 500 fins a 1000cc;7;998;2;;Honda;2
B-01;MOTOCICLETA DE 2 RUEDAS;Motocicletes de més de 500 fins a 1000cc;6;675;2;;Triumph;3
B-01;MOTOCICLETA DE 2 RUEDAS;Motocicletes de més de 500 fins a 1000cc;6;865;2;;Triumph;2
B-01;MOTOCICLETA DE 2 RUEDAS;Motocicletes de més de 500 fins a 1000cc;5;530;2;;Yamaha;2
B-01;MOTOCICLETA DE 2 RUEDAS;Motocicletes de més de 250 fins a 500 cc;2;292;2;;Yamaha;2
B-01;MOTOCICLETA DE 2 RUEDAS;Motocicletes fins a 125 cc              ;1;124;2;;Kymco;6
B-01;MOTOCICLETA DE 2 RUEDAS;Motocicletes de més de 125 fins a 250 cc;2;249;2;;Yamaha;2
B-01;MOTOCICLETA DE 2 RUEDAS;Motocicletes fins a 125 cc              ;1;125;2;;Suzuki;2
B-01;MOTOCICLETA DE 2 RUEDAS;Motocicletes fins a 125 cc              ;1;125;2;;Honda;2
B-01;MOTOCICLETA DE 2 RUEDAS;Motocicletes fins a 125 cc              ;1;124;2;;Yamaha;2
B-01;MOTOCICLETA DE 2 RUEDAS;Motocicletes fins a 125 cc              ;1;124;2;;S.Y.M;2
B-01;MOTOCICLETA DE 2 RUEDAS;Motocicletes de més de 250 fins a 500 cc;2;279;2;;Honda;2
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes de més de 500 fins a 1000cc;5;647;2;;Honda;3
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes de més de 500 fins a 1000cc;9;987;2;;Bmw;2
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;1;74;2;;Peugeot;2
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;1;74;2;;Vespa;2
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;1;75;2;;Vespa;3
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;1;125;2;;Vespa;2
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;1;72;2;;Yamaha;2
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;1;124;2;;Piaggio;2
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;1;124;2;;Piaggio;4
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;1;124;2;;Yamaha;2
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;1;124;2;;S.Y.M;2
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;1;125;2;;Honda;4
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;1;125;2;;Honda;5
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;1;125;2;;Honda;7
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;1;125;2;;Kymco;3
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;1;125;2;;Suzuki;7
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;1;74;2;;Honda;2
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;1;74;2;;Honda;9
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;2;101;2;;Honda;6
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;2;121;2;;Vespa;2
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;2;123;2;;Vespa;3
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes de més de 250 fins a 500 cc;4;399;2;;Honda;2
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes de més de 250 fins a 500 cc;2;298;2;;Kymco;3
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;2;124;2;;Peugeot;2
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes de més de 125 fins a 250 cc;3;197;2;;Vespa;2
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes de més de 125 fins a 250 cc;3;234;2;;Honda;4
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes de més de 125 fins a 250 cc;3;197;2;;Vespa;3
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes de més de 125 fins a 250 cc;3;197;2;;Vespa;2
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes de més de 125 fins a 250 cc;2;249;2;;Yamaha;2
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes de més de 125 fins a 250 cc;2;150;2;;Piaggio;3
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes de més de 125 fins a 250 cc;2;239;2;;Yamaha;3
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes de més de 125 fins a 250 cc;2;239;2;;Yamaha;2
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes de més de 125 fins a 250 cc;2;161;2;;Vespa;3
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes de més de 125 fins a 250 cc;2;200;2;;Suzuki;3
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes de més de 250 fins a 500 cc;2;279;2;;Honda;2
B-01;TODO TERRENO;Turismes de 12 fins a 15,99 CV          ;13;1.834;4;;Mitsubishi;2
B-01;TODO TERRENO;Turismes de 12 fins a 15,99 CV          ;13;1.870;4;;Suzuki;2
B-01;TODO TERRENO;Turismes de 12 fins a 15,99 CV          ;13;1.968;5;;Audi;3
B-01;TODO TERRENO;Turismes de 12 fins a 15,99 CV          ;13;1.968;5;;Volkswagen;3
B-01;TODO TERRENO;Turismes de 12 fins a 15,99 CV          ;13;1.995;5;;Bmw;2
B-01;TODO TERRENO;Turismes de 12 fins a 15,99 CV          ;13;1.999;5;;Land;2
B-01;TODO TERRENO;Turismes de 8 fins a 11,99 CV           ;12;1.589;5;;Daihatsu;2
B-01;TODO TERRENO;Turismes de 12 fins a 15,99 CV          ;16;2.664;5;;Nissan;3
B-01;TODO TERRENO;Turismes de 12 fins a 15,99 CV          ;16;2.685;5;;Jeep;2
B-01;TODO TERRENO;Turismes de 16 fins a 19,99 CV          ;19;3.124;5;;Jeep;2
B-01;TODO TERRENO;Turismes de 16 fins a 19,99 CV          ;20;2.987;5;;Jeep;2
B-01;TODO TERRENO;Turismes de 16 fins a 19,99 CV          ;20;2.993;5;;Bmw;2
B-01;TODO TERRENO;Turismes de 8 fins a 11,99 CV           ;11;1.395;5;;Volkswagen;2
B-01;TODO TERRENO;Turismes de 12 fins a 15,99 CV          ;13;1.999;5;;Mitsubishi;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.689;5;;Mercedes;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.699;5;;Mercedes;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.753;5;;Ford;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.753;5;;Ford;7
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.769;5;;Nissan;4
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.781;5;;Audi;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.781;5;;Audi;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.781;5;;Seat;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.781;5;;Volkswagen;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.794;5;;Toyota;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.794;7;;Toyota;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.796;4;;Mercedes;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.796;4;;Toyota;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.796;5;;Mercedes;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.796;5;;Mercedes-Benz;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.798;5;;Toyota;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.798;5;;Toyota;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.798;5;;Toyota;5
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;12;1.798;5;;Toyota;7
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.870;5;;Renault;11
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.870;7;;Renault;6
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.870;5;;Renault;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.896;5;;A.U.D.I.;9
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.896;5;;Audi;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.896;5;;Audi;6
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.896;5;;Audi;10
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.896;5;;Seat;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.896;5;;Seat;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.896;5;;Seat;7
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.896;5;;Seat;32
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;13;1.896;5;;Skoda;6
