CODI_DIVISIO_TERRITORIAL;BARRI;HOMES;DONES;TOTAL
B-DESCONEGUT;DESCONEGUT;85;89;174
B-01;Centre;93;115;208
B-02;Coll i Pujol;55;43;98
B-03;Dalt de la Vila;62;51;113
B-04;Gorg;129;129;258
B-05;Progrés;172;182;354
B-06;Raval;144;163;307
B-07;Can Claris;30;30;60
B-08;Canyet;10;5;15
B-09;Bufalà;210;201;411
B-10;Bonavista;20;21;41
B-11;Manresà;3;3;6
B-12;Canyadó;19;19;38
B-13;Casagemes;109;122;231
B-15;Pomar;49;60;109
B-16;Morera;92;107;199
B-17;Mas Ram;13;11;24
B-18;Pomar de Dalt;1;1;2
B-19;Sant Crist de Can Cabanyes;222;225;447
B-20;Nova Lloreda;139;144;283
B-21;Sistrells;87;89;176
B-22;La Salut;584;517;1.101
B-23;Lloreda;59;52;111
B-24;La Pau;148;124;272
B-25;Puigfred;183;199;382
B-27;Sant Joan de Llefià;319;270;589
B-28;Sant Antoni de Llefià;373;372;745
B-29;Sant Mori de Llefià;290;298;588
B-30;Artigas;160;167;327
B-31;Sant Roc;406;304;710
B-32;Congrés;60;61;121
B-33;El Remei;30;31;61
B-34;La Mora;21;19;40
B-35;Montigalà Oriental;62;46;108
B-36;Montigalà Occidental;26;26;52
