CODI_DIVISIO_TERRITORIAL;US;PROMIG_VALOR_CAD;NRE_LOCALS
B-26;EMMAGATZEMATGE;         6,700.87;1539
B-26;INDUSTRIA;       231,571.44;79
B-26;OFICINA;       198,628.42;46
B-26;RELIGIOS;       683,544.77;1
B-26;SOL SENSE EDIFICAR;        33,854.60;100
B-26;VIVENDA;        68,743.96;1338
B-27;ALTRES USOS;        24,062.58;1
B-27;COMERÇ;        21,845.53;186
B-27;EMMAGATZEMATGE;         5,763.13;1057
B-27;ENSENYAMENT;        25,031.53;8
B-27;INDUSTRIA;        56,923.77;2
B-27;OFICINA;        23,723.39;12
B-27;SOL SENSE EDIFICAR;        18,266.09;2
B-27;VIVENDA;        24,969.84;2490
B-28;COMERÇ;        28,924.20;306
B-28;EMMAGATZEMATGE;         9,030.19;542
B-28;ENSENYAMENT;       117,112.80;11
B-28;HOTEL;        76,680.28;1
B-28;INDUSTRIA;        44,636.36;9
B-28;OFICINA;        43,347.34;22
B-28;SOL SENSE EDIFICAR;        71,896.51;12
B-28;VIVENDA;        27,164.71;3500
B-29;ALTRES USOS;       156,139.50;6
B-29;COMERÇ;        48,826.43;299
B-29;EMMAGATZEMATGE;         6,681.18;1325
B-29;ENSENYAMENT;       133,722.94;10
B-29;ESPORTIU;        19,996.33;2
B-29;HOTEL;        55,041.58;1
B-29;INDUSTRIA;        66,223.23;31
B-29;OFICINA;        53,971.84;21
B-29;RELIGIOS;       660,207.57;1
B-29;SOL SENSE EDIFICAR;       197,763.71;6
B-29;VIVENDA;        32,495.65;4666
B-3;ALTRES USOS;       404,425.93;8
B-3;COMERÇ;        52,503.46;108
B-3;EMMAGATZEMATGE;         6,178.46;1486
B-3;ENSENYAMENT;       365,066.18;7
B-3;ESPECTACLES;        15,102.83;1
B-3;ESPORTIU;        39,219.87;4
B-3;HOTEL;        98,865.09;2
B-3;INDUSTRIA;        75,534.05;14
B-3;OFICINA;        71,061.72;40
B-3;PUBLIC;     1,969,537.42;1
B-3;SOL SENSE EDIFICAR;        40,430.44;9
B-3;VIVENDA;        54,745.22;1437
B-30;ALTRES USOS;        58,532.21;5
B-30;COMERÇ;        43,467.61;126
B-30;EMMAGATZEMATGE;         7,267.01;490
B-30;ENSENYAMENT;       276,862.14;2
B-30;INDUSTRIA;        41,289.75;10
B-30;OFICINA;        32,173.14;17
B-30;RELIGIOS;       134,971.36;3
B-30;SOL SENSE EDIFICAR;        18,044.37;4
B-30;VIVENDA;        31,499.75;1326
B-31;ALTRES USOS;        31,213.77;2
B-31;COMERÇ;        18,630.78;184
B-31;EMMAGATZEMATGE;         6,223.21;193
B-31;ENSENYAMENT;       766,791.94;2
B-31;INDUSTRIA;       533,025.02;3
B-31;RELIGIOS;       709,826.88;1
B-31;SOL SENSE EDIFICAR;        42,387.01;2
B-31;VIVENDA;        21,701.68;2900
B-32;COMERÇ;        20,855.51;85
B-32;EMMAGATZEMATGE;        22,486.44;83
B-32;ENSENYAMENT;        63,568.95;2
B-32;HOTEL;        14,400.02;1
B-32;INDUSTRIA;        12,569.14;3
B-32;OFICINA;        40,859.42;4
B-32;VIVENDA;        24,125.75;1206
B-33;COMERÇ;       126,190.30;17
B-33;EMMAGATZEMATGE;        11,370.53;120
B-33;ENSENYAMENT;       196,039.11;2
B-33;INDUSTRIA;       315,576.32;139
B-33;OFICINA;       605,208.11;3
