CODI_DIVISIO_TERRITORIAL;US;PROMIG_VALOR_CAD;NRE_LOCALS
B-1;ALTRES USOS;       145,994.01;5
B-1;COMERÇ;        72,684.75;502
B-1;EMMAGATZEMATGE;        10,619.60;1902
B-1;ENSENYAMENT;       307,956.99;33
B-1;ESPECTACLES;       620,605.67;5
B-1;ESPORTIU;       330,935.09;8
B-1;HOTEL;       168,058.99;26
B-1;INDUSTRIA;        79,786.65;101
B-1;OFICINA;       130,593.36;161
B-1;RELIGIOS;       290,910.12;7
B-1;SOL SENSE EDIFICAR;       204,486.07;21
B-1;VIVENDA;        60,244.36;4041
B-10;COMERÇ;        28,709.36;33
B-10;EMMAGATZEMATGE;         9,679.99;109
B-10;INDUSTRIA;       194,045.44;4
B-10;OFICINA;        48,848.98;2
B-10;SOL SENSE EDIFICAR;        30,453.26;10
B-10;VIVENDA;        49,540.32;371
B-11;COMERÇ;       182,715.74;2
B-11;EMMAGATZEMATGE;        26,651.72;58
B-11;ESPECTACLES;       702,309.01;2
B-11;HOTEL;       891,892.49;2
B-11;INDUSTRIA;       296,795.42;67
B-11;OFICINA;       131,860.36;7
B-11;SOL SENSE EDIFICAR;        72,328.87;5
B-11;VIVENDA;        40,142.89;100
B-12;COMERÇ;       115,787.88;45
B-12;EMMAGATZEMATGE;         7,517.47;484
B-12;INDUSTRIA;       309,500.61;43
B-12;OFICINA;       156,173.98;22
B-12;SOL SENSE EDIFICAR;       214,335.53;3
B-12;VIVENDA;        41,364.99;549
B-13;ALTRES USOS;     1,188,330.88;10
B-13;COMERÇ;        72,709.34;92
B-13;EMMAGATZEMATGE;        13,197.17;850
B-13;ENSENYAMENT;       208,764.89;5
B-13;ESPORTIU;        69,604.97;1
B-13;HOTEL;     9,449,821.46;1
B-13;INDUSTRIA;        75,377.86;27
B-13;OFICINA;        70,886.64;8
B-13;SOL SENSE EDIFICAR;       229,553.53;18
B-13;VIVENDA;        56,006.47;2233
B-14;ALTRES USOS;       224,635.12;1
B-14;COMERÇ;       224,007.77;41
B-14;EMMAGATZEMATGE;       100,099.22;6
B-14;INDUSTRIA;       146,446.66;193
B-14;OFICINA;       109,290.86;36
B-15;COMERÇ;        12,067.98;22
B-15;INDUSTRIA;         9,996.09;1
B-15;VIVENDA;        21,414.36;1379
