DIVISIO_TERRITORIAL;US;PROMIG_VALOR_CAD;NR_LOCALS
B-1;ALTRES USOS;       189,053.55;11
B-1;COMERÇ;        89,793.72;461
B-1;EMMAGATZEMATGE;        13,046.39;1.687
B-1;ENSENYAMENT;       362,000.90;33
B-1;ESPECTACLES;       585,068.79;1
B-1;ESPORTIU;       866,872.17;9
B-1;HOTEL;       276,584.61;28
B-1;INDUSTRIA;        87,727.82;90
B-1;OFICINA;       155,013.68;153
B-1;RELIGIOS;       323,227.63;6
B-1;SOL SENSE EDIFICAR;        39,383.91;18
B-1;VIVENDA;        75,809.93;3.431
B-10;COMERÇ;        32,843.50;33
B-10;EMMAGATZEMATGE;        11,426.23;110
B-10;INDUSTRIA;       221,987.98;4
B-10;OFICINA;        55,883.23;2
B-10;SOL SENSE EDIFICAR;        33,708.18;11
B-10;VIVENDA;        55,176.60;367
B-11;COMERÇ;       209,026.80;2
B-11;EMMAGATZEMATGE;        30,457.47;59
B-11;ESPECTACLES;       364,332.93;1
B-11;ESPORTIU;       470,229.84;1
B-11;HOTEL;       793,725.92;3
B-11;INDUSTRIA;       339,270.61;63
B-11;OFICINA;       150,848.24;7
B-11;SOL SENSE EDIFICAR;        82,744.22;5
B-11;VIVENDA;        58,922.56;101
B-12;COMERÇ;       132,461.30;45
B-12;EMMAGATZEMATGE;         8,608.13;483
B-12;INDUSTRIA;       364,476.23;42
B-12;OFICINA;       194,098.79;19
B-12;SOL SENSE EDIFICAR;       245,199.83;3
B-12;VIVENDA;        47,032.36;553
B-13;ALTRES USOS;     1,244,402.50;11
B-13;COMERÇ;        92,150.66;98
B-13;EMMAGATZEMATGE;        14,792.52;928
B-13;ENSENYAMENT;       238,827.02;5
B-13;ESPORTIU;        79,628.07;1
B-13;HOTEL;    10,810,595.74;1
B-13;INDUSTRIA;        87,428.16;25
B-13;OFICINA;        83,464.34;10
B-13;SOL SENSE EDIFICAR;       205,840.51;16
B-13;VIVENDA;        64,690.58;2.439
B-14;ALTRES USOS;       256,982.57;1
B-14;COMERÇ;       261,412.06;41
B-14;EMMAGATZEMATGE;       114,513.50;6
B-14;INDUSTRIA;       166,449.10;192
B-14;OFICINA;       126,858.50;37
B-15;COMERÇ;        13,805.76;22
B-15;INDUSTRIA;        11,435.51;1
B-15;VIVENDA;        24,508.03;1.602
B-16;ALTRES USOS;       145,152.02;3
B-16;COMERÇ;        63,883.80;169
B-16;EMMAGATZEMATGE;         8,418.66;1.440
B-16;ENSENYAMENT;       704,842.05;7
B-16;ESPORTIU;         4,381.86;16
B-16;INDUSTRIA;       280,494.32;15
B-16;OFICINA;        72,581.00;12
B-16;PUBLIC;     1,844,091.73;1
B-16;RELIGIOS;        69,787.29;1
B-16;SOL SENSE EDIFICAR;        91,884.71;25
B-16;VIVENDA;        50,831.21;2.416
B-17;EMMAGATZEMATGE;       234,475.19;3
B-17;ENSENYAMENT;     4,895,981.63;1
B-17;ESPORTIU;     2,397,735.05;1
B-17;SOL SENSE EDIFICAR;       103,354.38;19
B-17;VIVENDA;       294,797.09;142
B-18;COMERÇ;        18,367.26;11
B-18;INDUSTRIA;       423,005.56;7
B-18;VIVENDA;       197,013.93;1
B-19;ALTRES USOS;        64,613.20;2
B-19;COMERÇ;        36,979.09;261
B-19;EMMAGATZEMATGE;        10,486.72;574
B-19;ENSENYAMENT;        74,457.12;8
B-19;ESPORTIU;       272,426.05;2
B-19;INDUSTRIA;        53,462.34;16
B-19;OFICINA;        42,613.96;11
B-19;RELIGIOS;       343,296.14;2
B-19;SOL SENSE EDIFICAR;        21,679.88;20
B-19;VIVENDA;        33,299.40;3.810
B-2;ALTRES USOS;       156,368.10;1
B-2;COMERÇ;        47,253.26;92
B-2;EMMAGATZEMATGE;         8,868.18;706
B-2;ENSENYAMENT;       105,142.01;4
B-2;INDUSTRIA;       209,767.41;26
B-2;OFICINA;        92,535.06;26
B-2;PUBLIC;     1,493,951.22;1
B-2;SOL SENSE EDIFICAR;       323,643.29;16
B-2;VIVENDA;        56,057.01;1.280
B-20;ALTRES USOS;       357,313.86;5
B-20;COMERÇ;        37,580.90;183
B-20;EMMAGATZEMATGE;         7,640.63;2.194
B-20;ENSENYAMENT;        49,058.29;1
B-20;INDUSTRIA;        44,709.77;4
B-20;OFICINA;        38,652.73;24
B-20;RELIGIOS;       960,141.88;1
B-20;SOL SENSE EDIFICAR;       214,583.28;5
B-20;VIVENDA;        44,645.91;3.247
B-21;ALTRES USOS;       685,840.81;1
B-21;COMERÇ;        41,317.39;113
B-21;EMMAGATZEMATGE;        10,491.87;302
B-21;ENSENYAMENT;        91,791.75;3
B-21;HOTEL;        33,132.08;1
B-21;INDUSTRIA;        34,887.93;16
B-21;OFICINA;        39,842.94;6
B-21;SOL SENSE EDIFICAR;        15,584.10;22
B-21;VIVENDA;        37,504.66;1.739
B-22;ALTRES USOS;       443,586.07;6
B-22;COMERÇ;        50,911.90;523
B-22;EMMAGATZEMATGE;         9,125.27;1.423
B-22;ENSENYAMENT;        77,423.87;7
B-22;ESPORTIU;        67,170.26;3
B-22;HOTEL;        48,862.50;3
B-22;INDUSTRIA;        57,170.54;29
B-22;OFICINA;        55,541.38;31
B-22;RELIGIOS;       175,497.79;2
B-22;SOL SENSE EDIFICAR;        50,798.43;26
B-22;VIVENDA;        32,728.70;5.687
B-23;ALTRES USOS;       150,933.47;1
B-23;COMERÇ;        37,024.08;67
B-23;EMMAGATZEMATGE;        18,550.36;50
B-23;ENSENYAMENT;       172,450.30;2
B-23;INDUSTRIA;        22,830.63;4
B-23;OFICINA;        52,583.88;6
B-23;SOL SENSE EDIFICAR;        30,165.71;4
B-23;VIVENDA;        34,853.54;895
B-24;ALTRES USOS;       129,280.47;1
B-24;COMERÇ;        44,059.21;76
B-24;EMMAGATZEMATGE;         7,931.34;519
B-24;ENSENYAMENT;       197,721.21;1
B-24;INDUSTRIA;        27,177.54;5
B-24;OFICINA;       107,700.08;2
B-24;SOL SENSE EDIFICAR;        41,645.91;14
B-24;VIVENDA;        33,670.14;1.153
B-25;ALTRES USOS;       458,110.66;3
B-25;COMERÇ;        89,948.29;169
B-25;EMMAGATZEMATGE;         8,543.09;1.535
B-25;ENSENYAMENT;       147,290.20;2
B-25;HOTEL;        58,435.93;1
B-25;INDUSTRIA;        70,344.37;3
B-25;SOL SENSE EDIFICAR;        56,778.66;5
B-25;VIVENDA;        43,720.65;2.024
B-26;ALTRES USOS;       451,598.07;5
B-26;COMERÇ;       381,860.61;183
B-26;EMMAGATZEMATGE;         8,250.07;1.548
B-26;INDUSTRIA;       283,919.53;78
B-26;OFICINA;       257,275.73;53
B-26;RELIGIOS;       860,172.72;1
B-26;SOL SENSE EDIFICAR;        60,515.81;102
B-26;VIVENDA;        86,562.24;1.338
B-27;COMERÇ;        26,885.32;176
B-27;EMMAGATZEMATGE;         7,252.46;1.056
B-27;ENSENYAMENT;        32,193.06;7
B-27;INDUSTRIA;        71,632.86;2
B-27;OFICINA;        31,918.03;9
B-27;SOL SENSE EDIFICAR;        22,986.03;2
B-27;VIVENDA;        31,090.62;2.343
B-28;ALTRES USOS;        65,230.91;2
B-28;COMERÇ;        35,133.39;356
B-28;EMMAGATZEMATGE;        11,308.12;585
B-28;ENSENYAMENT;       132,075.53;13
B-28;HOTEL;        96,494.45;1
B-28;INDUSTRIA;        49,933.87;11
B-28;OFICINA;        47,882.97;27
B-28;SOL SENSE EDIFICAR;        93,681.34;11
B-28;VIVENDA;        33,959.48;4.035
B-29;ALTRES USOS;       341,625.96;8
B-29;COMERÇ;        61,700.44;307
B-29;EMMAGATZEMATGE;         8,666.20;1.395
B-29;ENSENYAMENT;       181,396.65;9
B-29;ESPORTIU;        25,163.36;2
B-29;HOTEL;        69,264.31;1
B-29;INDUSTRIA;        84,557.22;30
B-29;OFICINA;        68,314.03;23
B-29;RELIGIOS;       830,805.19;1
