CODI_DIVISIO_TERRITORIAL;US;PROMIG_VALOR_CAD;NRE_LOCALS
B-1;ALTRES USOS;       120,656.22;5
B-1;COMERÇ;        61,460.79;500
B-1;EMMAGATZEMATGE;         8,047.81;1903
B-1;ENSENYAMENT;       266,471.65;31
B-1;ESPECTACLES;       512,897.14;5
B-1;ESPORTIU;       299,074.52;7
B-1;HOTEL;       137,528.31;24
B-1;INDUSTRIA;        77,747.19;106
B-1;OFICINA;       107,793.31;156
B-1;PUBLIC;       436,219.23;1
B-1;SOL SENSE EDIFICAR;       161,720.82;17
B-1;VIVENDA;        49,862.14;4043
B-10;COMERÇ;        26,472.04;34
B-10;EMMAGATZEMATGE;         7,785.72;107
B-10;INDUSTRIA;       160,368.14;4
B-10;OFICINA;        35,432.92;3
B-10;SOL SENSE EDIFICAR;        18,194.00;9
B-10;VIVENDA;        41,258.24;369
B-11;COMERÇ;       151,004.75;2
B-11;EMMAGATZEMATGE;        22,547.51;58
B-11;ESPECTACLES;       580,420.68;2
B-11;HOTEL;       737,101.24;2
B-11;INDUSTRIA;       243,020.47;67
B-11;OFICINA;       108,975.51;7
B-11;SOL SENSE EDIFICAR;        59,775.94;5
B-11;VIVENDA;        33,446.67;97
B-12;COMERÇ;        66,749.37;39
B-12;EMMAGATZEMATGE;         4,855.07;480
B-12;INDUSTRIA;       217,135.11;55
B-12;OFICINA;       124,021.40;23
B-12;SOL SENSE EDIFICAR;       137,244.11;4
B-12;VIVENDA;        34,676.87;556
B-13;ALTRES USOS;     1,069,008.06;9
B-13;COMERÇ;        60,228.52;92
B-13;EMMAGATZEMATGE;        10,114.72;851
B-13;ENSENYAMENT;       199,450.30;4
B-13;ESPORTIU;        57,524.78;1
B-13;HOTEL;     7,809,769.81;1
B-13;INDUSTRIA;        60,960.81;34
B-13;OFICINA;        71,821.98;9
B-13;SOL SENSE EDIFICAR;       185,482.76;18
B-13;VIVENDA;        46,210.33;2228
B-14;ALTRES USOS;       185,648.87;1
B-14;COMERÇ;       185,130.39;41
B-14;EMMAGATZEMATGE;        83,492.05;5
B-14;INDUSTRIA;       121,531.70;196
B-14;OFICINA;        90,323.03;36
B-15;COMERÇ;         9,973.54;22
B-15;INDUSTRIA;         8,261.24;1
B-15;VIVENDA;        17,717.07;1384
B-16;ALTRES USOS;       104,860.46;3
B-16;COMERÇ;        47,012.89;166
B-16;EMMAGATZEMATGE;         6,728.52;1276
B-16;ENSENYAMENT;       651,508.06;5
B-16;ESPORTIU;         3,165.54;16
B-16;INDUSTRIA;       199,119.58;16
B-16;OFICINA;        47,663.06;9
B-16;PUBLIC;     1,332,205.21;1
B-16;SOL SENSE EDIFICAR;        94,898.44;25
B-16;VIVENDA;        36,456.57;2311
B-17;EMMAGATZEMATGE;        80,905.80;1
B-17;ENSENYAMENT;     3,270,232.18;1
B-17;ESPORTIU;     1,292,228.95;1
B-17;SOL SENSE EDIFICAR;        77,491.95;21
B-17;VIVENDA;       210,698.51;145
B-18;COMERÇ;        13,268.86;11
B-18;INDUSTRIA;       305,586.88;7
B-18;VIVENDA;       163,469.42;1
B-19;ALTRES USOS;        54,624.16;2
B-19;COMERÇ;        25,658.40;257
B-19;EMMAGATZEMATGE;         7,937.57;567
B-19;ENSENYAMENT;        53,789.19;8
B-19;ESPORTIU;       196,805.52;2
B-19;INDUSTRIA;        40,133.90;15
B-19;OFICINA;        35,433.19;11
B-19;SOL SENSE EDIFICAR;        15,667.59;22
B-19;VIVENDA;        24,041.41;3720
B-2;ALTRES USOS;       112,963.16;1
B-2;COMERÇ;        54,058.36;43
B-2;EMMAGATZEMATGE;         7,963.97;443
B-2;ENSENYAMENT;        82,569.05;3
B-2;INDUSTRIA;       134,452.48;38
B-2;OFICINA;        66,599.56;25
B-2;SOL SENSE EDIFICAR;       621,688.67;10
B-2;VIVENDA;        49,728.10;722
B-20;ALTRES USOS;     1,177,711.82;1
B-20;COMERÇ;        25,445.71;178
B-20;EMMAGATZEMATGE;         5,161.64;2203
B-20;ENSENYAMENT;        35,440.61;1
B-20;INDUSTRIA;        32,299.17;4
B-20;OFICINA;        28,077.19;23
B-20;SOL SENSE EDIFICAR;       134,839.16;2
B-20;VIVENDA;        32,320.38;3216
B-21;ALTRES USOS;       495,463.83;1
B-21;COMERÇ;        30,259.72;110
B-21;EMMAGATZEMATGE;         7,573.61;300
B-21;ENSENYAMENT;        81,311.76;2
B-21;HOTEL;        18,989.61;1
B-21;INDUSTRIA;        25,203.68;16
B-21;OFICINA;        28,783.28;6
B-21;SOL SENSE EDIFICAR;         9,433.06;26
B-21;VIVENDA;        27,177.74;1729
B-22;ALTRES USOS;       320,454.61;6
B-22;COMERÇ;        37,367.84;517
B-22;EMMAGATZEMATGE;         6,752.00;1440
B-22;ENSENYAMENT;        40,361.59;8
B-22;ESPORTIU;        48,525.02;3
B-22;HOTEL;        27,701.33;2
B-22;INDUSTRIA;        40,108.15;30
B-22;OFICINA;        43,700.49;28
B-22;SOL SENSE EDIFICAR;        26,762.88;32
B-22;VIVENDA;        23,776.34;5717
B-23;ALTRES USOS;       109,037.09;1
B-23;COMERÇ;        26,353.74;68
B-23;EMMAGATZEMATGE;        13,401.13;50
B-23;ENSENYAMENT;       124,581.23;2
B-23;INDUSTRIA;        29,435.02;5
B-23;OFICINA;        33,727.78;8
B-23;SOL SENSE EDIFICAR;        13,206.20;4
B-23;VIVENDA;        25,328.40;897
B-24;ALTRES USOS;        93,394.56;1
B-24;COMERÇ;        30,230.73;92
B-24;EMMAGATZEMATGE;         5,837.75;531
B-24;ENSENYAMENT;       142,837.39;1
B-24;INDUSTRIA;        19,633.56;5
B-24;OFICINA;        63,151.04;3
B-24;SOL SENSE EDIFICAR;        26,507.03;18
B-24;VIVENDA;        23,584.48;1350
B-25;ALTRES USOS;       431,660.58;2
B-25;COMERÇ;        61,502.22;148
B-25;EMMAGATZEMATGE;         6,218.74;1356
B-25;ENSENYAMENT;       106,405.12;2
B-25;INDUSTRIA;        44,300.15;4
B-25;SOL SENSE EDIFICAR;        41,017.95;4
B-25;VIVENDA;        31,691.13;1791
B-26;ALTRES USOS;       326,242.62;5
B-26;COMERÇ;       273,473.88;193
B-26;EMMAGATZEMATGE;         6,076.99;1547
