CODI_DIVISIO_TERRITORIAL;BARRI;HOMES;DONES;TOTAL
B-01;Artigas;132;122;254
B-02;Bonavista;36;34;70
B-03;Bufalà;260;292;552
B-04;Can Claris;29;49;78
B-05;Canyadó;52;54;106
B-06;Canyet;14;13;27
B-07;Casagemes;187;206;393
B-08;Centre;178;227;405
B-09;Coll i Pujol;86;92;178
B-10;Congrés;69;65;134
B-11;Dalt de la Vila;77;83;160
B-12;El Remei;21;19;40
B-13;Gorg;178;179;357
B-14;La Mora;24;28;52
B-15;La Pau;82;71;153
B-16;La Salut;462;460;922
B-17;Les Guixeres;1;0;1
B-18;Lloreda;51;68;119
B-19;Manresà;11;4;15
B-20;Mas Ram;7;6;13
B-21;Montigalà;101;109;210
B-22;Morera;141;156;297
B-23;Nova Lloreda;129;140;269
B-24;Pomar;91;93;184
B-26;Progrés;230;245;475
B-27;Puigfred;82;102;184
B-28;Raval;147;171;318
B-29;Sant Antoni de Llefià;276;303;579
B-30;Sant Crist de Can Cabanyes;193;203;396
B-31;Sant Joan de Llefià;214;238;452
B-32;Sant Mori de Llefià;282;298;580
B-33;Sant Roc;346;311;657
B-34;Sistrells;90;100;190
