DIVISIO_TERRITORIAL,2013,2013_NR_LOCALS,2014,2014_NR_LOCALS,2015,2015_NR_LOCALS,2016,2016_NR_LOCALS,2017,2017_NR_LOCALS,2018,2018_NR_LOCALS,2019,2019_NR_LOCALS,NOM_DIVISIO_TERRITORIAL,% 2013,% 2014,% 2015,% 2016,% 2017,% 2018,% 2019
S-09003,32934.29,273,36225.02,274,39849.86,273,43910.97,273,45794.46,272,47626.23,272,48874.16,271,Districte: 09   Secció: 003,0.0,9.991804893926652,20.9980843673873,33.32903183885245,39.04796490223411,44.6098579929915,48.399009057125575
S-09004,14546.5,220,16001.15,220,17601.26,220,19361.5,219,20135.96,219,20941.39,219,21574.48,218,Districte: 09   Secció: 004,0.0,9.999999999999998,20.999965627470516,33.100745883889594,38.424775719245176,43.96170900216546,48.31388993916062
S-09005,14352.62,80,15787.88,80,17366.66,80,19103.32,80,19867.44,80,20662.14,80,21282.0,80,Districte: 09   Secció: 005,0.0,9.99998606526194,20.99992893283595,33.0998800219054,38.423786040458104,43.960754203762086,48.27954756692506
S-09006,16864.91,728,18531.83,722,20384.31,719,22416.34,719,23312.99,719,24244.1,720,24980.76,710,Districte: 09   Secció: 006,0.0,9.883954316981246,20.86818133034805,32.91704491752402,38.23370536812828,43.754695400094036,48.12269973572346
S-09008,21326.27,768,23459.69,767,25804.77,768,29160.99,796,31053.67,824,32269.22,824,33507.58,791,Districte: 09   Secció: 008,0.0,10.003718418645164,20.99992169282298,36.73741352801029,45.612289443958076,51.31206722975935,57.11880230345017
S-09009,24237.5,155,26699.16,154,29369.07,154,35850.1,190,37226.08,191,38715.12,191,39661.11,188,Districte: 09   Secció: 009,0.0,10.156410520887055,21.172026817947394,47.91170706549767,53.58877772047448,59.732315626611665,63.63531717380093
S-09010,31319.74,385,35465.88,361,39012.47,361,42913.71,361,47704.85,315,49613.04,315,51107.41,313,Districte: 09   Secció: 010,0.0,13.238104786310473,24.561921650690586,37.01809146563795,52.31560032107545,58.40821156242038,63.17954746750771
S-09011,18494.21,95,20343.62,95,22377.98,95,24615.77,95,25606.1,94,26630.34,94,27426.73,93,Districte: 09   Secció: 011,0.0,9.99994052192551,20.999923759922705,33.09987287913353,38.45468392540152,43.99284965402686,48.299008176072405
S-09012,21091.73,683,23156.48,675,25365.74,675,27831.93,675,28947.6,676,30105.5,676,30963.69,672,Districte: 09   Secció: 012,0.0,9.78938190466121,20.263913865766355,31.956600999538686,37.24620977036971,42.736039196405414,46.80488513744486
S-09013,24232.04,352,26655.24,352,29320.75,352,32252.83,352,33542.93,352,34884.65,352,35912.84,350,Districte: 09   Secció: 013,0.0,9.999983492929198,20.9999240674743,33.09993710806024,38.423880119048995,43.96084687876052,48.20394816119482
S-09014,25978.53,67,28576.38,67,31434.01,67,34577.41,67,35960.5,67,37398.92,67,38520.89,67,Districte: 09   Secció: 014,0.0,9.999988452002489,20.999956502542677,33.09994830346446,38.42392159987498,43.960878463869975,48.27971405618409
S-09015,28604.27,129,31547.73,126,34702.5,126,38245.74,126,39775.56,126,42047.04,129,42323.24,126,Districte: 09   Secció: 015,0.0,10.29028183554413,21.319299531153913,33.706401177166896,39.05462366283075,46.99567582042821,47.961265922884934
S-09016,22727.35,572,25016.72,572,27517.87,572,30278.16,572,31489.28,572,32763.13,571,33773.3,566,Districte: 09   Secció: 016,0.0,10.07319375114126,21.078216334064468,33.22345104026647,38.55236092197287,44.15728186524167,48.60201475314987
S-09017,20912.39,379,22712.59,381,24958.94,381,27434.44,380,28531.81,380,29674.95,379,30745.24,371,Districte: 09   Secció: 017,0.0,8.608293934839589,19.350012122000397,31.18749219960033,36.43495554549242,41.90128435822018,47.0192550923161
S-09018,20013.14,142,22014.45,142,24386.97,143,26825.66,143,27898.69,143,29014.63,143,29885.06,143,Districte: 09   Secció: 018,0.0,9.99998001313138,21.85479140204886,34.040235565233644,39.401862976024745,44.977899520015356,49.327192034833125
S-09019,22230.05,353,24409.38,350,26805.89,350,29486.48,350,30145.97,346,31892.56,350,32424.92,342,Districte: 09   Secció: 019,0.0,9.803531705956585,20.58402927568764,32.64243670167184,35.609096695688955,43.465984107098286,45.860760547097286
S-09020,14734.58,79,16208.03,79,17828.83,79,19541.91,79,20325.21,77,21138.21,77,21778.65,76,Districte: 09   Secció: 020,0.0,9.999945705951582,20.99991991627859,32.62617597515504,37.94224199128852,43.459874662189215,47.80638470862421
S-09021,32872.06,484,36013.53,482,39614.55,482,43672.66,482,44917.21,484,46809.18,484,48166.2,481,Districte: 09   Secció: 021,0.0,9.55665692992773,20.511309604569977,32.85647446494076,36.64251647143502,42.3980730139821,46.52625968679785
S-09022,28032.34,385,30881.62,382,33533.48,400,35681.62,469,37651.51,620,38150.71,468,39575.01,612,Districte: 09   Secció: 022,0.0,10.164260279377315,19.624262548185428,27.287340264851252,34.31454527163984,36.095345590129114,41.17626284498548
S-09023,17916.25,254,19707.87,254,21661.27,255,23815.72,257,24768.34,257,25759.07,257,26531.84,257,Districte: 09   Secció: 023,0.0,9.999972092374236,20.90292332379823,32.9280401869811,38.245112677039,43.77489709063001,48.0881322821461
S-09024,22632.05,391,24857.55,388,27321.72,389,30041.17,390,31242.81,390,32492.52,390,33474.3,389,Districte: 09   Secció: 024,0.0,9.83339997923299,20.721366380862545,32.737290700577276,38.046752282714124,43.568611769592245,47.90661915292695
S-09025,25686.96,232,28223.07,233,31045.37,233,34584.51,321,36035.35,322,37476.76,322,38056.2,319,Districte: 09   Secció: 025,0.0,9.873141858748566,20.860428793442274,34.63839239832196,40.28655006275558,45.8979964931623,48.153771407749296
S-09026,25263.98,418,28097.62,390,30907.38,390,32602.34,524,33906.43,524,35262.69,524,36302.09,522,Districte: 09   Secció: 026,0.0,11.21612667521111,22.337731426323174,29.04672977100204,34.20858471230582,39.57693918377074,43.69109696888613
S-09027,27747.5,327,30618.38,327,32196.72,338,35416.39,338,35036.25,190,38101.98,341,38010.42,191,Districte: 09   Secció: 027,0.0,10.346445625732052,16.03466979007118,27.63812956122173,26.268132264167942,37.31680331561403,36.98682764212992
S-09028,20828.01,224,22924.98,222,25217.47,222,27710.17,223,28818.57,223,29971.31,223,30861.04,224,Districte: 09   Secció: 028,0.0,10.06802858266345,21.074793031115323,33.04281109909204,38.36449089471343,43.89905708706691,48.170852616260525
S-09029,34291.31,110,37720.44,110,41492.47,110,45770.49,110,47601.31,110,49505.36,110,50990.51,110,,0.0,9.999997083809294,20.99995596552014,33.4754781896638,38.81449848372664,44.36707142421798,48.69805207208475
S-09030,27618.15,283,30416.56,282,33458.18,282,36803.99,282,38276.15,282,39807.19,282,41102.48,280,Districte: 09   Secció: 030,0.0,10.132503444292972,21.145623439658333,33.26015681716551,38.59056453817507,44.134165394858094,48.824160923161045
S-09031,25201.38,88,27722.85,83,30495.13,83,33544.64,83,34886.42,83,36281.87,83,37370.32,83,Districte: 09   Secció: 031,0.0,10.005285424845772,21.005794127147006,33.10636163575168,38.43059388017639,43.9677906527341,48.28680016729242
S-09032,20758.07,156,22998.93,158,25298.82,158,27282.52,172,28146.89,174,29272.76,174,30127.56,172,Districte: 09   Secció: 032,0.0,10.795126907270284,21.874625145786673,31.43090855749114,35.59492765945967,41.0186977883782,45.13661433842357
S-09033,23332.87,374,25532.03,372,28033.11,373,30836.42,373,32074.75,372,33357.74,372,34226.25,369,Districte: 09   Secció: 033,0.0,9.425158585291909,20.144285722245066,32.15871000867017,37.46594396660163,42.96458172526568,46.68684135299259
S-09034,29001.62,624,32412.82,531,35095.58,620,39296.67,646,40859.03,647,42523.14,647,43658.44,644,Districte: 09   Secció: 034,0.0,11.762101565360835,21.012481371730278,35.49818941148805,40.885336750153954,46.623326558999125,50.53793546705323
S-09035,26426.83,501,29069.5,501,32001.89,500,35202.08,500,36625.94,501,38090.97,501,39337.8,500,Districte: 09   Secció: 035,0.0,9.999950807569421,21.096211690921677,33.205836644046975,38.593770043550435,44.13749208664073,48.85553810275391
S-09036,22499.78,735,24752.45,737,27227.69,737,29992.9,735,31192.61,735,32440.82,734,33422.16,732,Districte: 09   Secció: 036,0.0,10.011964561431276,21.013138795134886,33.30308118568272,38.63517776618261,44.18283200991299,48.544385767327526
S-09037,16233.5,502,17856.84,502,19642.52,502,21606.77,502,22471.03,502,23369.87,502,24062.72,498,Districte: 09   Secció: 037,0.0,9.999938398989745,20.99990759848462,33.099886038131025,38.42381495056518,43.96076015646656,48.2287861520929
S-09038,24454.39,614,26708.33,615,29345.66,616,32369.28,616,33705.35,617,35074.98,618,36180.32,612,Districte: 09   Secció: 038,0.0,9.216913609376485,20.001602984167672,32.36592693581807,37.82944493810723,43.43019801352642,47.95020444182006
S-09042,14263.69,242,15690.05,242,17259.05,242,18984.96,242,19744.35,242,20534.12,242,21150.14,242,Districte: 09   Secció: 042,0.0,9.99993690272292,20.999895538952394,33.09992014689045,38.42385806197413,43.96078434121885,48.27958263254458
S-09043,30086.28,362,33109.67,361,35922.61,361,39498.51,362,41078.45,362,42731.83,361,43987.25,359,Districte: 09   Secció: 043,0.0,10.049065554132978,19.398642836535466,31.28412685117603,36.53549059571339,42.03095231447691,46.20368486898347
S-09044,26083.19,368,28663.98,366,31530.37,366,34701.49,365,36070.73,366,37513.56,366,38739.04,364,Districte: 09   Secció: 044,0.0,9.894456928006127,20.883871949711676,33.041587321182725,38.29109859645237,43.82274560741995,48.52109730443248
S-09045,19929.88,595,21981.28,593,24295.2,588,26724.71,588,27822.05,587,28934.93,587,29832.56,586,Districte: 09   Secció: 045,0.0,10.293087565002889,21.903393296898926,34.09368245067205,39.599686500872046,45.183663925723586,49.68760474222624
S-09046,23217.46,212,25479.63,212,28027.59,212,30830.35,212,32752.13,175,34389.99,176,35076.47,173,,0.0,9.743400010164773,20.71772708987116,32.78950410596163,41.0668092030739,48.121241513929604,51.07798182919235
S-09047,22187.7,680,24408.14,676,26848.95,676,29534.25,677,30715.62,677,31906.5,681,32784.71,672,Districte: 09   Secció: 047,0.0,10.00752669271713,21.008261333982343,33.11091280303952,38.43534931516109,43.80264741275571,47.760741311627605
S-09048,21480.58,156,23437.15,158,25780.86,158,28358.95,158,29493.3,158,30673.03,158,31615.26,157,,0.0,9.1085529347904,20.019384951430542,32.02134206804471,37.30215850782426,42.794235537401676,47.18066271953549
S-09049,47604.86,556,52604.32,550,57790.69,552,63454.27,554,65992.44,554,68573.4,555,71036.29,554,Districte: 09   Secció: 049,0.0,10.501994964379685,21.396617908339614,33.293680519173876,38.62542605944015,44.04705738027587,49.220667805766034
S-09050,25306.51,147,27255.04,148,29980.54,148,32978.6,148,34297.73,148,35669.64,148,36762.43,147,Districte: 09   Secció: 050,0.0,7.699718372861381,18.46967440393797,30.316665553646082,35.52927685405852,40.95045108946276,45.26866802257602
S-09053,27163.55,217,29879.9,217,32639.3,217,35903.23,217,37339.35,217,38832.92,217,40148.86,215,Districte: 09   Secció: 053,0.0,9.999981592980307,20.158447625586497,32.17429238814516,37.4612302147547,42.959664697729124,47.804171398804655
S-09054,23311.13,106,25642.24,106,28206.46,106,31027.1,106,32268.18,106,33558.9,106,34565.66,106,Districte: 09   Secció: 054,0.0,9.999987130611002,20.99996868448676,33.09993981415743,38.423920247538405,43.96084617090634,48.27964152745921
S-09055,16722.17,60,18394.39,60,20233.82,60,22257.2,60,23147.48,60,24073.37,60,24808.49,59,,0.0,10.00001794025537,20.999965913514824,33.09995054469607,38.423900725802945,43.96080173805195,48.35688191185716
S-09056,16780.62,11,18458.68,11,20304.55,11,22335.0,11,23228.39,11,24157.52,11,24882.24,11,,0.0,9.99998808148925,20.999998808148927,33.09996889268693,38.42390805584061,43.96083100624411,48.279622564601326
S-09057,36096.12,492,39787.77,490,43766.56,490,47324.85,559,49210.15,558,51301.28,558,52929.99,550,Districte: 09   Secció: 057,0.0,10.227276505064793,21.250040170522468,31.107858683980428,36.33085772099604,42.12408425060642,46.63623126252903
S-09058,24400.96,269,26841.05,269,29525.15,269,32477.67,269,33776.77,269,35162.96,270,37843.8,311,Districte: 09   Secció: 058,0.0,9.999975410803511,20.999952460886796,33.09996819797254,38.42393905813541,44.104822105359794,55.09143902534984
S-09059,35057.93,409,38644.38,407,42442.36,410,46686.59,410,48554.05,410,50496.21,410,52075.77,410,Districte: 09   Secció: 059,0.0,10.23006777639181,21.0635083132404,33.16984203003428,38.496625442517576,44.036484755374886,48.54205596280213
