ID,TIPUS_EQUIPAMENT,DESCRIPCIO_TIPUS_EQUIPAMENT,NOM,NOM_CONTACTE,COGNOM1_CONTACTE,COGNOM2_CONTACTE,TELEFON,EMAIL,URL,SIGLA,CARRER,CODI_CARRER,NRO,BIS,ESCALA,PIS,PORTA,CODI_DIVISIO_TERRITORIAL_ADM,CODI_DIVISIO_TERRITORIAL,CODI_POSTAL,CIUTAT,CODI_CIUTAT,PROVINCIA,CODI_PROVINCIA,PAIS,CODI_PAIS,UTMX,UTMY,LATITUD,LONGITUD,TIPO_UTM,ADREÇA_COMPLETA
814,Mercats,Mercats i centres comercials,DECATHLON,,,,93465****,,http://www.decathlon.es,,,,,,,,,D-,B-26,08917,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.46******,2.23******,,C/ Luxemburg
815,Mercats,Mercats i centres comercials,IKEA,,,,90240****,,http://www.ikea.com,,,,,,,,,D-,B-26,08917,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.46******,2.23******,,C/ Luxemburg
816,Al.Organ.,Altres organismes,CAMBRA DE LA PROPIETAT URBANA DE BADALONA,,,,93384****,,http://www.cambrabadalona.com,,,,,,,,,D-01,B-01,08911,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.25******,,C/ Eduard Flò
817,Adm.Publ.,Administració pública,DELEGACIÓ HISENDA BADALONA,,,,93384****,,http://www.aeat.es,,,,,,,,,D-01,B-01,08911,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.25******,,C/ Via Augusta
818,Adm.Publ.,Administració pública,JUTJAT PRIMERA INSTÀNCIA NUM.4,,,,93464****,,,,,,,,,,,D-01,B-01,08911,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.25******,,C/ Santa Bàrbara
819,Adm.Publ.,Administració pública,JUTJAT PRIMERA INSTÀNCIA NUM.5,,,,93389****,,,,,,,,,,,D-01,B-02,08911,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.24******,,C/ Santa Bàrbara
820,Al.Organ.,Altres organismes,CAMBRA DE COMERÇ I L'INDUSTRIA DE BADALONA,,,,90244****,,http://www.cambrabcn.org/,,,,,,,,,D-03,B-14,08915,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.46******,2.26******,,C/ Marcus Porcius
822,Al.Organ.,Altres organismes,INSTITUT NACIONAL DE LA SEGURETAT SOCIAL (INSS),,,,93384****,,http://www.seg-social.es,,,,,,,,,D-01,B-13,08911,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.46******,2.25******,,C/ Margarida Xirgu
823,Al.Organ.,Altres organismes,TESORERIA GENERAL DE LA SEGURETAT SOCIAL,,,,93384****,,http://www.seg-social.es,,,,,,,,,D-03,B-17,08911,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.46******,2.25******,,Av. President Companys
824,Al.Organ.,Altres organismes,COMISSIONS OBRERES (CCOO),,,,93388****,,http://www.ccoo.es,,,,,,,,,D-05,B-06,08912,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.24******,,C/ Font i Escolà
