CODI_DIVISIO_TERRITORIAL;DISTRICTE_AMBIT_TERRITORIAL;BARRI_AMBIT_TERRITORIAL;MES;ANY;CODI_INFRACCIO;DESCRIPCIO_INFRACCIO;NRE_TOTAL
B-1; ;Centre;12;2014;110-2;Utilitzar senyals acústics estridents;2
B-1; ;Centre;12;2014;117-1;No utilitzar , el conductor/a, el cinturó de seguretat;1
B-1; ;Centre;12;2014;146-;No respectar semàfors circulars per a vehicles;5
B-1; ;Centre;12;2014;146-3;No detenir-se, podent-ho fer sense perill, davant la llum groga no intermitent d un semàfor;1
B-1; ;Centre;12;2014;152-1;No obeir el senyal de circulació prohibida;1
B-1; ;Centre;12;2014;160-1;No respectar el carril reservat als autobusos o taxis;1
B-1; ;Centre;12;2014;167-1;No respectar la línia longitudinal contínua;2
B-1; ;Centre;12;2014;171-;No respectar marques d altres colors;2
B-1; ;Centre;12;2014;18-2;Conduir sense mantenir el camp necessari de visió;11
B-1; ;Centre;12;2014;20-1;Conduir un vehicle amb una concentració d alcohol en l aire espirat entre 0,25 i 0,50 mgs;1
B-1; ;Centre;12;2014;9-;Transportar un nombre de persones superior al de places autoritzades;1
B-1; ;Centre;12;2014;9-1;Transportar un nombre de persones superior al de places autoritzades;1
B-1; ;Centre;12;2014;91-10;Estacionar en doble fila obstaculitzant la circulació;1
B-1; ;Centre;12;2014;91-12;Estacionar en una zona de càrrega i descàrrega obstaculitzant els vehicles autoritzats per a fer-ho;1
B-1; ;Centre;12;2014;91-14;Estacionar damunt la vorera obstaculitzant el pas de vianants;1
B-1; ;Centre;12;2014;91-15;Estacionar en una zona per als vianants i impedir-ne el pas;1
B-1; ;Centre;12;2014;91-18;Estacionar en un carril obstaculitzant la circulació;2
B-1; ;Centre;12;2014;91-2;No trobo la descripció de la infracció;3
B-1; ;Centre;12;2014;91-2;Estacionar i impedir el moviment de vehicles degudament estacionats;1
B-1; ;Centre;12;2014;91-8;Estacionar i obstaculitzar greument la circulació;2
B-1; ;Centre;12;2014;92-2;Estacionar i no permetre l ús millor de l espai disponible;1
B-1; ;Centre;12;2014;94-11;Estacionar un vehicle temps indefinit amb símptomes d abandonament  impedint altres estacionaments;2
B-1; ;Centre;12;2014;94-12;Estacionar en un carril reservat a la circulació i afectar-la;17
B-1; ;Centre;12;2014;94-13;Estacionar en una part de la via reservada al servei de determinats usuaris/es;3
B-1; ;Centre;12;2014;94-16;Estacionar en doble fila;1
B-1; ;Centre;12;2014;94-17;Estacionar damunt la vorera;9
B-1; ;Centre;12;2014;94-19;Estacionar en una zona de càrrega i descàrrega;3
B-1; ;Centre;12;2014;94-2;Aturar-se en un carril reservat a la circulació i afectar-la;1
B-1; ;Centre;12;2014;94-2;No trobo la descripció de la infracció;4
B-1; ;Centre;12;2014;94-20;Estacionar en una zona senyalitzada per a l ús exclusiu de minusvàlids;1
B-1; ;Centre;12;2014;94-21;Estacionar en una zona per a vianants;12
B-1; ;Centre;12;2014;94-31;Estacionar sense tiquet de control d horari;233
B-1; ;Centre;12;2014;94-32;Estacionar i sobrepassar el temps del tiquet de control d horari;104
B-1; ;Centre;12;2014;94-34;Estacionar amb el tiquet de control d horari sense que es vegi;6
B-10; ;Bonavista;12;2014;94-17;Estacionar damunt la vorera;1
B-11; ;Manresà;12;2014;146-;No respectar semàfors circulars per a vehicles;1
B-11; ;Manresà;12;2014;154-2;No obeir el senyal de gir prohibit;1
B-11; ;Manresà;12;2014;20-1;Conduir un vehicle amb una concentració d alcohol en l aire espirat entre 0,25 i 0,50 mgs;1
B-11; ;Manresà;12;2014;3-1;Conduïr de forma negligent;2
B-11; ;Manresà;12;2014;91-8;Estacionar i obstaculitzar greument la circulació;1
B-11; ;Manresà;12;2014;94-16;Estacionar en doble fila;1
B-12; ;Canyadó;12;2014;117-1;No utilitzar , el conductor/a, el cinturó de seguretat;1
B-12; ;Canyadó;12;2014;94-10;Estacionar en un pas de vianants;1
B-12; ;Canyadó;12;2014;94-17;Estacionar damunt la vorera;1
B-13; ;Casagemes;12;2014;117-1;No utilitzar , el conductor/a, el cinturó de seguretat;1
B-13; ;Casagemes;12;2014;152-;No respectar senyals de prohibició d entrada;1
B-13; ;Casagemes;12;2014;159-;No respectar senyals d indicacions generals;1
B-13; ;Casagemes;12;2014;9-1;Transportar un nombre de persones superior al de places autoritzades;1
B-13; ;Casagemes;12;2014;91-14;Estacionar damunt la vorera obstaculitzant el pas de vianants;1
B-13; ;Casagemes;12;2014;94-11;Estacionar un vehicle temps indefinit amb símptomes d abandonament  impedint altres estacionaments;1
B-13; ;Casagemes;12;2014;94-12;Estacionar en un carril reservat a la circulació i afectar-la;1
B-15; ;Pomar;12;2014;91-14;Estacionar damunt la vorera obstaculitzant el pas de vianants;1
B-15; ;Pomar;12;2014;94-11;Estacionar un vehicle temps indefinit amb símptomes d abandonament  impedint altres estacionaments;1
B-15; ;Pomar;12;2014;94-20;Estacionar en una zona senyalitzada per a l ús exclusiu de minusvàlids;2
B-16; ;Morera;12;2014;146-;No respectar semàfors circulars per a vehicles;2
B-16; ;Morera;12;2014;167-1;No respectar la línia longitudinal contínua;1
B-16; ;Morera;12;2014;91-14;Estacionar damunt la vorera obstaculitzant el pas de vianants;1
B-16; ;Morera;12;2014;94-10;Estacionar en un pas de vianants;1
B-16; ;Morera;12;2014;94-11;Estacionar un vehicle temps indefinit amb símptomes d abandonament  impedint altres estacionaments;1
B-16; ;Morera;12;2014;94-17;Estacionar damunt la vorera;1
B-18; ;Pomar De Dalt;12;2014;94-11;Estacionar un vehicle temps indefinit amb símptomes d abandonament  impedint altres estacionaments;1
B-19; ;Sant Crist De Can Cabanyes;12;2014;117-1;No utilitzar , el conductor/a, el cinturó de seguretat;1
B-19; ;Sant Crist De Can Cabanyes;12;2014;152-;No respectar senyals de prohibició d entrada;1
B-19; ;Sant Crist De Can Cabanyes;12;2014;154-2;No obeir el senyal de gir prohibit;1
B-19; ;Sant Crist De Can Cabanyes;12;2014;154-4;No obeir el senyal d aturada prohibida;1
B-19; ;Sant Crist De Can Cabanyes;12;2014;91-11;Estacionar en un gual obstaculitzant totalment la sortida de vehicles;1
B-19; ;Sant Crist De Can Cabanyes;12;2014;91-2;Estacionar i impedir el moviment de vehicles degudament estacionats;2
B-19; ;Sant Crist De Can Cabanyes;12;2014;91-3;Estacionar en separadors, illes o altres elements de canalització del trànsit;1
B-19; ;Sant Crist De Can Cabanyes;12;2014;94-12;Estacionar en un carril reservat a la circulació i afectar-la;1
B-19; ;Sant Crist De Can Cabanyes;12;2014;94-18;Estacionar en un gual;1
B-2; ;Coll I Pujol;12;2014;110-2;Utilitzar senyals acústics estridents;1
B-2; ;Coll I Pujol;12;2014;129-1;No facilitar-ne la identitat quan s està implicat en un accident de circulació;1
B-2; ;Coll I Pujol;12;2014;146-;No respectar semàfors circulars per a vehicles;3
B-2; ;Coll I Pujol;12;2014;160-1;No respectar el carril reservat als autobusos o taxis;1
B-2; ;Coll I Pujol;12;2014;167-1;No respectar la línia longitudinal contínua;1
B-2; ;Coll I Pujol;12;2014;18-2;Conduir sense mantenir el camp necessari de visió;6
B-2; ;Coll I Pujol;12;2014;78-1;Canviar el sentit de la marxa en un lloc inadequat;1
B-2; ;Coll I Pujol;12;2014;90-2;Estacionar un vehicle separat de la vora dreta de la calçada en una via de doble sentit;1
B-2; ;Coll I Pujol;12;2014;91-18;Estacionar en un carril obstaculitzant la circulació;2
B-2; ;Coll I Pujol;12;2014;91-8;Estacionar i obstaculitzar greument la circulació;1
B-2; ;Coll I Pujol;12;2014;94-12;Estacionar en un carril reservat a la circulació i afectar-la;4
B-2; ;Coll I Pujol;12;2014;94-13;Estacionar en una part de la via reservada al servei de determinats usuaris/es;1
B-2; ;Coll I Pujol;12;2014;94-16;Estacionar en doble fila;1
