CODI_DIVISIO_TERRITORIAL;DISTRICTE_AMBIT_TERRITORIAL;BARRI_AMBIT_TERRITORIAL;MES;ANY;CODI_INFRACCIO;DESCRIPCIO_INFRACCIO;NRE_TOTAL
B-1; ;Centre;08;2015;101-1;Circular sense portar encès l enllumenat reglamentari durant la nit;1
B-1; ;Centre;08;2015;117-1;No utilitzar , el conductor/a, el cinturó de seguretat;1
B-1; ;Centre;08;2015;143-1;No obeir les ordres de l agent de circulació;1
B-1; ;Centre;08;2015;146-;No respectar semàfors circulars per a vehicles;3
B-1; ;Centre;08;2015;154-1;No obeir el senyal d estacionament prohibit;1
B-1; ;Centre;08;2015;18-2;Conduir sense mantenir el camp necessari de visió;2
B-1; ;Centre;08;2015;3-1;Conduïr de forma negligent;1
B-1; ;Centre;08;2015;91-14;Estacionar damunt la vorera obstaculitzant el pas de vianants;3
B-1; ;Centre;08;2015;91-18;Estacionar en un carril obstaculitzant la circulació;2
B-1; ;Centre;08;2015;91-4;Estacionar en el centre de la calçada;1
B-1; ;Centre;08;2015;94-11;Estacionar un vehicle temps indefinit amb símptomes d abandonament  impedint altres estacionaments;1
B-1; ;Centre;08;2015;94-12;Estacionar en un carril reservat a la circulació i afectar-la;3
B-1; ;Centre;08;2015;94-17;Estacionar damunt la vorera;4
B-1; ;Centre;08;2015;94-18;Estacionar en un gual;1
B-1; ;Centre;08;2015;94-19;Estacionar en una zona de càrrega i descàrrega;3
B-1; ;Centre;08;2015;94-2;Aturar-se en un carril reservat a la circulació i afectar-la;1
B-1; ;Centre;08;2015;94-20;Estacionar en una zona senyalitzada per a l ús exclusiu de minusvàlids;1
B-1; ;Centre;08;2015;94-21;Estacionar en una zona per a vianants;2
B-1; ;Centre;08;2015;94-31;Estacionar sense tiquet de control d horari;259
B-1; ;Centre;08;2015;94-32;Estacionar i sobrepassar el temps del tiquet de control d horari;27
B-1; ;Centre;08;2015;94-33;Estacionar i sobrepassar el temps màxim autoritzat;16
B-1; ;Centre;08;2015;94-34;Estacionar amb el tiquet de control d horari sense que es vegi;4
B-1; ;Centre;08;2015;94-35;Estacionar sobrepassant el doble del temps del tiquet de control horari;4
B-1; ;Centre;08;2015;94-42;Estacionar en un carril destinat a l ús de transport públic;1
B-11; ;Manresà;08;2015;20-1;Conduir un vehicle amb una concentració d alcohol en l aire espirat entre 0,25 i 0,50 mgs;3
B-11; ;Manresà;08;2015;9-1;Transportar un nombre de persones superior al de places autoritzades;1
B-11; ;Manresà;08;2015;91-18;Estacionar en un carril obstaculitzant la circulació;1
B-11; ;Manresà;08;2015;94-11;Estacionar un vehicle temps indefinit amb símptomes d abandonament  impedint altres estacionaments;2
B-11; ;Manresà;08;2015;94-31;Estacionar sense tiquet de control d horari;28
B-11; ;Manresà;08;2015;94-32;Estacionar i sobrepassar el temps del tiquet de control d horari;1
