CODI_DIVISIO_TERRITORIAL;DISTRICTE_AMBIT_TERRITORIAL;BARRI_AMBIT_TERRITORIAL;MES;ANY;CODI_INFRACCIO;DESCRIPCIO_INFRACCIO;NRE_TOTAL
B-1; ;Centre;02;2016;121-6;Circular amb un vehicle per una zona de vianants;2
B-1; ;Centre;02;2016;154-;Sense descripció de la infracció;3
B-1; ;Centre;02;2016;154-1;No obeir el senyal d estacionament prohibit;4
B-1; ;Centre;02;2016;18-2;Conduir sense mantenir el camp necessari de visió;1
B-1; ;Centre;02;2016;65-;Sense descripció de la infracció;1
B-1; ;Centre;02;2016;91-11;Estacionar en un gual obstaculitzant totalment la sortida de vehicles;1
B-1; ;Centre;02;2016;91-12;Estacionar en una zona de càrrega i descàrrega obstaculitzant els vehicles autoritzats per a fer-ho;3
B-1; ;Centre;02;2016;91-14;Estacionar damunt la vorera obstaculitzant el pas de vianants;2
B-1; ;Centre;02;2016;91-18;Estacionar en un carril obstaculitzant la circulació;5
B-1; ;Centre;02;2016;91-2;Sense descripció de la infracció;1
B-1; ;Centre;02;2016;91-4;Estacionar en el centre de la calçada;1
B-1; ;Centre;02;2016;91-6;Aturar-se i obstaculitzar greument la circulació;1
B-1; ;Centre;02;2016;94-10;Estacionar en un pas de vianants;1
B-1; ;Centre;02;2016;94-12;Estacionar en un carril reservat a la circulació i afectar-la;3
B-1; ;Centre;02;2016;94-17;Estacionar damunt la vorera;5
B-1; ;Centre;02;2016;94-19;Estacionar en una zona de càrrega i descàrrega;12
B-1; ;Centre;02;2016;94-2;Estacionar sobre la vorera;14
B-1; ;Centre;02;2016;94-2;Sense descripció de la infracció;8
B-1; ;Centre;02;2016;94-21;Estacionar en una zona per a vianants;5
B-1; ;Centre;02;2016;94-31;Estacionar sense tiquet de control d horari;179
B-1; ;Centre;02;2016;94-32;Estacionar i sobrepassar el temps del tiquet de control d horari;112
B-1; ;Centre;02;2016;94-34;Estacionar amb el tiquet de control d horari sense que es vegi;10
B-10; ;Bonavista;02;2016;154-1;No obeir el senyal d estacionament prohibit;1
B-10; ;Bonavista;02;2016;94-17;Estacionar damunt la vorera;1
B-10; ;Bonavista;02;2016;94-2;Sense descripció de la infracció;1
B-11; ;Manresà;02;2016;143-1;No obeir les ordres de l agent de circulació;1
B-11; ;Manresà;02;2016;152-;Sense descripció de la infracció;1
B-11; ;Manresà;02;2016;3-1;Conduïr de forma negligent;1
B-11; ;Manresà;02;2016;94-11;Estacionar un vehicle temps indefinit amb símptomes d abandonament  impedint altres estacionaments;1
B-11; ;Manresà;02;2016;94-2;Sense descripció de la infracció;1
B-11; ;Manresà;02;2016;94-31;Estacionar sense tiquet de control d horari;1
B-12; ;Canyadó;02;2016;154-;Sense descripció de la infracció;2
B-12; ;Canyadó;02;2016;94-11;Estacionar un vehicle temps indefinit amb símptomes d abandonament  impedint altres estacionaments;3
B-13; ;Casagemes;02;2016;143-1;No obeir les ordres de l agent de circulació;1
B-13; ;Casagemes;02;2016;20-1;Conduir un vehicle amb una concentració d alcohol en l aire espirat entre 0,25 i 0,50 mgs;1
B-13; ;Casagemes;02;2016;94-11;Estacionar un vehicle temps indefinit amb símptomes d abandonament  impedint altres estacionaments;1
B-13; ;Casagemes;02;2016;94-2;Estacionar sobre la vorera;1
B-16; ;Morera;02;2016;117-3;No utilitzar, el passatger del seient del darrera, el cinturó de seguretat;1
B-16; ;Morera;02;2016;94-11;Estacionar un vehicle temps indefinit amb símptomes d abandonament  impedint altres estacionaments;1
B-16; ;Morera;02;2016;94-20;Estacionar en una zona senyalitzada per a l ús exclusiu de minusvàlids;1
B-16; ;Morera;02;2016;94-31;Estacionar sense tiquet de control d horari;1
B-19; ;Sant Crist De Can Cabanyes;02;2016;118-1;No utilitzar, el conductor/a casc de protecció;1
B-19; ;Sant Crist De Can Cabanyes;02;2016;159-;Sense descripció de la infracció;1
B-19; ;Sant Crist De Can Cabanyes;02;2016;94-11;Estacionar un vehicle temps indefinit amb símptomes d abandonament  impedint altres estacionaments;1
B-19; ;Sant Crist De Can Cabanyes;02;2016;94-12;Estacionar en un carril reservat a la circulació i afectar-la;1
B-19; ;Sant Crist De Can Cabanyes;02;2016;94-2;Aturar-se en un carril reservat a la circulació i afectar-la;1
B-2; ;Coll I Pujol;02;2016;121-6;Circular amb un vehicle per una zona de vianants;1
B-2; ;Coll I Pujol;02;2016;56-1;No cedir pas en intersecció regulada per un agent i obligar el conductor/a d un altre vehicle a maniobrar bruscament;1
B-2; ;Coll I Pujol;02;2016;76-1;No adoptar precaucions necessàries per evitar qualsevol perill en un canvi de direcció;1
B-2; ;Coll I Pujol;02;2016;91-6;Aturar-se i obstaculitzar greument la circulació;1
B-2; ;Coll I Pujol;02;2016;94-11;Estacionar un vehicle temps indefinit amb símptomes d abandonament  impedint altres estacionaments;1
B-2; ;Coll I Pujol;02;2016;94-17;Estacionar damunt la vorera;1
B-20; ;Nova Lloreda;02;2016;152-;Sense descripció de la infracció;1
B-20; ;Nova Lloreda;02;2016;94-11;Estacionar un vehicle temps indefinit amb símptomes d abandonament  impedint altres estacionaments;3
B-20; ;Nova Lloreda;02;2016;94-12;Estacionar en un carril reservat a la circulació i afectar-la;1
B-20; ;Nova Lloreda;02;2016;94-2;Aturar-se en un carril reservat a la circulació i afectar-la;1
B-20; ;Nova Lloreda;02;2016;94-2;Sense descripció de la infracció;1
B-21; ;Sistrells;02;2016;159-;Sense descripció de la infracció;2
B-21; ;Sistrells;02;2016;91-11;Estacionar en un gual obstaculitzant totalment la sortida de vehicles;1
B-21; ;Sistrells;02;2016;94-11;Estacionar un vehicle temps indefinit amb símptomes d abandonament  impedint altres estacionaments;1
B-21; ;Sistrells;02;2016;94-14;Estacionar a prop d una intersecció i dificultar el gir;1
B-21; ;Sistrells;02;2016;94-15;Estacionar a prop d una intersecció i dificultar la visibilitat;2
B-21; ;Sistrells;02;2016;94-17;Estacionar damunt la vorera;2
B-21; ;Sistrells;02;2016;94-2;Aturar-se en un carril reservat a la circulació i afectar-la;1
B-22; ;La Salut;02;2016;154-;Sense descripció de la infracció;1
B-22; ;La Salut;02;2016;154-1;No obeir el senyal d estacionament prohibit;9
B-22; ;La Salut;02;2016;159-;Sense descripció de la infracció;1
B-22; ;La Salut;02;2016;91-10;Estacionar en doble fila obstaculitzant la circulació;1
B-22; ;La Salut;02;2016;91-14;Estacionar damunt la vorera obstaculitzant el pas de vianants;1
B-22; ;La Salut;02;2016;91-18;Estacionar en un carril obstaculitzant la circulació;1
B-22; ;La Salut;02;2016;91-4;Estacionar en el centre de la calçada;1
B-22; ;La Salut;02;2016;91-8;Estacionar i obstaculitzar greument la circulació;3
B-22; ;La Salut;02;2016;94-11;Estacionar un vehicle temps indefinit amb símptomes d abandonament  impedint altres estacionaments;7
B-22; ;La Salut;02;2016;94-12;Estacionar en un carril reservat a la circulació i afectar-la;3
B-22; ;La Salut;02;2016;94-17;Estacionar damunt la vorera;4
B-22; ;La Salut;02;2016;94-19;Estacionar en una zona de càrrega i descàrrega;1
B-22; ;La Salut;02;2016;94-2;Estacionar sobre la vorera;1
B-22; ;La Salut;02;2016;94-2;Sense descripció de la infracció;3
B-22; ;La Salut;02;2016;94-29;Estacionar un ciclomotor o motocicleta en una vorera de menys de 3 m d amplada;1
B-24; ;La Pau;02;2016;94-11;Estacionar un vehicle temps indefinit amb símptomes d abandonament  impedint altres estacionaments;1
B-24; ;La Pau;02;2016;94-12;Estacionar en un carril reservat a la circulació i afectar-la;1
B-24; ;La Pau;02;2016;94-17;Estacionar damunt la vorera;1
B-24; ;La Pau;02;2016;94-18;Estacionar en un gual;1
B-24; ;La Pau;02;2016;94-2;Aturar-se en un carril reservat a la circulació i afectar-la;1
B-24; ;La Pau;02;2016;94-2;Sense descripció de la infracció;2
B-25; ;Puigfred;02;2016;78-1;Canviar el sentit de la marxa en un lloc inadequat;1
B-25; ;Puigfred;02;2016;91-15;Estacionar en una zona per als vianants i impedir-ne el pas;1
B-25; ;Puigfred;02;2016;94-2;Sense descripció de la infracció;2
B-25; ;Puigfred;02;2016;94-9;Estacionar en una intersecció;1
B-26; ;Montigalà;02;2016;117-3;No utilitzar, el passatger del seient del darrera, el cinturó de seguretat;1
B-26; ;Montigalà;02;2016;154-4;No obeir el senyal d aturada prohibida;1
B-26; ;Montigalà;02;2016;94-11;Estacionar un vehicle temps indefinit amb símptomes d abandonament  impedint altres estacionaments;3
B-27; ;Sant Joan De Llefià;02;2016;154-;Sense descripció de la infracció;5
B-27; ;Sant Joan De Llefià;02;2016;154-1;No obeir el senyal d estacionament prohibit;8
B-27; ;Sant Joan De Llefià;02;2016;159-;Sense descripció de la infracció;2
B-27; ;Sant Joan De Llefià;02;2016;91-14;Estacionar damunt la vorera obstaculitzant el pas de vianants;4
B-27; ;Sant Joan De Llefià;02;2016;94-11;Estacionar un vehicle temps indefinit amb símptomes d abandonament  impedint altres estacionaments;4
B-27; ;Sant Joan De Llefià;02;2016;94-17;Estacionar damunt la vorera;11
