CODI_DIVISIO_TERRITORIAL;DISTRICTE_AMBIT_TERRITORIAL;BARRI_AMBIT_TERRITORIAL;MES;ANY;CODI_INFRACCIO;DESCRIPCIO_INFRACCIO;NRE_TOTAL
B-1;;CENTRE;09;2018;94-;Estacionar sense tiquet de control d'horari;32
B-1;;CENTRE;09;2018;94-E;Estacionar sobre la vorera;2
B-1;;CENTRE;09;2018;20-;Conduir un vehicle amb una concentració d'alcohol en l'aire espirat entre 0,25 i 0,50 mgs;1
B-1;;CENTRE;09;2018;91-;Estacionar en una sortida d'emergència;1
B-1;;CENTRE;09;2018;94-;Estacionar i sobrepassar el temps del tiquet de control d'horari;9
B-1;;CENTRE;09;2018;154-;Sense descripció de la infracció;9
B-11;;MANRESÀ;09;2018;94-E;Estacionar sobre la vorera;1
B-11;;MANRESÀ;09;2018;146-;Sense descripció de la infracció;1
B-11;;MANRESÀ;09;2018;94-;Estacionar sense tiquet de control d'horari;1
B-12;;CANYADÓ;09;2018;94-A;Sense descripció de la infracció;1
B-13;;CASAGEMES;09;2018;94-;Estacionar sense tiquet de control d'horari;1
B-13;;CASAGEMES;09;2018;94-E;Estacionar sobre la vorera;1
B-15;;POMAR;09;2018;94-;Estacionar un vehicle temps indefinit amb símptomes d'abandonament  impedint altres estacionaments;1
B-2;;COLL I PUJOL;09;2018;154-;Sense descripció de la infracció;1
B-2;;COLL I PUJOL;09;2018;94-;Estacionar un vehicle temps indefinit amb símptomes d'abandonament  impedint altres estacionaments;2
B-20;;NOVA LLOREDA;09;2018;94-A;Sense descripció de la infracció;2
B-21;;SISTRELLS;09;2018;94-A;Sense descripció de la infracció;1
B-22;;LA SALUT;09;2018;94-A;Sense descripció de la infracció;7
B-22;;LA SALUT;09;2018;94-E;Estacionar sobre la vorera;2
B-22;;LA SALUT;09;2018;117-;No utilitzar, el passatger del seient del darrera, el cinturó de seguretat;1
B-22;;LA SALUT;09;2018;2-;Sense descripció de la infracció;1
B-22;;LA SALUT;09;2018;20-;Conduir un vehicle amb una concentració d'alcohol en l'aire espirat entre 0,25 i 0,50 mgs;3
B-22;;LA SALUT;09;2018;94-;Estacionar un vehicle temps indefinit amb símptomes d'abandonament  impedint altres estacionaments;1
B-22;;LA SALUT;09;2018;91-;Estacionar en una sortida d'emergència;2
B-22;;LA SALUT;09;2018;94-G;Sense descripció de la infracció;1
B-22;;LA SALUT;09;2018;91-M;Sense descripció de la infracció;1
B-22;;LA SALUT;09;2018;94-F;Sense descripció de la infracció;1
B-24;;LA PAU;09;2018;94-E;Estacionar sobre la vorera;1
B-24;;LA PAU;09;2018;94-F;Sense descripció de la infracció;1
B-24;;LA PAU;09;2018;91-;Estacionar en una sortida d'emergència;2
B-25;;PUIGFRED;09;2018;91-;Estacionar en una sortida d'emergència;1
B-25;;PUIGFRED;09;2018;154-;Sense descripció de la infracció;1
B-25;;PUIGFRED;09;2018;94-;Estacionar un vehicle temps indefinit amb símptomes d'abandonament  impedint altres estacionaments;1
B-25;;PUIGFRED;09;2018;94-E;Estacionar sobre la vorera;3
B-25;;PUIGFRED;09;2018;91-;Estacionar en el centre de la calçada;1
B-28;;SANT ANTONI DE LLEFIÀ;09;2018;94-F;Sense descripció de la infracció;1
B-29;;SANT MORI DE LLEFIÀ;09;2018;167-;Sense descripció de la infracció;1
B-29;;SANT MORI DE LLEFIÀ;09;2018;84-;Avançar sense espai lliure suficient en el carril que s'utilitza per a la maniobra destorbant els que circulen en sentit contrari;1
B-29;;SANT MORI DE LLEFIÀ;09;2018;94-E;Estacionar sobre la vorera;7
B-29;;SANT MORI DE LLEFIÀ;09;2018;94-A;Sense descripció de la infracció;69
B-29;;SANT MORI DE LLEFIÀ;09;2018;94-G;Sense descripció de la infracció;3
B-29;;SANT MORI DE LLEFIÀ;09;2018;154-;Sense descripció de la infracció;4
B-29;;SANT MORI DE LLEFIÀ;09;2018;91-C;Sense descripció de la infracció;1
B-29;;SANT MORI DE LLEFIÀ;09;2018;18-;Conduir sense mantenir el camp necessari de visió;1
B-3;;DALT DE LA VILA;09;2018;94-F;Sense descripció de la infracció;1
B-3;;DALT DE LA VILA;09;2018;94-A;Sense descripció de la infracció;18
B-3;;DALT DE LA VILA;09;2018;94-;Estacionar amb el tiquet de control d'horari sense que es vegi;2
B-3;;DALT DE LA VILA;09;2018;94-;Estacionar i sobrepassar el temps del tiquet de control d'horari;12
B-3;;DALT DE LA VILA;09;2018;94-;Estacionar sense tiquet de control d'horari;44
B-30;;ARTIGUES;09;2018;94-E;Estacionar sobre la vorera;1
B-30;;ARTIGUES;09;2018;94-A;Sense descripció de la infracció;3
B-30;;ARTIGUES;09;2018;91-E;Sense descripció de la infracció;1
B-30;;ARTIGUES;09;2018;91-;Estacionar en una sortida d'emergència;1
B-30;;ARTIGUES;09;2018;91-H;Sense descripció de la infracció;1
B-30;;ARTIGUES;09;2018;171-;Sense descripció de la infracció;1
B-30;;ARTIGUES;09;2018;94-F;Sense descripció de la infracció;2
B-30;;ARTIGUES;09;2018;91-G;Sense descripció de la infracció;3
B-30;;ARTIGUES;09;2018;94-;Estacionar un vehicle temps indefinit amb símptomes d'abandonament  impedint altres estacionaments;2
B-30;;ARTIGUES;09;2018;94-C;Sense descripció de la infracció;2
B-30;;ARTIGUES;09;2018;152-;Sense descripció de la infracció;1
B-30;;ARTIGUES;09;2018;91-M;Sense descripció de la infracció;2
B-31;;SANT ROC;09;2018;91-H;Sense descripció de la infracció;1
B-31;;SANT ROC;09;2018;94-E;Estacionar sobre la vorera;1
B-31;;SANT ROC;09;2018;20-;Conduir un vehicle amb una concentració d'alcohol en l'aire espirat entre 0,25 i 0,50 mgs;1
B-31;;SANT ROC;09;2018;91-E;Sense descripció de la infracció;2
B-31;;SANT ROC;09;2018;7-;Sense descripció de la infracció;1
B-31;;SANT ROC;09;2018;94-;Estacionar un vehicle temps indefinit amb símptomes d'abandonament  impedint altres estacionaments;2
B-31;;SANT ROC;09;2018;94-A;Sense descripció de la infracció;12
B-31;;SANT ROC;09;2018;94-G;Sense descripció de la infracció;7
B-32;;CONGRÉS;09;2018;94-A;Sense descripció de la infracció;1
B-4;;GORG;09;2018;94-;Estacionar sense tiquet de control d'horari;3
B-4;;GORG;09;2018;94-;Estacionar un vehicle temps indefinit amb símptomes d'abandonament  impedint altres estacionaments;4
B-5;;PROGRÉS;09;2018;94-;Estacionar sense tiquet de control d'horari;22
B-5;;PROGRÉS;09;2018;94-;Estacionar un vehicle temps indefinit amb símptomes d'abandonament  impedint altres estacionaments;3
B-5;;PROGRÉS;09;2018;94-;Estacionar i sobrepassar el temps del tiquet de control d'horari;1
B-5;;PROGRÉS;09;2018;117-;No utilitzar , el conductor/a, el cinturó de seguretat;1
B-6;;RAVAL;09;2018;94-E;Estacionar sobre la vorera;1
B-6;;RAVAL;09;2018;94-G;Sense descripció de la infracció;1
B-6;;RAVAL;09;2018;94-A;Sense descripció de la infracció;13
B-7;;CAN CLARIS;09;2018;94-A;Sense descripció de la infracció;1
B-7;;CAN CLARIS;09;2018;94-E;Estacionar sobre la vorera;1
B-9;;BUFALÀ;09;2018;94-;Estacionar sense tiquet de control d'horari;1
B-9;;BUFALÀ;09;2018;91-B;Sense descripció de la infracció;1
B-9;;BUFALÀ;09;2018;94-A;Sense descripció de la infracció;4
B-9;;BUFALÀ;09;2018;18-;Conduir sense mantenir el camp necessari de visió;1
B-9;;BUFALÀ;09;2018;94-E;Estacionar sobre la vorera;1
B-9;;BUFALÀ;09;2018;91-C;Sense descripció de la infracció;1
B-9;;BUFALÀ;09;2018;94-;Estacionar un vehicle temps indefinit amb símptomes d'abandonament  impedint altres estacionaments;1
;;;09;2018;94-;Estacionar en una zona de càrrega i descàrrega;18
;;;09;2018;94-E;Estacionar sobre la vorera;60
;;;09;2018;91-;Estacionar en el centre de la calçada;5
