CODI_DIVISIO_TERRITORIAL;DISTRICTE_AMBIT_TERRITORIAL;BARRI_AMBIT_TERRITORIAL;MES;ANY;CODI_INFRACCIO;DESCRIPCIO_INFRACCIO;NRE_TOTAL
B-1; ;Centre;03;2013;117-1;No utilitzar , el conductor/a, el cinturó de seguretat;2
B-1; ;Centre;03;2013;146-;No respectar semàfors circulars per a vehicles;5
B-1; ;Centre;03;2013;146-3;No detenir-se, podent-ho fer sense perill, davant la llum groga no intermitent d un semàfor;1
B-1; ;Centre;03;2013;154-;No respectar altres senyals de prohibició o restricció;14
B-1; ;Centre;03;2013;154-1;No obeir el senyal d estacionament prohibit;7
B-1; ;Centre;03;2013;154-4;No obeir el senyal d aturada prohibida;3
B-1; ;Centre;03;2013;171-;No respectar marques d altres colors;2
B-1; ;Centre;03;2013;18-1;Conduir sense matenir la pròpia llibertat de moviments;1
B-1; ;Centre;03;2013;18-2;Conduir sense mantenir el camp necessari de visió;4
B-1; ;Centre;03;2013;20-1;Conduir un vehicle amb una concentració d alcohol en l aire espirat entre 0,25 i 0,50 mgs;1
B-1; ;Centre;03;2013;46-1;No adequar la velocitat a la que exigeixen les circumstàncies;1
B-1; ;Centre;03;2013;9-;Transportar un nombre de persones superior al de places autoritzades;1
B-1; ;Centre;03;2013;91-1;Estacionar en una sortida d emergència;4
B-1; ;Centre;03;2013;91-11;Estacionar en un gual obstaculitzant totalment la sortida de vehicles;1
B-1; ;Centre;03;2013;91-12;Estacionar en una zona de càrrega i descàrrega obstaculitzant els vehicles autoritzats per a fer-ho;1
B-1; ;Centre;03;2013;91-13;Estacionar en una zona reservada al transport públic obstaculitzant els vehicles autoritzats per a fer-ho;1
B-1; ;Centre;03;2013;91-14;Estacionar damunt la vorera obstaculitzant el pas de vianants;8
B-1; ;Centre;03;2013;91-15;Estacionar en una zona per als vianants i impedir-ne el pas;1
B-1; ;Centre;03;2013;91-18;Estacionar en un carril obstaculitzant la circulació;2
B-1; ;Centre;03;2013;91-2;No trobo la descripció de la infracció;1
B-1; ;Centre;03;2013;91-5;Estacionar en un pas de minusvàlids;16
B-1; ;Centre;03;2013;94-12;Estacionar en un carril reservat a la circulació i afectar-la;36
B-1; ;Centre;03;2013;94-13;Estacionar en una part de la via reservada al servei de determinats usuaris/es;32
B-1; ;Centre;03;2013;94-14;Estacionar a prop d una intersecció i dificultar el gir;8
B-1; ;Centre;03;2013;94-15;Estacionar a prop d una intersecció i dificultar la visibilitat;7
B-1; ;Centre;03;2013;94-17;Estacionar damunt la vorera;9
B-1; ;Centre;03;2013;94-18;Estacionar en un gual;2
B-1; ;Centre;03;2013;94-19;Estacionar en una zona de càrrega i descàrrega;34
B-1; ;Centre;03;2013;94-2;Aturar-se en un carril reservat a la circulació i afectar-la;2
B-1; ;Centre;03;2013;94-2;Estacionar sobre la vorera;5
B-1; ;Centre;03;2013;94-20;Estacionar en una zona senyalitzada per a l ús exclusiu de minusvàlids;3
B-1; ;Centre;03;2013;94-21;Estacionar en una zona per a vianants;13
B-1; ;Centre;03;2013;94-31;Estacionar sense tiquet de control d horari;199
B-1; ;Centre;03;2013;94-32;Estacionar i sobrepassar el temps del tiquet de control d horari;54
B-1; ;Centre;03;2013;94-33;Estacionar i sobrepassar el temps màxim autoritzat;77
B-1; ;Centre;03;2013;94-34;Estacionar amb el tiquet de control d horari sense que es vegi;11
B-10; ;Bonavista;03;2013;146-;No respectar semàfors circulars per a vehicles;1
B-10; ;Bonavista;03;2013;91-11;Estacionar en un gual obstaculitzant totalment la sortida de vehicles;1
B-10; ;Bonavista;03;2013;91-2;Estacionar i impedir el moviment de vehicles degudament estacionats;1
B-10; ;Bonavista;03;2013;94-16;Estacionar en doble fila;1
B-11; ;Manresà;03;2013;146-3;No detenir-se, podent-ho fer sense perill, davant la llum groga no intermitent d un semàfor;1
B-11; ;Manresà;03;2013;152-1;No obeir el senyal de circulació prohibida;1
B-11; ;Manresà;03;2013;18-2;Conduir sense mantenir el camp necessari de visió;1
B-11; ;Manresà;03;2013;20-1;Conduir un vehicle amb una concentració d alcohol en l aire espirat entre 0,25 i 0,50 mgs;1
B-11; ;Manresà;03;2013;84-1;Avançar amb desplaçament lateral sense advertir-ho amb temps suficient;1
B-11; ;Manresà;03;2013;91-15;Estacionar en una zona per als vianants i impedir-ne el pas;1
B-11; ;Manresà;03;2013;91-18;Estacionar en un carril obstaculitzant la circulació;2
B-11; ;Manresà;03;2013;94-2;Aturar-se en un carril reservat a la circulació i afectar-la;1
B-11; ;Manresà;03;2013;94-22;Estacionar en una zona reservada al transport públic;1
B-12; ;Canyadó;03;2013;91-3;Estacionar en separadors, illes o altres elements de canalització del trànsit;1
B-12; ;Canyadó;03;2013;92-2;Estacionar i no permetre l ús millor de l espai disponible;1
B-12; ;Canyadó;03;2013;94-13;Estacionar en una part de la via reservada al servei de determinats usuaris/es;1
