NOM_PLATJA;BANDERA;QUALITAT_AIGUA;ESTAT_MAR;MEDUSES;TEMP_AIGUA;TEMP_AMBIENT;FORÇA_VENT;TIPUS_VENT;UVI;DATA_ACTUALITZACIO
DE LA MORA;VERDA;EXCEL-LENT;Mar plana;NO;24,20;26,00;calma;Gregal(NE);Molt Alt;16/07/2010 00:00:00
DEL COCO;VERMELLA;EXCEL-LENT;Mar arrissada;NO;24,20;26,00;ventolina;Migjorn(S);Molt Alt;16/07/2010 00:00:00
DE L ESTACIÓ;VERDA;BONA;Mar arrissada;NO;24,20;26,00;calma;Gregal(NE);Molt Alt;16/07/2010 00:00:00
DEL PONT DEL PETROLI;VERDA;EXCEL-LENT;Mar arrissada;NO;24,20;26,00;ventolina;Migjorn(S);Molt Alt;16/07/2010 00:00:00
DEL PONT D EN BOTIFARRETA;VERDA;EXCEL-LENT;Mar arrissada;NO;24,20;26,00;calma;Migjorn(S);Molt Alt;16/07/2010 00:00:00
DEL CRISTALL;VERDA;EXCEL-LENT;Mar plana;NO;24,00;26,00;calma;Xaloc(SE);Molt Alt;16/07/2010 00:00:00
DELS PESCADORS;VERMELLA;EXCEL-LENT;Mar plana;NO;24,00;26,00;vent fluixet;Xaloc(SE);Molt Alt;16/07/2010 00:00:00
DEL PATí DE VELA;VERDA;EXCEL-LENT;Mar arrissada;NO;24,00;26,30;vent fluixet;Migjorn(S);Molt Alt;16/07/2010 00:00:00
DE LA MORA;VERDA;EXCEL-LENT;Mar plana;NO;23,90;27,00;ventolina;Migjorn(S);Alt;21/07/2010 00:00:00
DE LA BARCA MARIA;VERDA;EXCEL-LENT;Mar arrissada;NO;23,90;27,00;ventolina;Migjorn(S);Alt;21/07/2010 00:00:00
DEL CRISTALL;VERDA;EXCEL-LENT;Mar arrissada;NO;23,90;27,00;ventolina;Migjorn(S);Alt;21/07/2010 00:00:00
DEL PONT DEL PETROLI;VERDA;EXCEL-LENT;Mar arrissada;NO;23,90;27,00;ventolina;Migjorn(S);Alt;21/07/2010 00:00:00
DE L ESTACIÓ;VERDA;EXCEL-LENT;Mar arrissada;NO;23,90;27,00;ventolina;Migjorn(S);Alt;21/07/2010 00:00:00
DEL PATí DE VELA;VERDA;EXCEL-LENT;Mar arrissada;NO;23,90;27,00;ventolina;Migjorn(S);Alt;21/07/2010 00:00:00
DEL PONT D EN BOTIFARRETA;VERDA;EXCEL-LENT;Mar arrissada;NO;23,90;27,00;ventolina;Migjorn(S);Alt;21/07/2010 00:00:00
DELS PESCADORS;VERDA;EXCEL-LENT;Mar arrissada;NO;23,90;27,00;ventolina;Migjorn(S);Alt;21/07/2010 00:00:00
DEL COCO;VERDA;EXCEL-LENT;Mar arrissada;NO;23,90;27,00;ventolina;Migjorn(S);Alt;21/07/2010 00:00:00
DE LA MORA;VERDA;EXCEL-LENT;Mar arrissada;NO;26,40;24,60;vent fluix;Ponent(W);Baix;22/07/2010 00:00:00
DEL COCO;VERDA;EXCEL-LENT;Mar arrissada;NO;26,40;24,60;vent fluix;Ponent(W);Baix;22/07/2010 00:00:00
DEL PONT D EN BOTIFARRETA;VERDA;EXCEL-LENT;Mar arrissada;NO;26,40;24,60;vent fluix;Ponent(W);Baix;22/07/2010 00:00:00
DE L ESTACIÓ;VERDA;EXCEL-LENT;Mar arrissada;NO;26,40;24,60;vent fluix;Ponent(W);Baix;22/07/2010 00:00:00
