NOM_PLATJA;BANDERA;QUALITAT_AIGUA;ESTAT_MAR;MEDUSES;TEMP_AIGUA;TEMP_AMBIENT;FORÇA_VENT;TIPUS_VENT;UVI;DATA_ACTUALITZACIO
DE LA MORA;;;;NO;;;;;;30/05/2012 00:00:00
DEL COCO;;;;NO;;;;;;30/05/2012 00:00:00
DEL PONT DEL PETROLI;;;;NO;;;;;;30/05/2012 00:00:00
DE L ESTACIÓ;;;;NO;;;;;;30/05/2012 00:00:00
DEL PATí DE VELA;;;;NO;;;;;;30/05/2012 00:00:00
DELS PESCADORS;;;;NO;;;;;;30/05/2012 00:00:00
DEL PONT D EN BOTIFARRETA;;;;NO;;;;;;30/05/2012 00:00:00
DEL CRISTALL;;;;NO;;;;;;30/05/2012 00:00:00
DE LA BARCA MARIA;;;;NO;;;;;;30/05/2012 00:00:00
DE LA MORA;GROGA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;01/06/2012 00:00:00
DEL COCO;GROGA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;01/06/2012 00:00:00
DEL PONT DEL PETROLI;GROGA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;01/06/2012 00:00:00
DE L ESTACIÓ;GROGA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;01/06/2012 00:00:00
DEL PATí DE VELA;GROGA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;01/06/2012 00:00:00
DELS PESCADORS;GROGA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;01/06/2012 00:00:00
DEL PONT D EN BOTIFARRETA;GROGA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;01/06/2012 00:00:00
DEL CRISTALL;GROGA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;01/06/2012 00:00:00
DE LA BARCA MARIA;GROGA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;01/06/2012 00:00:00
DE LA MORA;VERDA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;01/06/2012 00:00:00
DEL COCO;VERDA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;01/06/2012 00:00:00
DEL PONT DEL PETROLI;VERDA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;01/06/2012 00:00:00
DE L ESTACIÓ;VERDA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;01/06/2012 00:00:00
DEL PATí DE VELA;VERDA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;01/06/2012 00:00:00
DELS PESCADORS;VERDA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;01/06/2012 00:00:00
DEL PONT D EN BOTIFARRETA;VERDA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;01/06/2012 00:00:00
DEL CRISTALL;VERDA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;01/06/2012 00:00:00
DE LA BARCA MARIA;VERDA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;01/06/2012 00:00:00
DE LA MORA;VERDA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;02/06/2012 00:00:00
DEL COCO;VERDA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;02/06/2012 00:00:00
DEL PONT DEL PETROLI;VERDA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;02/06/2012 00:00:00
DE L ESTACIÓ;VERDA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;02/06/2012 00:00:00
DEL PATí DE VELA;VERDA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;02/06/2012 00:00:00
DELS PESCADORS;VERDA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;02/06/2012 00:00:00
DEL PONT D EN BOTIFARRETA;VERDA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;02/06/2012 00:00:00
DEL CRISTALL;VERDA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;02/06/2012 00:00:00
DE LA BARCA MARIA;VERDA;;Marejol;NO;23,20;21,60;vent moderat;Llevant(E);Moderat;02/06/2012 00:00:00
DE LA MORA;VERDA;;Mar arrissada;NO;16,70;20,90;vent fluixet;Llebeig o Grab¿(SW);Moderat;02/06/2012 00:00:00
DEL COCO;VERDA;;Mar arrissada;NO;16,70;20,90;vent fluixet;Llebeig o Grab¿(SW);Moderat;02/06/2012 00:00:00
DEL PONT DEL PETROLI;VERDA;;Mar arrissada;NO;16,70;20,90;vent fluixet;Llebeig o Grab¿(SW);Moderat;02/06/2012 00:00:00
DE L ESTACIÓ;VERDA;;Mar arrissada;NO;16,70;20,90;vent fluixet;Llebeig o Grab¿(SW);Moderat;02/06/2012 00:00:00
