NOM_PLATJA;BANDERA;QUALITAT_AIGUA;ESTAT_MAR;MEDUSES;TEMP_AIGUA;TEMP_AMBIENT;FORÇA_VENT;TIPUS_VENT;UVI;DATA_ACTUALITZACIO
DE LA BARCA MARIA;VERDA;EXCEL-LENT;Marejol;SI;17,00;17,50;vent fluix;Mestral(NW);Baix;01/06/2013
DEL CRISTALL;VERDA;EXCEL-LENT;Marejol;SI;17,00;17,50;vent fluix;Mestral(NW);Baix;01/06/2013
DEL PONT D EN BOTIFARRETA;VERDA;EXCEL-LENT;Marejol;SI;17,00;17,50;vent fluix;Mestral(NW);Baix;01/06/2013
DELS PESCADORS;VERDA;EXCEL-LENT;Marejol;SI;17,00;17,50;vent fluix;Mestral(NW);Baix;01/06/2013
DEL PATí DE VELA;VERDA;EXCEL-LENT;Marejol;SI;17,00;17,50;vent fluix;Mestral(NW);Baix;01/06/2013
DE L ESTACIÓ;VERDA;EXCEL-LENT;Marejol;SI;17,00;17,50;vent fluix;Mestral(NW);Baix;01/06/2013
DEL PONT DEL PETROLI;VERDA;EXCEL-LENT;Marejol;SI;17,00;17,50;vent fluix;Mestral(NW);Baix;01/06/2013
DEL COCO;VERDA;EXCEL-LENT;Marejol;SI;17,00;17,50;vent fluix;Mestral(NW);Baix;01/06/2013
DE LA MORA ;VERDA;EXCEL-LENT;Marejol;NO;17,00;17,50;vent fluix;Mestral(NW);Baix;01/06/2013
DEL COCO;VERDA;EXCEL-LENT;Marejol;NO;17,00;17,50;vent fluix;Mestral(NW);Baix;01/06/2013
DEL PONT DEL PETROLI;VERDA;EXCEL-LENT;Marejol;NO;17,00;17,50;vent fluix;Mestral(NW);Baix;01/06/2013
DE L ESTACIÓ;VERDA;EXCEL-LENT;Marejol;NO;17,00;17,50;vent fluix;Mestral(NW);Baix;01/06/2013
DEL PATí DE VELA;VERDA;EXCEL-LENT;Marejol;NO;17,00;17,50;vent fluix;Mestral(NW);Baix;01/06/2013
DELS PESCADORS;VERDA;EXCEL-LENT;Marejol;NO;17,00;17,50;vent fluix;Mestral(NW);Baix;01/06/2013
DEL PONT D EN BOTIFARRETA;VERDA;EXCEL-LENT;Marejol;NO;17,00;17,50;vent fluix;Mestral(NW);Baix;01/06/2013
DEL CRISTALL;VERDA;EXCEL-LENT;Marejol;NO;17,00;17,50;vent fluix;Mestral(NW);Baix;01/06/2013
DE LA BARCA MARIA;VERDA;EXCEL-LENT;Marejol;NO;17,00;17,50;vent fluix;Mestral(NW);Baix;01/06/2013
DE LA MORA ;VERDA;EXCEL-LENT;Marejol;NO;17,00;17,50;vent fluix;Mestral(NW);Alt;01/06/2013
DEL COCO;VERDA;EXCEL-LENT;Marejol;NO;17,00;17,50;vent fluix;Mestral(NW);Alt;01/06/2013
DEL PONT DEL PETROLI;VERDA;EXCEL-LENT;Marejol;NO;17,00;17,50;vent fluix;Mestral(NW);Alt;01/06/2013
DE L ESTACIÓ;VERDA;EXCEL-LENT;Marejol;NO;17,00;17,50;vent fluix;Mestral(NW);Alt;01/06/2013
DEL PATí DE VELA;VERDA;EXCEL-LENT;Marejol;NO;17,00;17,50;vent fluix;Mestral(NW);Alt;01/06/2013
DELS PESCADORS;VERDA;EXCEL-LENT;Marejol;NO;17,00;17,50;vent fluix;Mestral(NW);Alt;01/06/2013
DEL PONT D EN BOTIFARRETA;VERDA;EXCEL-LENT;Marejol;NO;17,00;17,50;vent fluix;Mestral(NW);Alt;01/06/2013
DEL CRISTALL;VERDA;EXCEL-LENT;Marejol;NO;17,00;17,50;vent fluix;Mestral(NW);Alt;01/06/2013
DE LA BARCA MARIA;VERDA;EXCEL-LENT;Marejol;NO;17,00;17,50;vent fluix;Mestral(NW);Alt;01/06/2013
DE LA MORA ;VERDA;EXCEL-LENT;Marejol;NO;17,00;16,00;vent fluixet;Mestral(NW);Alt;02/06/2013
DEL COCO;VERDA;EXCEL-LENT;Marejol;NO;17,00;16,00;vent fluixet;Mestral(NW);Alt;02/06/2013
DEL PONT DEL PETROLI;VERDA;EXCEL-LENT;Marejol;NO;17,00;16,00;vent fluixet;Mestral(NW);Alt;02/06/2013
DE L ESTACIÓ;VERDA;EXCEL-LENT;Marejol;NO;17,00;16,00;vent fluixet;Mestral(NW);Alt;02/06/2013
