NOM_PLATJA;BANDERA;QUALITAT_AIGUA;ESTAT_MAR;MEDUSES;TEMP_AIGUA;TEMP_AMBIENT;FORCA_VENT;TIPUS_VENT;UVI;DATA_ACTUALITZACIO
DEL PATí DE VELA;VERDA;EXCEL-LENT;Maror;NO;20;22;vent fluixet;Gregal(NE);Moderat;09/06/2019
DEL COCO;VERDA;EXCEL-LENT;Mar arrissada;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DE LA BARCA MARIA;GROGA;EXCEL-LENT;Marejol;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DE L'ESTACIÓ;VERDA;EXCEL-LENT;Mar arrissada;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DEL PATí DE VELA;VERDA;EXCEL-LENT;Mar arrissada;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DELS PESCADORS;VERDA;EXCEL-LENT;Mar arrissada;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DEL PONT D'EN BOTIFARRETA;VERDA;EXCEL-LENT;Mar arrissada;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DEL CRISTALL;VERDA;EXCEL-LENT;Mar arrissada;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DE LA BARCA MARIA;VERDA;EXCEL-LENT;Mar arrissada;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DEL COCO;VERDA;EXCEL-LENT;Mar arrissada;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DEL PONT DEL PETROLI;VERDA;EXCEL-LENT;Mar arrissada;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DE L'ESTACIÓ;VERDA;EXCEL-LENT;Mar arrissada;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DEL PATí DE VELA;VERDA;EXCEL-LENT;Mar arrissada;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DELS PESCADORS;VERDA;EXCEL-LENT;Mar arrissada;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DEL PONT D'EN BOTIFARRETA;VERDA;EXCEL-LENT;Mar arrissada;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DEL CRISTALL;VERDA;EXCEL-LENT;Mar arrissada;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DE LA BARCA MARIA;VERDA;EXCEL-LENT;Mar arrissada;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DEL COCO;VERDA;EXCEL-LENT;Mar arrissada;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DEL PONT DEL PETROLI;VERDA;EXCEL-LENT;Mar arrissada;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DE L'ESTACIÓ;VERDA;EXCEL-LENT;Mar arrissada;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DEL PATí DE VELA;VERDA;EXCEL-LENT;Mar arrissada;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DELS PESCADORS;VERDA;EXCEL-LENT;Mar arrissada;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DEL PONT D'EN BOTIFARRETA;VERDA;EXCEL-LENT;Mar arrissada;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DEL CRISTALL;VERDA;EXCEL-LENT;Mar arrissada;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DE LA BARCA MARIA;VERDA;EXCEL-LENT;Mar arrissada;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DEL COCO;GROGA;EXCEL-LENT;Marejol;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DEL PONT DEL PETROLI;GROGA;EXCEL-LENT;Marejol;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DE L'ESTACIÓ;GROGA;EXCEL-LENT;Marejol;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DEL PATí DE VELA;GROGA;EXCEL-LENT;Marejol;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DELS PESCADORS;GROGA;EXCEL-LENT;Marejol;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DEL PONT D'EN BOTIFARRETA;GROGA;EXCEL-LENT;Marejol;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DEL CRISTALL;GROGA;EXCEL-LENT;Marejol;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DEL PONT DEL PETROLI;VERDA;EXCEL-LENT;Mar arrissada;NO;20;24;ventolina;Gregal(NE);Alt;10/06/2019
DE LA BARCA MARIA;VERDA;EXCEL-LENT;Mar plana;NO;20;19;ventolina;Gregal(NE);Alt;11/06/2019
DEL CRISTALL;VERDA;EXCEL-LENT;Mar plana;NO;20;19;ventolina;Gregal(NE);Alt;11/06/2019
DEL PONT DEL PETROLI;VERMELLA;EXCEL-LENT;Mar plana;NO;20;19;ventolina;Gregal(NE);Alt;11/06/2019
DE L'ESTACIÓ;VERMELLA;EXCEL-LENT;Mar plana;NO;20;19;ventolina;Gregal(NE);Alt;11/06/2019
DEL PATí DE VELA;VERMELLA;EXCEL-LENT;Mar plana;NO;20;19;ventolina;Gregal(NE);Alt;11/06/2019
DELS PESCADORS;VERMELLA;EXCEL-LENT;Mar plana;NO;20;19;ventolina;Gregal(NE);Alt;11/06/2019
DEL PONT D'EN BOTIFARRETA;VERMELLA;EXCEL-LENT;Mar plana;NO;20;19;ventolina;Gregal(NE);Alt;11/06/2019
DEL CRISTALL;VERMELLA;EXCEL-LENT;Mar plana;NO;20;19;ventolina;Gregal(NE);Alt;11/06/2019
DE LA BARCA MARIA;VERMELLA;EXCEL-LENT;Mar plana;NO;20;19;ventolina;Gregal(NE);Alt;11/06/2019
DEL COCO;VERMELLA;EXCEL-LENT;Mar plana;NO;20;19;ventolina;Gregal(NE);Alt;11/06/2019
DEL PONT DEL PETROLI;VERMELLA;EXCEL-LENT;Mar plana;NO;20;19;ventolina;Gregal(NE);Alt;11/06/2019
DE L'ESTACIÓ;VERMELLA;EXCEL-LENT;Mar plana;NO;20;19;ventolina;Gregal(NE);Alt;11/06/2019
DEL PATí DE VELA;VERMELLA;EXCEL-LENT;Mar plana;NO;20;19;ventolina;Gregal(NE);Alt;11/06/2019
DELS PESCADORS;VERMELLA;EXCEL-LENT;Mar plana;NO;20;19;ventolina;Gregal(NE);Alt;11/06/2019
DEL PONT D'EN BOTIFARRETA;VERMELLA;EXCEL-LENT;Mar plana;NO;20;19;ventolina;Gregal(NE);Alt;11/06/2019
DEL CRISTALL;VERMELLA;EXCEL-LENT;Mar plana;NO;20;19;ventolina;Gregal(NE);Alt;11/06/2019
DE LA BARCA MARIA;VERMELLA;EXCEL-LENT;Mar plana;NO;20;19;ventolina;Gregal(NE);Alt;11/06/2019
DEL COCO;VERDA;EXCEL-LENT;Mar plana;NO;20;19;ventolina;Gregal(NE);Alt;11/06/2019
DEL PONT DEL PETROLI;VERDA;EXCEL-LENT;Mar plana;NO;20;19;ventolina;Gregal(NE);Alt;11/06/2019
DE L'ESTACIÓ;VERDA;EXCEL-LENT;Mar plana;NO;20;19;ventolina;Gregal(NE);Alt;11/06/2019
DEL PATí DE VELA;VERDA;EXCEL-LENT;Mar plana;NO;20;19;ventolina;Gregal(NE);Alt;11/06/2019
DELS PESCADORS;VERDA;EXCEL-LENT;Mar plana;NO;20;19;ventolina;Gregal(NE);Alt;11/06/2019
DEL PONT D'EN BOTIFARRETA;VERDA;EXCEL-LENT;Mar plana;NO;20;19;ventolina;Gregal(NE);Alt;11/06/2019
DEL COCO;VERMELLA;EXCEL-LENT;Mar plana;NO;20;19;ventolina;Gregal(NE);Alt;11/06/2019
DE LA BARCA MARIA;VERMELLA;EXCEL-LENT;Mar plana;NO;20;22;ventolina;Gregal(NE);Alt;12/06/2019
DEL COCO;VERMELLA;PENDENT ANALIT.;Mar plana;NO;20;22;ventolina;Gregal(NE);Alt;12/06/2019
DEL PONT D'EN BOTIFARRETA;VERMELLA;EXCEL-LENT;Mar plana;NO;20;22;ventolina;Gregal(NE);Alt;12/06/2019
DELS PESCADORS;VERMELLA;EXCEL-LENT;Mar plana;NO;20;22;ventolina;Gregal(NE);Alt;12/06/2019
DEL PATí DE VELA;VERMELLA;EXCEL-LENT;Mar plana;NO;20;22;ventolina;Gregal(NE);Alt;12/06/2019
DE L'ESTACIÓ;VERMELLA;EXCEL-LENT;Mar plana;NO;20;22;ventolina;Gregal(NE);Alt;12/06/2019
DEL PONT DEL PETROLI;VERMELLA;EXCEL-LENT;Mar plana;NO;20;22;ventolina;Gregal(NE);Alt;12/06/2019
DEL COCO;VERMELLA;EXCEL-LENT;Mar plana;NO;20;22;ventolina;Gregal(NE);Alt;12/06/2019
DE LA BARCA MARIA;VERMELLA;PENDENT ANALIT.;Mar plana;NO;20;22;ventolina;Gregal(NE);Alt;12/06/2019
DEL CRISTALL;VERMELLA;PENDENT ANALIT.;Mar plana;NO;20;22;ventolina;Gregal(NE);Alt;12/06/2019
DEL PONT D'EN BOTIFARRETA;VERMELLA;PENDENT ANALIT.;Mar plana;NO;20;22;ventolina;Gregal(NE);Alt;12/06/2019
DELS PESCADORS;VERMELLA;PENDENT ANALIT.;Mar plana;NO;20;22;ventolina;Gregal(NE);Alt;12/06/2019
DEL PATí DE VELA;VERMELLA;PENDENT ANALIT.;Mar plana;NO;20;22;ventolina;Gregal(NE);Alt;12/06/2019
DE L'ESTACIÓ;VERMELLA;PENDENT ANALIT.;Mar plana;NO;20;22;ventolina;Gregal(NE);Alt;12/06/2019
DEL PONT DEL PETROLI;VERMELLA;PENDENT ANALIT.;Mar plana;NO;20;22;ventolina;Gregal(NE);Alt;12/06/2019
DEL CRISTALL;VERMELLA;EXCEL-LENT;Mar plana;NO;20;22;ventolina;Gregal(NE);Alt;12/06/2019
DEL PATí DE VELA;VERDA;PENDENT ANALIT.;Mar plana;NO;20;24;ventolina;Gregal(NE);Alt;13/06/2019
DE L'ESTACIÓ;VERDA;PENDENT ANALIT.;Mar plana;NO;20;24;ventolina;Gregal(NE);Alt;13/06/2019
DEL PONT DEL PETROLI;VERDA;PENDENT ANALIT.;Mar plana;NO;20;24;ventolina;Gregal(NE);Alt;13/06/2019
DEL COCO;VERDA;EXCEL-LENT;Mar plana;NO;20;24;ventolina;Gregal(NE);Alt;13/06/2019
DEL PONT DEL PETROLI;VERDA;EXCEL-LENT;Mar plana;NO;20;24;ventolina;Gregal(NE);Alt;13/06/2019
DE LA BARCA MARIA;VERDA;EXCEL-LENT;Mar plana;NO;20;24;ventolina;Gregal(NE);Alt;13/06/2019
DEL PATí DE VELA;VERDA;EXCEL-LENT;Mar plana;NO;20;24;ventolina;Gregal(NE);Alt;13/06/2019
DELS PESCADORS;VERDA;EXCEL-LENT;Mar plana;NO;20;24;ventolina;Gregal(NE);Alt;13/06/2019
DEL PONT D'EN BOTIFARRETA;VERDA;EXCEL-LENT;Mar plana;NO;20;24;ventolina;Gregal(NE);Alt;13/06/2019
DEL CRISTALL;VERDA;EXCEL-LENT;Mar plana;NO;20;24;ventolina;Gregal(NE);Alt;13/06/2019
DE L'ESTACIÓ;VERDA;EXCEL-LENT;Mar plana;NO;20;24;ventolina;Gregal(NE);Alt;13/06/2019
DE LA BARCA MARIA;GROGA;EXCEL-LENT;Marejol;NO;20;20;ventolina;Gregal(NE);Moderat;14/06/2019
DEL CRISTALL;GROGA;EXCEL-LENT;Marejol;NO;20;20;ventolina;Gregal(NE);Moderat;14/06/2019
DEL PONT D'EN BOTIFARRETA;GROGA;EXCEL-LENT;Marejol;NO;20;20;ventolina;Gregal(NE);Moderat;14/06/2019
DEL COCO;GROGA;EXCEL-LENT;Marejol;NO;20;20;ventolina;Gregal(NE);Moderat;14/06/2019
DEL PATí DE VELA;GROGA;EXCEL-LENT;Marejol;NO;20;20;ventolina;Gregal(NE);Moderat;14/06/2019
