CODI_DIVISIO_TERRITORIAL;ANY;EPIGRAF;SECCIO;DESCRIPCIO_EPIGRAF;TOTAL
EN EL MUNICIPI;1994;731;2;ABOGADOS;52
EN EL MUNICIPI;1994;436;1;ACABADO DE TEXTILES;6
EN EL MUNICIPI;1994;4685;1;ACTIV. ANEXAS IND. MUEBLE;8
EN EL MUNICIPI;1994;756;1;ACTIV. AUXILIARES Y COMPLEMENTARIAS TTE.;14
EN EL MUNICIPI;1994;475;1;ACTIVIDADES ANEXAS ARTES GRAFICAS;8
EN EL MUNICIPI;1994;019;3;ACTIVIDADES CINE,TEATRO, Y CIRCO NCOP;1
EN EL MUNICIPI;1994;711;2;ACTUARIOS DE SEGUROS;1
EN EL MUNICIPI;1994;841;2;ACUPUNTORES, NATUROPATAS Y OTROS;3
EN EL MUNICIPI;1994;9794;1;ADIESTRAMIENTO Y CUIDADOS DE ANIMALES;1
EN EL MUNICIPI;1994;723;2;ADMINISTRADORES DE FINCAS;3
EN EL MUNICIPI;1994;8321;1;AGENCIAS DE SEGUROS Y CORREDURIAS;8
EN EL MUNICIPI;1994;755;1;AGENCIAS DE VIAJES;4
EN EL MUNICIPI;1994;974;1;AGENCIAS PRESTACION SERV. DOMESTICOS;1
EN EL MUNICIPI;1994;771;2;AGENTES COBRADORES;3
EN EL MUNICIPI;1994;721;2;AGENTES COLEGIADOS PROPIEDAD IND.E INMOB;3
EN EL MUNICIPI;1994;853;2;AGENTES COLOCADORES ARTISTAS;1
EN EL MUNICIPI;1994;511;2;AGENTES COMERCIALES;127
EN EL MUNICIPI;1994;728;2;AGENTES DE ADUANAS;1
EN EL MUNICIPI;1994;713;2;AGENTES DE SEGUROS AFECTOS;25
EN EL MUNICIPI;1994;712;2;AGENTES REPRESENTANTES DE SEGUROS;5
EN EL MUNICIPI;1994;508;1;AGRUPACIONES Y UNIONES TEMPOR. EMPRESAS;3
EN EL MUNICIPI;1994;5013;1;ALBAÑILERIA Y PEQ. TRABAJOS CONSTRUCCION;141
EN EL MUNICIPI;1994;854;1;ALQUILER AUTOMOVILES SIN CONDUCTOR;4
EN EL MUNICIPI;1994;8561;1;ALQUILER DE BIENES DE CONSUMO;2
EN EL MUNICIPI;1994;8562;1;ALQUILER DE PELICULAS DE VIDEO;15
EN EL MUNICIPI;1994;852;1;ALQUILER MAQUINARIA Y EQUIP. CONSTRUCC.;12
EN EL MUNICIPI;1994;859;1;ALQUILER OTROS BIENES MUEBLES NCOP;3
EN EL MUNICIPI;1994;8559;1;ALQUILER OTROS MEDIOS TRANSP. N.C.O.P.;1
EN EL MUNICIPI;1994;411;2;ARQUITECTOS;18
EN EL MUNICIPI;1994;421;2;ARQUITECTOS TECNICOS Y APAREJADORES;28
EN EL MUNICIPI;1994;474;1;ARTES GRAFICAS (IMPRESION GRAFICA);27
EN EL MUNICIPI;1994;822;1;ASEGURADORAS DE ENFERMEDAD Y RIESGOS;2
EN EL MUNICIPI;1994;952;1;ASIST. Y SERV. DISMINUIDOS NO RESIDENC.;2
EN EL MUNICIPI;1994;951;1;ASISTENCIA Y SERV. SOCIALES DISMINUIDOS;1
EN EL MUNICIPI;1994;881;2;ASTROLOGOS Y SIMILARES;1
EN EL MUNICIPI;1994;747;2;AUDITORES DE CUENTAS Y CENSORES JURADOS;2
EN EL MUNICIPI;1994;836;2;AYUD. TECN. SANITARIOS Y FISIOTERAPEUTAS;13
EN EL MUNICIPI;1994;811;1;BANCA;13
EN EL MUNICIPI;1994;6731;1;BARES CATEGORIA ESPECIAL;12
EN EL MUNICIPI;1994;4912;1;BISUTERIA;3
EN EL MUNICIPI;1994;6745;1;CAFE-BAR SOCIEDADES,CASINOS,CLUBES...;7
EN EL MUNICIPI;1994;6746;1;CAFE-BAR TEATROS Y CINES;3
EN EL MUNICIPI;1994;675;1;CAFES-BARES EN QUIOSCOS,CAJONES,BARRACAS;2
EN EL MUNICIPI;1994;812;1;CAJAS DE AHORRO;17
EN EL MUNICIPI;1994;5055;1;CARPINTERIA Y CERRAJERIA;103
EN EL MUNICIPI;1994;676;1;CHOCOLATERIAS,HELADERIAS Y HORCHATERIAS;3
EN EL MUNICIPI;1994;5024;1;CIMENTACIONES Y PAVIMENTACIONES;1
EN EL MUNICIPI;1994;8491;1;COBROS DE DEUDAS Y CONFECCION FACTURAS;2
EN EL MUNICIPI;1994;5054;1;COLOCACION DE AISLAMIENTOS EN EDIFICIOS;25
EN EL MUNICIPI;1994;6153;1;COM. MAY. APARATOS ELECTRODOMESTICOS;6
EN EL MUNICIPI;1994;611;1;COM. MAY. TODA CLASE DE MERCANCIAS;1
EN EL MUNICIPI;1994;6124;1;COM.MAY. CARNES,HUEVOS,AVES Y CAZA;5
EN EL MUNICIPI;1994;6172;1;COM.MAY. CUEROS Y PIELES EN BRUTO;1
EN EL MUNICIPI;1994;6152;1;COM.MAY. DE MUEBLES;1
EN EL MUNICIPI;1994;6162;1;COM.MAY. HIERRO Y ACERO;3
EN EL MUNICIPI;1994;6192;1;COM.MAY. INSTRUM. MEDICOS Y ORTOPEDICOS;3
EN EL MUNICIPI;1994;6191;1;COM.MAY. JUGUETES Y ARTICULOS DEPORTE;4
EN EL MUNICIPI;1994;6196;1;COM.MAY. LIBROS, PERIODICOS Y REVISTAS;2
EN EL MUNICIPI;1994;6173;1;COM.MAY. MADERA Y CORCHO;2
EN EL MUNICIPI;1994;6176;1;COM.MAY. MAQUINARIA AGRICOLA;1
EN EL MUNICIPI;1994;6175;1;COM.MAY. MAQUINARIA PARA MADERA Y METAL;10
EN EL MUNICIPI;1994;6178;1;COM.MAY. MAQUINAS Y MATERIAL OFICINA;4
EN EL MUNICIPI;1994;6174;1;COM.MAY. MATERIALES CONSTRUCCION;11
EN EL MUNICIPI;1994;6164;1;COM.MAY. METALES NO FERREOS;2
EN EL MUNICIPI;1994;6193;1;COM.MAY. METALES PRECIOSOS, Y JOYERIA;3
EN EL MUNICIPI;1994;6128;1;COM.MAY. PESCADOS;4
EN EL MUNICIPI;1994;6165;1;COM.MAY. PETROLEO Y LUBRICANTES;3
EN EL MUNICIPI;1994;6133;1;COM.MAY. PRENDAS EXTERIORES VESTIR;11
EN EL MUNICIPI;1994;6127;1;COM.MAY. VINOS Y VINAGRES DEL PAIS;2
EN EL MUNICIPI;1994;6139;1;COM.MAY.ACCESORIOS VESTIDO NCOP;4
EN EL MUNICIPI;1994;6154;1;COM.MAY.APAR.Y MAT. ELECTRONICO;6
EN EL MUNICIPI;1994;6195;1;COM.MAY.ART.PAPELERIA Y ESCRITORIO;5
EN EL MUNICIPI;1994;6126;1;COM.MAY.BEBIDAS Y TABACO;6
EN EL MUNICIPI;1994;6134;1;COM.MAY.CALZADO,PELETERIA,MARROQUINERIA;1
EN EL MUNICIPI;1994;6135;1;COM.MAY.CAMISERIA,LENCERIA,MERCERIA,...;13
EN EL MUNICIPI;1994;6122;1;COM.MAY.CEREALES,PLANTAS,ABONOS,ANIMALES;5
EN EL MUNICIPI;1994;621;1;COM.MAY.CHATARRA Y METALES DESECHO;5
EN EL MUNICIPI;1994;6123;1;COM.MAY.FRUTAS Y VERDURAS;6
EN EL MUNICIPI;1994;6197;1;COM.MAY.INSTRUM.PRECISION Y MEDIDA;1
EN EL MUNICIPI;1994;6179;1;COM.MAY.INTERINDUSTRIAL EXCEP. QUIMICA;31
EN EL MUNICIPI;1994;6125;1;COM.MAY.LECHE,PTOS.LACTEOS, MIEL, ACEITE;4
EN EL MUNICIPI;1994;6159;1;COM.MAY.OTROS ART. CONSUMO DURADERO NCOP;5
EN EL MUNICIPI;1994;6199;1;COM.MAY.OTROS PRODUCTOS NCOP;1
EN EL MUNICIPI;1994;6129;1;COM.MAY.OTROS PTOS. ALIMENT.,HELADOS ETC;36
EN EL MUNICIPI;1994;622;1;COM.MAY.OTROS PTOS. RECUPERACION;8
EN EL MUNICIPI;1994;6194;1;COM.MAY.PTOS. DE PAPEL Y CARTON;5
EN EL MUNICIPI;1994;6121;1;COM.MAY.PTOS.ALIMENTIC.BEBIDAS Y TABACOS;3
EN EL MUNICIPI;1994;6143;1;COM.MAY.PTOS.MANTENIMIENTO HOGAR;5
EN EL MUNICIPI;1994;6142;1;COM.MAY.PTOS.PERFUMERIA,DROGUERIA;18
EN EL MUNICIPI;1994;6131;1;COM.MAY.PTOS.TEXTILES,CONFECC, Y CALZADO;1
EN EL MUNICIPI;1994;6132;1;COM.MAY.TEJIDOS POR METROS, ALFOMBRAS;3
EN EL MUNICIPI;1994;6151;1;COM.MAY.VEHICULOS Y SUS ACCESORIOS;9
EN EL MUNICIPI;1994;6542;1;COM.MEN.ACCESORIOS Y RECAMBIOS VEHICULOS;16
EN EL MUNICIPI;1994;6613;1;COM.MEN.ALMACENES POPULARES;3
EN EL MUNICIPI;1994;6532;1;COM.MEN.APARATOS DE USO DOMESTICO;33
EN EL MUNICIPI;1994;6593;1;COM.MEN.APARATOS MEDICOS, ORTOPEDICOS;21
EN EL MUNICIPI;1994;6539;1;COM.MEN.ART.HOGAR NCOP;4
EN EL MUNICIPI;1994;6595;1;COM.MEN.ART.JOYERIA,RELOJERIA,BISUTERIA;14
EN EL MUNICIPI;1994;6533;1;COM.MEN.ART.MENAJE,FERRETERIA,ADORNO;43
EN EL MUNICIPI;1994;6432;1;COM.MEN.BACALAO Y SALAZONES;1
EN EL MUNICIPI;1994;6445;1;COM.MEN.BOMBONES Y CARAMELOS;2
EN EL MUNICIPI;1994;6633;1;COM.MEN.CALZADO SIN ESTABLECIMIENTO;3
EN EL MUNICIPI;1994;6516;1;COM.MEN.CALZADO Y COMPLEMENTOS PIEL;27
EN EL MUNICIPI;1994;6553;1;COM.MEN.CARBURANTES Y ACEITES VEHICULOS;7
EN EL MUNICIPI;1994;6421;1;COM.MEN.CARNES,HUEVOS,CAZA Y GRANJA;6
EN EL MUNICIPI;1994;6424;1;COM.MEN.CARNICERIAS;52
EN EL MUNICIPI;1994;6422;1;COM.MEN.CARNICERIAS-CHARCUTERIAS;12
EN EL MUNICIPI;1994;6423;1;COM.MEN.CARNICERIAS-SALCHICHERIAS;27
EN EL MUNICIPI;1994;6426;1;COM.MEN.CASQUERIAS;3
EN EL MUNICIPI;1994;6517;1;COM.MEN.CONFECCIONES DE PELETERIA;2
EN EL MUNICIPI;1994;6545;1;COM.MEN.DE TODA CLASE DE MAQUINARIA;17
EN EL MUNICIPI;1994;6634;1;COM.MEN.DROGUERIA SIN ESTABLECIMIENTO;1
EN EL MUNICIPI;1994;6612;1;COM.MEN.EN HIPERMERCADOS;1
EN EL MUNICIPI;1994;641;1;COM.MEN.FRUTAS,VERDURAS;70
EN EL MUNICIPI;1994;6552;1;COM.MEN.GASES COMBUSTIBLES;2
EN EL MUNICIPI;1994;6611;1;COM.MEN.GRANDES ALMACENES;1
EN EL MUNICIPI;1994;6444;1;COM.MEN.HELADOS;2
EN EL MUNICIPI;1994;6425;1;COM.MEN.HUEVOS,AVES,GRANJA Y CAZA;22
EN EL MUNICIPI;1994;6596;1;COM.MEN.JUGUETES,ART.DEPORTE,ARMAS...;39
EN EL MUNICIPI;1994;6513;1;COM.MEN.LENCERIA Y CORSETERIA;9
EN EL MUNICIPI;1994;6594;1;COM.MEN.LIBROS,PERIODICOS,REVISTAS.;91
EN EL MUNICIPI;1994;6446;1;COM.MEN.MASAS FRITAS;19
EN EL MUNICIPI;1994;6534;1;COM.MEN.MATERIALES DE CONSTRUCCION;20
EN EL MUNICIPI;1994;6514;1;COM.MEN.MERCERIA Y PAQUETERIA;26
EN EL MUNICIPI;1994;6531;1;COM.MEN.MUEBLES (EXCEPTO OFICINA);43
EN EL MUNICIPI;1994;6592;1;COM.MEN.MUEBLES Y MAQUINAS DE OFICINA;19
EN EL MUNICIPI;1994;6639;1;COM.MEN.OTRAS MERCANCIAS SIN ESTABLECIM.;19
EN EL MUNICIPI;1994;6599;1;COM.MEN.OTROS PTOS. NCOP;3
EN EL MUNICIPI;1994;6441;1;COM.MEN.PAN,PASTELES,CONFITERIA,LACTEOS;63
EN EL MUNICIPI;1994;6431;1;COM.MEN.PESCADOS;44
EN EL MUNICIPI;1994;6524;1;COM.MEN.PLANTAS Y HIERBAS,HERBORARIOS;9
EN EL MUNICIPI;1994;665;1;COM.MEN.POR CORREO O CATALOGO;2
EN EL MUNICIPI;1994;6512;1;COM.MEN.PRENDAS DE VESTIR Y TOCADO;106
EN EL MUNICIPI;1994;6515;1;COM.MEN.PRENDAS ESPECIALES;1
EN EL MUNICIPI;1994;6472;1;COM.MEN.PTOS.ALIMENTICIOS MENOS 120 M2;16
EN EL MUNICIPI;1994;6631;1;COM.MEN.PTOS.ALIMENTICIOS SIN ESTABLEC.;5
EN EL MUNICIPI;1994;6474;1;COM.MEN.PTOS.ALIMENTICIOS SUP.400 M2;1
EN EL MUNICIPI;1994;6471;1;COM.MEN.PTOS.ALIMENTICIOS Y BEBIDAS;111
EN EL MUNICIPI;1994;6473;1;COM.MEN.PTOS.ALIMENTICIOS 120 - 399 M2;11
EN EL MUNICIPI;1994;6522;1;COM.MEN.PTOS.DROGUERIA,PERFUMERIA;38
EN EL MUNICIPI;1994;6443;1;COM.MEN.PTOS.PASTELERIA,BOLLERIA;13
EN EL MUNICIPI;1994;6523;1;COM.MEN.PTOS.PERFUMERIA Y COSMETICA;12
EN EL MUNICIPI;1994;6511;1;COM.MEN.PTOS.TEXTILES PARA EL HOGAR;22
EN EL MUNICIPI;1994;6535;1;COM.MEN.PUERTAS,VENTANAS Y PERSIANAS;10
EN EL MUNICIPI;1994;6591;1;COM.MEN.SELLOS,MONEDAS,MEDALLAS,COLECC.;3
EN EL MUNICIPI;1994;6597;1;COM.MEN.SEMILLAS,ABONOS,FLORES,PLANTAS;21
EN EL MUNICIPI;1994;6464;1;COM.MEN.TABACO CON VENTA POR RECARGO;3
EN EL MUNICIPI;1994;6465;1;COM.MEN.TABACO MAQUINAS AUTOMATICAS;15
EN EL MUNICIPI;1994;6461;1;COM.MEN.TABACOS EN EXPENDIDURIA;8
EN EL MUNICIPI;1994;6632;1;COM.MEN.TEXTILES Y CONFECC.SIN ESTABLEC.;17
EN EL MUNICIPI;1994;6622;1;COM.MEN.TODA CLASE ART. EN OTROS LOCALES;11
EN EL MUNICIPI;1994;6544;1;COM.MEN.VEHICULOS FLUVIALES Y MARITIMOS;1
EN EL MUNICIPI;1994;6541;1;COM.MEN.VEHICULOS TERRESTRES;31
EN EL MUNICIPI;1994;645;1;COM.MEN.VINOS Y BEBIDAS;4
EN EL MUNICIPI;1994;612;2;CONDUCTORES DE VEHICULOS TERRESTRES;4
EN EL MUNICIPI;1994;4551;1;CONFECC. ART. TEXTILES HOGAR/TAPICERIA;2
EN EL MUNICIPI;1994;454;1;CONFECC. MEDIDA PRENDAS VESTIR;6
EN EL MUNICIPI;1994;4559;1;CONFECC. OTROS ART. TEXTILES NCOP;6
EN EL MUNICIPI;1994;453;1;CONFECC. TODA CLASE PRENDAS VESTIR;164
EN EL MUNICIPI;1994;3221;1;CONS. MAQUINAS PARA TRABAJAR METALES;8
EN EL MUNICIPI;1994;330;1;CONS.MAQ.DE OFICINA Y ORDENADORES;3
EN EL MUNICIPI;1994;5022;1;CONSOLIDACION Y PREPARACION DE TERRENOS;1
EN EL MUNICIPI;1994;3254;1;CONST. MAQ. ELEVACION Y MANIPULACION;4
EN EL MUNICIPI;1994;3291;1;CONST. MAQ. IND. PAPEL, CARTON Y AA.GG.;1
EN EL MUNICIPI;1994;3294;1;CONST. MAQ. MANIPULACION DE FLUIDOS;5
EN EL MUNICIPI;1994;3252;1;CONST. MAQUINAS IND. MINERALES NO METAL;2
EN EL MUNICIPI;1994;3231;1;CONST. MAQUINAS TEXTILES Y ACCESORIOS;5
