CODI_DIVISIO_TERRITORIAL;ANY;EPIGRAF;SECCIO;DESCRIPCIO_EPIGRAF;TOTAL
EN EL MUNICIPI;2002;731;2;ABOGADOS;139
EN EL MUNICIPI;2002;436;1;ACABADO DE TEXTILES;7
EN EL MUNICIPI;2002;4685;1;ACTIV. ANEXAS IND. MUEBLE;20
EN EL MUNICIPI;2002;756;1;ACTIV. AUXILIARES Y COMPLEMENTARIAS TTE.;28
EN EL MUNICIPI;2002;475;1;ACTIVIDADES ANEXAS ARTES GRAFICAS;25
EN EL MUNICIPI;2002;019;3;ACTIVIDADES CINE,TEATRO, Y CIRCO NCOP;2
EN EL MUNICIPI;2002;013;3;ACTORES DE CINE Y TEATRO;1
EN EL MUNICIPI;2002;841;2;ACUPUNTORES, NATUROPATAS Y OTROS;10
EN EL MUNICIPI;2002;9794;1;ADIESTRAMIENTO Y CUIDADOS DE ANIMALES;2
EN EL MUNICIPI;2002;723;2;ADMINISTRADORES DE FINCAS;9
EN EL MUNICIPI;2002;8321;1;AGENCIAS DE SEGUROS Y CORREDURIAS;33
EN EL MUNICIPI;2002;755;1;AGENCIAS DE VIAJES;26
EN EL MUNICIPI;2002;974;1;AGENCIAS PRESTACION SERV. DOMESTICOS;1
EN EL MUNICIPI;2002;771;2;AGENTES COBRADORES;1
EN EL MUNICIPI;2002;721;2;AGENTES COLEGIADOS PROPIEDAD IND.E INMOB;7
EN EL MUNICIPI;2002;853;2;AGENTES COLOCADORES ARTISTAS;1
EN EL MUNICIPI;2002;511;2;AGENTES COMERCIALES;140
EN EL MUNICIPI;2002;728;2;AGENTES DE ADUANAS;2
EN EL MUNICIPI;2002;712;2;AGENTES Y CORREDORES DE SEGUROS;91
EN EL MUNICIPI;2002;5013;1;ALBAùILERIA Y PEQ. TRABAJOS CONSTRUCCION;397
EN EL MUNICIPI;2002;7544;1;ALMACENES FRIGORIFICOS;1
EN EL MUNICIPI;2002;7545;1;ALMACENES Y DEPOSITOS DE LIQUIDOS;1
EN EL MUNICIPI;2002;8541;1;ALQUILER AUTOMOVILES SIN CONDUCTOR;8
EN EL MUNICIPI;2002;854;1;ALQUILER AUTOMOVILES SIN CONDUCTOR;1
EN EL MUNICIPI;2002;8561;1;ALQUILER DE BIENES DE CONSUMO;10
EN EL MUNICIPI;2002;8552;1;ALQUILER DE EMBARCACIONES;1
EN EL MUNICIPI;2002;8562;1;ALQUILER DE PELICULAS DE VIDEO;43
EN EL MUNICIPI;2002;853;1;ALQUILER MAQ. Y EQUIPO CONTABLE;1
EN EL MUNICIPI;2002;852;1;ALQUILER MAQUINARIA Y EQUIP. CONSTRUCC.;15
EN EL MUNICIPI;2002;859;1;ALQUILER OTROS BIENES MUEBLES NCOP;11
EN EL MUNICIPI;2002;8559;1;ALQUILER OTROS MEDIOS TRANSP. N.C.O.P.;1
EN EL MUNICIPI;2002;048;3;ARBITROS DE ESPECTACULOS DEPORTIVOS;2
EN EL MUNICIPI;2002;411;2;ARQUITECTOS;64
EN EL MUNICIPI;2002;421;2;ARQUITECTOS TECNICOS Y APAREJADORES;52
EN EL MUNICIPI;2002;474;1;ARTES GRAFICAS (IMPRESION GRAFICA);85
EN EL MUNICIPI;2002;822;1;ASEGURADORAS DE ENFERMEDAD Y RIESGOS;9
EN EL MUNICIPI;2002;952;1;ASIST. Y SERV. DISMINUIDOS NO RESIDENC.;7
EN EL MUNICIPI;2002;951;1;ASISTENCIA Y SERV. SOCIALES DISMINUIDOS;6
EN EL MUNICIPI;2002;881;2;ASTROLOGOS Y SIMILARES;1
EN EL MUNICIPI;2002;747;2;AUDITORES DE CUENTAS Y CENSORES JURADOS;2
EN EL MUNICIPI;2002;024;2;AUXILIARES Y AYUDANTES VETERINARIA;1
EN EL MUNICIPI;2002;836;2;AYUD. TECN. SANITARIOS Y FISIOTERAPEUTAS;38
EN EL MUNICIPI;2002;811;1;BANCA;40
EN EL MUNICIPI;2002;6731;1;BARES CATEGORIA ESPECIAL;17
EN EL MUNICIPI;2002;4912;1;BISUTERIA;8
EN EL MUNICIPI;2002;6745;1;CAFE-BAR SOCIEDADES,CASINOS,CLUBES...;21
EN EL MUNICIPI;2002;6746;1;CAFE-BAR TEATROS Y CINES;4
EN EL MUNICIPI;2002;675;1;CAFES-BARES EN QUIOSCOS,CAJONES,BARRACAS;1
EN EL MUNICIPI;2002;6723;1;CAFETERIAS DE UNA TAZA;3
EN EL MUNICIPI;2002;812;1;CAJAS DE AHORRO;100
