CODI_DIVISIO_TERRITORIAL;ANY;EPIGRAF;SECCIO;DESCRIPCIO_EPIGRAF;TOTAL
EN EL MUNICIPI;2007;731;2;ABOGADOS;74
EN EL MUNICIPI;2007;436;1;ACABADO DE TEXTILES;1
EN EL MUNICIPI;2007;4685;1;ACTIV. ANEXAS IND. MUEBLE;5
EN EL MUNICIPI;2007;756;1;ACTIV. AUXILIARES Y COMPLEMENTARIAS TTE.;10
EN EL MUNICIPI;2007;475;1;ACTIVIDADES ANEXAS ARTES GRAFICAS;6
EN EL MUNICIPI;2007;019;3;ACTIVIDADES CINE,TEATRO, Y CIRCO NCOP;1
EN EL MUNICIPI;2007;013;3;ACTORES DE CINE Y TEATRO;2
EN EL MUNICIPI;2007;841;2;ACUPUNTORES, NATUROPATAS Y OTROS;6
EN EL MUNICIPI;2007;9794;1;ADIESTRAMIENTO Y CUIDADOS DE ANIMALES;1
EN EL MUNICIPI;2007;723;2;ADMINISTRADORES DE FINCAS;2
EN EL MUNICIPI;2007;8321;1;AGENCIAS DE SEGUROS Y CORREDURIAS;9
EN EL MUNICIPI;2007;755;1;AGENCIAS DE VIAJES;7
EN EL MUNICIPI;2007;721;2;AGENTES COLEGIADOS PROPIEDAD IND.E INMOB;1
EN EL MUNICIPI;2007;853;2;AGENTES COLOCADORES ARTISTAS;1
EN EL MUNICIPI;2007;511;2;AGENTES COMERCIALES;102
EN EL MUNICIPI;2007;728;2;AGENTES DE ADUANAS;2
EN EL MUNICIPI;2007;712;2;AGENTES Y CORREDORES DE SEGUROS;47
EN EL MUNICIPI;2007;508;1;AGRUPACIONES Y UNIONES TEMPOR. EMPRESAS;11
EN EL MUNICIPI;2007;5013;1;ALBAùILERIA Y PEQ. TRABAJOS CONSTRUCCION;330
EN EL MUNICIPI;2007;7545;1;ALMACENES Y DEPOSITOS DE LIQUIDOS;1
EN EL MUNICIPI;2007;8541;1;ALQUILER AUTOMOVILES SIN CONDUCTOR;3
EN EL MUNICIPI;2007;8561;1;ALQUILER DE BIENES DE CONSUMO;2
EN EL MUNICIPI;2007;8562;1;ALQUILER DE PELICULAS DE VIDEO;5
EN EL MUNICIPI;2007;853;1;ALQUILER MAQ. Y EQUIPO CONTABLE;1
