CODI_DIVISIO_TERRITORIAL;ANY;EPIGRAF;SECCIO;DESCRIPCIO_EPIGRAF;TOTAL
EN EL MUNICIPI;2014;731;2;ABOGADOS;74
EN EL MUNICIPI;2014;436;1;ACABADO DE TEXTILES;3
EN EL MUNICIPI;2014;4685;1;ACTIV. ANEXAS IND. MUEBLE;6
EN EL MUNICIPI;2014;756;1;ACTIV. AUXILIARES Y COMPLEMENTARIAS TTE.;14
EN EL MUNICIPI;2014;475;1;ACTIVIDADES ANEXAS ARTES GRAFICAS;8
EN EL MUNICIPI;2014;019;3;ACTIVIDADES CINE,TEATRO, Y CIRCO NCOP;1
EN EL MUNICIPI;2014;013;3;ACTORES DE CINE Y TEATRO;1
EN EL MUNICIPI;2014;841;2;ACUPUNTORES, NATUROPATAS Y OTROS;6
EN EL MUNICIPI;2014;9794;1;ADIESTRAMIENTO Y CUIDADOS DE ANIMALES;3
EN EL MUNICIPI;2014;723;2;ADMINISTRADORES DE FINCAS;1
EN EL MUNICIPI;2014;8321;1;AGENCIAS DE SEGUROS Y CORREDURIAS;23
EN EL MUNICIPI;2014;755;1;AGENCIAS DE VIAJES;16
EN EL MUNICIPI;2014;974;1;AGENCIAS PRESTACION SERV. DOMESTICOS;1
EN EL MUNICIPI;2014;721;2;AGENTES COLEGIADOS PROPIEDAD IND.E INMOB;4
EN EL MUNICIPI;2014;511;2;AGENTES COMERCIALES;50
EN EL MUNICIPI;2014;728;2;AGENTES DE ADUANAS;1
EN EL MUNICIPI;2014;712;2;AGENTES Y CORREDORES DE SEGUROS;40
EN EL MUNICIPI;2014;508;1;AGRUPACIONES Y UNIONES TEMPOR. EMPRESAS;17
EN EL MUNICIPI;2014;5013;1;ALBAùILERIA Y PEQ. TRABAJOS CONSTRUCCION;101
EN EL MUNICIPI;2014;7545;1;ALMACENES Y DEPOSITOS DE LIQUIDOS;1
EN EL MUNICIPI;2014;8542;1;ALQUILER AUTOM. SIN CONDUCTOR  RENTING ;1
EN EL MUNICIPI;2014;8541;1;ALQUILER AUTOMOVILES SIN CONDUCTOR;5
EN EL MUNICIPI;2014;8561;1;ALQUILER DE BIENES DE CONSUMO;2
EN EL MUNICIPI;2014;8562;1;ALQUILER DE PELICULAS DE VIDEO;3
EN EL MUNICIPI;2014;852;1;ALQUILER MAQUINARIA Y EQUIP. CONSTRUCC.;4
EN EL MUNICIPI;2014;859;1;ALQUILER OTROS BIENES MUEBLES NCOP;9
EN EL MUNICIPI;2014;411;2;ARQUITECTOS;38
EN EL MUNICIPI;2014;421;2;ARQUITECTOS TECNICOS Y APAREJADORES;36
EN EL MUNICIPI;2014;474;1;ARTES GRAFICAS (IMPRESION GRAFICA);25
EN EL MUNICIPI;2014;822;1;ASEGURADORAS DE ENFERMEDAD Y RIESGOS;8
EN EL MUNICIPI;2014;952;1;ASIST. Y SERV. DISMINUIDOS NO RESIDENC.;12
EN EL MUNICIPI;2014;951;1;ASISTENCIA Y SERV. SOCIALES DISMINUIDOS;9
EN EL MUNICIPI;2014;881;2;ASTROLOGOS Y SIMILARES;2
EN EL MUNICIPI;2014;747;2;AUDITORES DE CUENTAS Y CENSORES JURADOS;2
EN EL MUNICIPI;2014;024;2;AUXILIARES Y AYUDANTES VETERINARIA;1
EN EL MUNICIPI;2014;836;2;AYUD. TECN. SANITARIOS Y FISIOTERAPEUTAS;27
EN EL MUNICIPI;2014;9422;1;BALNEARIOS Y BAùOS;1
EN EL MUNICIPI;2014;811;1;BANCA;119
EN EL MUNICIPI;2014;6731;1;BARES CATEGORIA ESPECIAL;3
EN EL MUNICIPI;2014;4912;1;BISUTERIA;2
EN EL MUNICIPI;2014;6745;1;CAFE-BAR SOCIEDADES,CASINOS,CLUBES...;7
EN EL MUNICIPI;2014;6746;1;CAFE-BAR TEATROS Y CINES;1
EN EL MUNICIPI;2014;6723;1;CAFETERIAS DE UNA TAZA;1
EN EL MUNICIPI;2014;812;1;CAJAS DE AHORRO;1
EN EL MUNICIPI;2014;5055;1;CARPINTERIA Y CERRAJERIA;30
EN EL MUNICIPI;2014;5024;1;CIMENTACIONES Y PAVIMENTACIONES;1
