CODI_DIVISIO_TERRITORIAL;ANY;EPIGRAF;SECCIO;DESCRIPCIO_EPIGRAF;TOTAL
EN EL MUNICIPI;2006;731;2;ABOGADOS;80
EN EL MUNICIPI;2006;436;1;ACABADO DE TEXTILES;1
EN EL MUNICIPI;2006;4685;1;ACTIV. ANEXAS IND. MUEBLE;5
EN EL MUNICIPI;2006;756;1;ACTIV. AUXILIARES Y COMPLEMENTARIAS TTE.;13
EN EL MUNICIPI;2006;475;1;ACTIVIDADES ANEXAS ARTES GRAFICAS;6
EN EL MUNICIPI;2006;019;3;ACTIVIDADES CINE,TEATRO, Y CIRCO NCOP;3
EN EL MUNICIPI;2006;013;3;ACTORES DE CINE Y TEATRO;2
EN EL MUNICIPI;2006;841;2;ACUPUNTORES, NATUROPATAS Y OTROS;6
EN EL MUNICIPI;2006;9794;1;ADIESTRAMIENTO Y CUIDADOS DE ANIMALES;1
EN EL MUNICIPI;2006;723;2;ADMINISTRADORES DE FINCAS;2
EN EL MUNICIPI;2006;8321;1;AGENCIAS DE SEGUROS Y CORREDURIAS;9
EN EL MUNICIPI;2006;755;1;AGENCIAS DE VIAJES;7
EN EL MUNICIPI;2006;771;2;AGENTES COBRADORES;1
EN EL MUNICIPI;2006;721;2;AGENTES COLEGIADOS PROPIEDAD IND.E INMOB;1
EN EL MUNICIPI;2006;853;2;AGENTES COLOCADORES ARTISTAS;1
EN EL MUNICIPI;2006;511;2;AGENTES COMERCIALES;116
EN EL MUNICIPI;2006;728;2;AGENTES DE ADUANAS;2
EN EL MUNICIPI;2006;712;2;AGENTES Y CORREDORES DE SEGUROS;53
EN EL MUNICIPI;2006;508;1;AGRUPACIONES Y UNIONES TEMPOR. EMPRESAS;11
EN EL MUNICIPI;2006;5013;1;ALBAùILERIA Y PEQ. TRABAJOS CONSTRUCCION;374
EN EL MUNICIPI;2006;7545;1;ALMACENES Y DEPOSITOS DE LIQUIDOS;1
EN EL MUNICIPI;2006;8541;1;ALQUILER AUTOMOVILES SIN CONDUCTOR;3
EN EL MUNICIPI;2006;8561;1;ALQUILER DE BIENES DE CONSUMO;2
EN EL MUNICIPI;2006;8552;1;ALQUILER DE EMBARCACIONES;1
EN EL MUNICIPI;2006;8562;1;ALQUILER DE PELICULAS DE VIDEO;6
EN EL MUNICIPI;2006;853;1;ALQUILER MAQ. Y EQUIPO CONTABLE;1
EN EL MUNICIPI;2006;852;1;ALQUILER MAQUINARIA Y EQUIP. CONSTRUCC.;12
EN EL MUNICIPI;2006;859;1;ALQUILER OTROS BIENES MUEBLES NCOP;5
EN EL MUNICIPI;2006;048;3;ARBITROS DE ESPECTACULOS DEPORTIVOS;1
EN EL MUNICIPI;2006;411;2;ARQUITECTOS;39
EN EL MUNICIPI;2006;421;2;ARQUITECTOS TECNICOS Y APAREJADORES;46
EN EL MUNICIPI;2006;474;1;ARTES GRAFICAS (IMPRESION GRAFICA);7
EN EL MUNICIPI;2006;822;1;ASEGURADORAS DE ENFERMEDAD Y RIESGOS;3
EN EL MUNICIPI;2006;952;1;ASIST. Y SERV. DISMINUIDOS NO RESIDENC.;7
EN EL MUNICIPI;2006;951;1;ASISTENCIA Y SERV. SOCIALES DISMINUIDOS;7
EN EL MUNICIPI;2006;881;2;ASTROLOGOS Y SIMILARES;1
EN EL MUNICIPI;2006;747;2;AUDITORES DE CUENTAS Y CENSORES JURADOS;3
EN EL MUNICIPI;2006;024;2;AUXILIARES Y AYUDANTES VETERINARIA;1
EN EL MUNICIPI;2006;836;2;AYUD. TECN. SANITARIOS Y FISIOTERAPEUTAS;33
EN EL MUNICIPI;2006;022;3;BAILARINES;1
EN EL MUNICIPI;2006;811;1;BANCA;6
EN EL MUNICIPI;2006;6731;1;BARES CATEGORIA ESPECIAL;2
EN EL MUNICIPI;2006;6745;1;CAFE-BAR SOCIEDADES,CASINOS,CLUBES...;8
EN EL MUNICIPI;2006;675;1;CAFES-BARES EN QUIOSCOS,CAJONES,BARRACAS;1
EN EL MUNICIPI;2006;812;1;CAJAS DE AHORRO;32
EN EL MUNICIPI;2006;5055;1;CARPINTERIA Y CERRAJERIA;120
EN EL MUNICIPI;2006;676;1;CHOCOLATERIAS,HELADERIAS Y HORCHATERIAS;1
EN EL MUNICIPI;2006;5024;1;CIMENTACIONES Y PAVIMENTACIONES;2
EN EL MUNICIPI;2006;8491;1;COBROS DE DEUDAS Y CONFECCION FACTURAS;1
EN EL MUNICIPI;2006;5054;1;COLOCACION DE AISLAMIENTOS EN EDIFICIOS;55
EN EL MUNICIPI;2006;6153;1;COM. MAY. APARATOS ELECTRODOMESTICOS;14
EN EL MUNICIPI;2006;611;1;COM. MAY. TODA CLASE DE MERCANCIAS;1
EN EL MUNICIPI;2006;6536;1;COM. MEN. ARTICULOS DE  BRICOLAGE ;1
EN EL MUNICIPI;2006;6124;1;COM.MAY. CARNES,HUEVOS,AVES Y CAZA;8
EN EL MUNICIPI;2006;6172;1;COM.MAY. CUEROS Y PIELES EN BRUTO;1
EN EL MUNICIPI;2006;6152;1;COM.MAY. DE MUEBLES;2
EN EL MUNICIPI;2006;6192;1;COM.MAY. INSTRUM. MEDICOS Y ORTOPEDICOS;4
EN EL MUNICIPI;2006;6191;1;COM.MAY. JUGUETES Y ARTICULOS DEPORTE;2
EN EL MUNICIPI;2006;6173;1;COM.MAY. MADERA Y CORCHO;4
EN EL MUNICIPI;2006;6175;1;COM.MAY. MAQUINARIA PARA MADERA Y METAL;6
EN EL MUNICIPI;2006;6177;1;COM.MAY. MAQUINARIA TEXTIL;1
EN EL MUNICIPI;2006;6178;1;COM.MAY. MAQUINAS Y MATERIAL OFICINA;2
EN EL MUNICIPI;2006;6174;1;COM.MAY. MATERIALES CONSTRUCCION;3
EN EL MUNICIPI;2006;6164;1;COM.MAY. METALES NO FERREOS;2
EN EL MUNICIPI;2006;6193;1;COM.MAY. METALES PRECIOSOS, Y JOYERIA;4
EN EL MUNICIPI;2006;6128;1;COM.MAY. PESCADOS;2
EN EL MUNICIPI;2006;6165;1;COM.MAY. PETROLEO Y LUBRICANTES;1
EN EL MUNICIPI;2006;6133;1;COM.MAY. PRENDAS EXTERIORES VESTIR;8
EN EL MUNICIPI;2006;6139;1;COM.MAY.ACCESORIOS VESTIDO NCOP;1
EN EL MUNICIPI;2006;6154;1;COM.MAY.APAR.Y MAT. ELECTRONICO;12
EN EL MUNICIPI;2006;6195;1;COM.MAY.ART.PAPELERIA Y ESCRITORIO;5
EN EL MUNICIPI;2006;6126;1;COM.MAY.BEBIDAS Y TABACO;3
EN EL MUNICIPI;2006;6134;1;COM.MAY.CALZADO,PELETERIA,MARROQUINERIA;3
EN EL MUNICIPI;2006;6135;1;COM.MAY.CAMISERIA,LENCERIA,MERCERIA,...;12
EN EL MUNICIPI;2006;6122;1;COM.MAY.CEREALES,PLANTAS,ABONOS,ANIMALES;1
EN EL MUNICIPI;2006;621;1;COM.MAY.CHATARRA Y METALES DESECHO;4
