CODI_DIVISIO_TERRITORIAL;ANY;EPIGRAF;SECCIO;DESCRIPCIO_EPIGRAF;TOTAL
EN EL MUNICIPI;2003;4685;1;ACTIV. ANEXAS IND. MUEBLE;23
EN EL MUNICIPI;2003;756;1;ACTIV. AUXILIARES Y COMPLEMENTARIAS TTE.;8
EN EL MUNICIPI;2003;475;1;ACTIVIDADES ANEXAS ARTES GRAFICAS;2
EN EL MUNICIPI;2003;9794;1;ADIESTRAMIENTO Y CUIDADOS DE ANIMALES;3
EN EL MUNICIPI;2003;8321;1;AGENCIAS DE SEGUROS Y CORREDURIAS;44
EN EL MUNICIPI;2003;755;1;AGENCIAS DE VIAJES;17
EN EL MUNICIPI;2003;712;2;AGENTES Y CORREDORES DE SEGUROS;1
EN EL MUNICIPI;2003;508;1;AGRUPACIONES Y UNIONES TEMPOR. EMPRESAS;1
EN EL MUNICIPI;2003;5013;1;ALBAùILERIA Y PEQ. TRABAJOS CONSTRUCCION;469
EN EL MUNICIPI;2003;7544;1;ALMACENES FRIGORIFICOS;1
EN EL MUNICIPI;2003;7545;1;ALMACENES Y DEPOSITOS DE LIQUIDOS;1
EN EL MUNICIPI;2003;8541;1;ALQUILER AUTOMOVILES SIN CONDUCTOR;12
EN EL MUNICIPI;2003;8561;1;ALQUILER DE BIENES DE CONSUMO;11
EN EL MUNICIPI;2003;8552;1;ALQUILER DE EMBARCACIONES;1
EN EL MUNICIPI;2003;8562;1;ALQUILER DE PELICULAS DE VIDEO;53
EN EL MUNICIPI;2003;852;1;ALQUILER MAQUINARIA Y EQUIP. CONSTRUCC.;2
EN EL MUNICIPI;2003;859;1;ALQUILER OTROS BIENES MUEBLES NCOP;4
EN EL MUNICIPI;2003;8559;1;ALQUILER OTROS MEDIOS TRANSP. N.C.O.P.;1
EN EL MUNICIPI;2003;474;1;ARTES GRAFICAS (IMPRESION GRAFICA);13
EN EL MUNICIPI;2003;822;1;ASEGURADORAS DE ENFERMEDAD Y RIESGOS;10
EN EL MUNICIPI;2003;952;1;ASIST. Y SERV. DISMINUIDOS NO RESIDENC.;2
EN EL MUNICIPI;2003;951;1;ASISTENCIA Y SERV. SOCIALES DISMINUIDOS;2
EN EL MUNICIPI;2003;836;2;AYUD. TECN. SANITARIOS Y FISIOTERAPEUTAS;1
EN EL MUNICIPI;2003;811;1;BANCA;39
EN EL MUNICIPI;2003;6731;1;BARES CATEGORIA ESPECIAL;19
EN EL MUNICIPI;2003;4912;1;BISUTERIA;9
EN EL MUNICIPI;2003;6745;1;CAFE-BAR SOCIEDADES,CASINOS,CLUBES...;19
EN EL MUNICIPI;2003;6746;1;CAFE-BAR TEATROS Y CINES;5
EN EL MUNICIPI;2003;6723;1;CAFETERIAS DE UNA TAZA;3
EN EL MUNICIPI;2003;812;1;CAJAS DE AHORRO;113
EN EL MUNICIPI;2003;5055;1;CARPINTERIA Y CERRAJERIA;159
EN EL MUNICIPI;2003;5024;1;CIMENTACIONES Y PAVIMENTACIONES;3
EN EL MUNICIPI;2003;8491;1;COBROS DE DEUDAS Y CONFECCION FACTURAS;4
EN EL MUNICIPI;2003;5054;1;COLOCACION DE AISLAMIENTOS EN EDIFICIOS;70
EN EL MUNICIPI;2003;6153;1;COM. MAY. APARATOS ELECTRODOMESTICOS;36
EN EL MUNICIPI;2003;611;1;COM. MAY. TODA CLASE DE MERCANCIAS;1
EN EL MUNICIPI;2003;6124;1;COM.MAY. CARNES,HUEVOS,AVES Y CAZA;23
EN EL MUNICIPI;2003;6172;1;COM.MAY. CUEROS Y PIELES EN BRUTO;1
EN EL MUNICIPI;2003;6152;1;COM.MAY. DE MUEBLES;10
EN EL MUNICIPI;2003;6162;1;COM.MAY. HIERRO Y ACERO;5
EN EL MUNICIPI;2003;6192;1;COM.MAY. INSTRUM. MEDICOS Y ORTOPEDICOS;3
EN EL MUNICIPI;2003;6191;1;COM.MAY. JUGUETES Y ARTICULOS DEPORTE;10
EN EL MUNICIPI;2003;6196;1;COM.MAY. LIBROS, PERIODICOS Y REVISTAS;4
EN EL MUNICIPI;2003;6173;1;COM.MAY. MADERA Y CORCHO;12
EN EL MUNICIPI;2003;6176;1;COM.MAY. MAQUINARIA AGRICOLA;1
EN EL MUNICIPI;2003;6175;1;COM.MAY. MAQUINARIA PARA MADERA Y METAL;18
