CODI_DIVISIO_TERRITORIAL;ANY;EPIGRAF;SECCIO;DESCRIPCIO_EPIGRAF;TOTAL
EN EL MUNICIPI;1993;731;2;ABOGADOS;27
EN EL MUNICIPI;1993;436;1;ACABADO DE TEXTILES;4
EN EL MUNICIPI;1993;4685;1;ACTIV. ANEXAS IND. MUEBLE;12
EN EL MUNICIPI;1993;756;1;ACTIV. AUXILIARES Y COMPLEMENTARIAS TTE.;15
EN EL MUNICIPI;1993;475;1;ACTIVIDADES ANEXAS ARTES GRAFICAS;5
EN EL MUNICIPI;1993;019;3;ACTIVIDADES CINE,TEATRO, Y CIRCO NCOP;2
EN EL MUNICIPI;1993;711;2;ACTUARIOS DE SEGUROS;1
EN EL MUNICIPI;1993;9794;1;ADIESTRAMIENTO Y CUIDADOS DE ANIMALES;2
EN EL MUNICIPI;1993;723;2;ADMINISTRADORES DE FINCAS;2
EN EL MUNICIPI;1993;8321;1;AGENCIAS DE SEGUROS Y CORREDURIAS;8
EN EL MUNICIPI;1993;755;1;AGENCIAS DE VIAJES;3
EN EL MUNICIPI;1993;9793;1;AGENCIAS MATRIMONIALES Y OTROS SERVICIOS;1
EN EL MUNICIPI;1993;974;1;AGENCIAS PRESTACION SERV. DOMESTICOS;1
EN EL MUNICIPI;1993;771;2;AGENTES COBRADORES;3
EN EL MUNICIPI;1993;721;2;AGENTES COLEGIADOS PROPIEDAD IND.E INMOB;4
EN EL MUNICIPI;1993;511;2;AGENTES COMERCIALES;120
EN EL MUNICIPI;1993;728;2;AGENTES DE ADUANAS;1
EN EL MUNICIPI;1993;713;2;AGENTES DE SEGUROS AFECTOS;15
EN EL MUNICIPI;1993;712;2;AGENTES REPRESENTANTES DE SEGUROS;8
EN EL MUNICIPI;1993;508;1;AGRUPACIONES Y UNIONES TEMPOR. EMPRESAS;3
EN EL MUNICIPI;1993;5013;1;ALBAÑILERIA Y PEQ. TRABAJOS CONSTRUCCION;170
EN EL MUNICIPI;1993;854;1;ALQUILER AUTOMOVILES SIN CONDUCTOR;3
EN EL MUNICIPI;1993;8561;1;ALQUILER DE BIENES DE CONSUMO;1
EN EL MUNICIPI;1993;8562;1;ALQUILER DE PELICULAS DE VIDEO;13
EN EL MUNICIPI;1993;8611;1;ALQUILER DE VIVIENDAS;4
EN EL MUNICIPI;1993;8612;1;ALQUILER LOCALES INDUSTRIALES;13
EN EL MUNICIPI;1993;853;1;ALQUILER MAQ. Y EQUIPO CONTABLE;1
EN EL MUNICIPI;1993;852;1;ALQUILER MAQUINARIA Y EQUIP. CONSTRUCC.;6
EN EL MUNICIPI;1993;859;1;ALQUILER OTROS BIENES MUEBLES NCOP;1
EN EL MUNICIPI;1993;8559;1;ALQUILER OTROS MEDIOS TRANSP. N.C.O.P.;1
EN EL MUNICIPI;1993;411;2;ARQUITECTOS;12
EN EL MUNICIPI;1993;421;2;ARQUITECTOS TECNICOS Y APAREJADORES;22
EN EL MUNICIPI;1993;474;1;ARTES GRAFICAS (IMPRESION GRAFICA);21
EN EL MUNICIPI;1993;822;1;ASEGURADORAS DE ENFERMEDAD Y RIESGOS;2
EN EL MUNICIPI;1993;952;1;ASIST. Y SERV. DISMINUIDOS NO RESIDENC.;2
EN EL MUNICIPI;1993;951;1;ASISTENCIA Y SERV. SOCIALES DISMINUIDOS;1
EN EL MUNICIPI;1993;881;2;ASTROLOGOS,GRAFOLOGOS, Y SIMILARES;1
EN EL MUNICIPI;1993;747;2;AUDITORES DE CUENTAS Y CENSORES JURADOS;2
EN EL MUNICIPI;1993;836;2;AYUD. TECN. SANITARIOS Y FISIOTERAPEUTAS;10
EN EL MUNICIPI;1993;811;1;BANCA;13
EN EL MUNICIPI;1993;6731;1;BARES CATEGORIA ESPECIAL;10
EN EL MUNICIPI;1993;4912;1;BISUTERIA;2
EN EL MUNICIPI;1993;6745;1;CAFE-BAR SOCIEDADES,CASINOS,CLUBES...;5
EN EL MUNICIPI;1993;6746;1;CAFE-BAR TEATROS Y CINES;2
EN EL MUNICIPI;1993;675;1;CAFES-BARES EN QUIOSCOS,CAJONES,BARRACAS;2
EN EL MUNICIPI;1993;812;1;CAJAS DE AHORRO;17
EN EL MUNICIPI;1993;5055;1;CARPINT.,CERRAJ.,PINT. Y YESOS Y TERMIN.;178
EN EL MUNICIPI;1993;676;1;CHOCOLATERIAS,HELADERIAS Y HORCHATERIAS;3
EN EL MUNICIPI;1993;5024;1;CIMENTACIONES Y PAVIMENTACIONES;1
EN EL MUNICIPI;1993;8491;1;COBROS DE DEUDAS Y CONFECCION FACTURAS;2
EN EL MUNICIPI;1993;5054;1;COLOCACION DE AISLAMIENTOS EN EDIFICIOS;23
EN EL MUNICIPI;1993;6153;1;COM. MAY. APARATOS ELECTRODOMESTICOS;6
EN EL MUNICIPI;1993;611;1;COM. MAY. TODA CLASE DE MERCANCIAS;1
EN EL MUNICIPI;1993;6124;1;COM.MAY. CARNES,HUEVOS,AVES Y CAZA;7
EN EL MUNICIPI;1993;6152;1;COM.MAY. DE MUEBLES;1
EN EL MUNICIPI;1993;6162;1;COM.MAY. HIERRO Y ACERO;2
EN EL MUNICIPI;1993;6192;1;COM.MAY. INSTRUM. MEDICOS Y ORTOPEDICOS;2
EN EL MUNICIPI;1993;6191;1;COM.MAY. JUGUETES Y ARTICULOS DEPORTE;2
EN EL MUNICIPI;1993;6196;1;COM.MAY. LIBROS, PERIODICOS Y REVISTAS;1
EN EL MUNICIPI;1993;6173;1;COM.MAY. MADERA Y CORCHO;2
EN EL MUNICIPI;1993;6176;1;COM.MAY. MAQUINARIA AGRICOLA;1
EN EL MUNICIPI;1993;6175;1;COM.MAY. MAQUINARIA PARA MADERA Y METAL;9
EN EL MUNICIPI;1993;6177;1;COM.MAY. MAQUINARIA TEXTIL;1
EN EL MUNICIPI;1993;6178;1;COM.MAY. MAQUINAS Y MATERIAL OFICINA;4
EN EL MUNICIPI;1993;6174;1;COM.MAY. MATERIALES CONSTRUCCION;11
EN EL MUNICIPI;1993;6164;1;COM.MAY. METALES NO FERREOS;1
EN EL MUNICIPI;1993;6193;1;COM.MAY. METALES PRECIOSOS, Y JOYERIA;3
EN EL MUNICIPI;1993;6129;1;COM.MAY. OTRO PTOS. ALIMENTICIOS NCOP;38
EN EL MUNICIPI;1993;6128;1;COM.MAY. PESCADOS;2
EN EL MUNICIPI;1993;6165;1;COM.MAY. PETROLEO Y LUBRICANTES;2
