CODI_DIVISIO_TERRITORIAL;ANY;EPIGRAF;SECCIO;DESCRIPCIO_EPIGRAF;TOTAL
EN EL MUNICIPI;1992;731;2;ABOGADOS;17
EN EL MUNICIPI;1992;436;1;ACABADO DE TEXTILES;3
EN EL MUNICIPI;1992;4685;1;ACTIV. ANEXAS IND. MUEBLE;11
EN EL MUNICIPI;1992;756;1;ACTIV. AUXILIARES Y COMPLEMENTARIAS TTE.;14
EN EL MUNICIPI;1992;475;1;ACTIVIDADES ANEXAS ARTES GRAFICAS;5
EN EL MUNICIPI;1992;019;3;ACTIVIDADES CINE,TEATRO, Y CIRCO NCOP;2
EN EL MUNICIPI;1992;723;2;ADMINISTRADORES DE FINCAS;2
EN EL MUNICIPI;1992;8321;1;AGENCIAS DE SEGUROS Y CORREDURIAS;6
EN EL MUNICIPI;1992;755;1;AGENCIAS DE VIAJES;3
EN EL MUNICIPI;1992;974;1;AGENCIAS PRESTACION SERV. DOMESTICOS;1
EN EL MUNICIPI;1992;771;2;AGENTES COBRADORES;2
EN EL MUNICIPI;1992;721;2;AGENTES COLEGIADOS PROPIEDAD IND.E INMOB;3
EN EL MUNICIPI;1992;511;2;AGENTES COMERCIALES;87
EN EL MUNICIPI;1992;713;2;AGENTES DE SEGUROS AFECTOS;11
EN EL MUNICIPI;1992;712;2;AGENTES REPRESENTANTES DE SEGUROS;2
EN EL MUNICIPI;1992;508;1;AGRUPACIONES Y UNIONES TEMPOR. EMPRESAS;2
EN EL MUNICIPI;1992;5013;1;ALBAÑILERIA Y PEQ. TRABAJOS CONSTRUCCION;121
EN EL MUNICIPI;1992;7544;1;ALMACENES FRIGORIFICOS;1
EN EL MUNICIPI;1992;854;1;ALQUILER AUTOMOVILES SIN CONDUCTOR;3
EN EL MUNICIPI;1992;8561;1;ALQUILER DE BIENES DE CONSUMO;1
EN EL MUNICIPI;1992;8562;1;ALQUILER DE PELICULAS DE VIDEO;12
EN EL MUNICIPI;1992;8611;1;ALQUILER DE VIVIENDAS;4
EN EL MUNICIPI;1992;8612;1;ALQUILER LOCALES INDUSTRIALES;11
EN EL MUNICIPI;1992;852;1;ALQUILER MAQUINARIA Y EQUIP. CONSTRUCC.;4
EN EL MUNICIPI;1992;851;1;ALQUILER MAQUINARIA Y EQUIPO AGRICOLA;1
EN EL MUNICIPI;1992;411;2;ARQUITECTOS;8
