CODI_DIVISIO_TERRITORIAL;ANY;EPIGRAF;SECCIO;DESCRIPCIO_EPIGRAF;TOTAL
EN EL MUNICIPI;2005;731;2;ABOGADOS;101
EN EL MUNICIPI;2005;436;1;ACABADO DE TEXTILES;2
EN EL MUNICIPI;2005;4685;1;ACTIV. ANEXAS IND. MUEBLE;8
EN EL MUNICIPI;2005;756;1;ACTIV. AUXILIARES Y COMPLEMENTARIAS TTE.;13
EN EL MUNICIPI;2005;475;1;ACTIVIDADES ANEXAS ARTES GRAFICAS;10
EN EL MUNICIPI;2005;019;3;ACTIVIDADES CINE,TEATRO, Y CIRCO NCOP;5
EN EL MUNICIPI;2005;013;3;ACTORES DE CINE Y TEATRO;3
EN EL MUNICIPI;2005;841;2;ACUPUNTORES, NATUROPATAS Y OTROS;10
EN EL MUNICIPI;2005;9794;1;ADIESTRAMIENTO Y CUIDADOS DE ANIMALES;3
EN EL MUNICIPI;2005;723;2;ADMINISTRADORES DE FINCAS;3
EN EL MUNICIPI;2005;9792;1;ADORNO DE TEMPLOS Y OTROS LOCALES;1
EN EL MUNICIPI;2005;8321;1;AGENCIAS DE SEGUROS Y CORREDURIAS;14
EN EL MUNICIPI;2005;755;1;AGENCIAS DE VIAJES;8
EN EL MUNICIPI;2005;974;1;AGENCIAS PRESTACION SERV. DOMESTICOS;1
EN EL MUNICIPI;2005;721;2;AGENTES COLEGIADOS PROPIEDAD IND.E INMOB;1
EN EL MUNICIPI;2005;853;2;AGENTES COLOCADORES ARTISTAS;1
EN EL MUNICIPI;2005;511;2;AGENTES COMERCIALES;147
EN EL MUNICIPI;2005;728;2;AGENTES DE ADUANAS;2
EN EL MUNICIPI;2005;712;2;AGENTES Y CORREDORES DE SEGUROS;64
EN EL MUNICIPI;2005;508;1;AGRUPACIONES Y UNIONES TEMPOR. EMPRESAS;12
EN EL MUNICIPI;2005;5013;1;ALBAùILERIA Y PEQ. TRABAJOS CONSTRUCCION;616
EN EL MUNICIPI;2005;7545;1;ALMACENES Y DEPOSITOS DE LIQUIDOS;1
EN EL MUNICIPI;2005;8541;1;ALQUILER AUTOMOVILES SIN CONDUCTOR;7
EN EL MUNICIPI;2005;8561;1;ALQUILER DE BIENES DE CONSUMO;2
EN EL MUNICIPI;2005;8552;1;ALQUILER DE EMBARCACIONES;6
EN EL MUNICIPI;2005;8562;1;ALQUILER DE PELICULAS DE VIDEO;15
EN EL MUNICIPI;2005;862;1;ALQUILER INMUEBLES RUSTICOS;1
EN EL MUNICIPI;2005;8612;1;ALQUILER LOCALES INDUSTRIALES;34
EN EL MUNICIPI;2005;853;1;ALQUILER MAQ. Y EQUIPO CONTABLE;2
EN EL MUNICIPI;2005;852;1;ALQUILER MAQUINARIA Y EQUIP. CONSTRUCC.;12
EN EL MUNICIPI;2005;851;1;ALQUILER MAQUINARIA Y EQUIPO AGRICOLA;1
EN EL MUNICIPI;2005;859;1;ALQUILER OTROS BIENES MUEBLES NCOP;6
EN EL MUNICIPI;2005;8559;1;ALQUILER OTROS MEDIOS TRANSP. N.C.O.P.;1
EN EL MUNICIPI;2005;048;3;ARBITROS DE ESPECTACULOS DEPORTIVOS;2
EN EL MUNICIPI;2005;411;2;ARQUITECTOS;51
EN EL MUNICIPI;2005;421;2;ARQUITECTOS TECNICOS Y APAREJADORES;51
EN EL MUNICIPI;2005;474;1;ARTES GRAFICAS (IMPRESION GRAFICA);19
EN EL MUNICIPI;2005;822;1;ASEGURADORAS DE ENFERMEDAD Y RIESGOS;2
EN EL MUNICIPI;2005;952;1;ASIST. Y SERV. DISMINUIDOS NO RESIDENC.;9
EN EL MUNICIPI;2005;951;1;ASISTENCIA Y SERV. SOCIALES DISMINUIDOS;13
EN EL MUNICIPI;2005;881;2;ASTROLOGOS Y SIMILARES;1
EN EL MUNICIPI;2005;747;2;AUDITORES DE CUENTAS Y CENSORES JURADOS;4
EN EL MUNICIPI;2005;024;2;AUXILIARES Y AYUDANTES VETERINARIA;1
EN EL MUNICIPI;2005;836;2;AYUD. TECN. SANITARIOS Y FISIOTERAPEUTAS;38
EN EL MUNICIPI;2005;022;3;BAILARINES;1
EN EL MUNICIPI;2005;811;1;BANCA;6
EN EL MUNICIPI;2005;6731;1;BARES CATEGORIA ESPECIAL;7
EN EL MUNICIPI;2005;6745;1;CAFE-BAR SOCIEDADES,CASINOS,CLUBES...;10
EN EL MUNICIPI;2005;6746;1;CAFE-BAR TEATROS Y CINES;1
EN EL MUNICIPI;2005;675;1;CAFES-BARES EN QUIOSCOS,CAJONES,BARRACAS;1
EN EL MUNICIPI;2005;812;1;CAJAS DE AHORRO;30
EN EL MUNICIPI;2005;033;3;CANTANTES;1
EN EL MUNICIPI;2005;1611;1;CAPTACION,TRATAMIENTO Y DISTRIB. DE AGUA;1
EN EL MUNICIPI;2005;5055;1;CARPINTERIA Y CERRAJERIA;192
EN EL MUNICIPI;2005;5024;1;CIMENTACIONES Y PAVIMENTACIONES;4
EN EL MUNICIPI;2005;8491;1;COBROS DE DEUDAS Y CONFECCION FACTURAS;3
EN EL MUNICIPI;2005;5054;1;COLOCACION DE AISLAMIENTOS EN EDIFICIOS;59
EN EL MUNICIPI;2005;6153;1;COM. MAY. APARATOS ELECTRODOMESTICOS;15
EN EL MUNICIPI;2005;611;1;COM. MAY. TODA CLASE DE MERCANCIAS;7
EN EL MUNICIPI;2005;6536;1;COM. MEN. ARTICULOS DE  BRICOLAGE ;1
EN EL MUNICIPI;2005;6124;1;COM.MAY. CARNES,HUEVOS,AVES Y CAZA;8
EN EL MUNICIPI;2005;6172;1;COM.MAY. CUEROS Y PIELES EN BRUTO;1
EN EL MUNICIPI;2005;6152;1;COM.MAY. DE MUEBLES;2
EN EL MUNICIPI;2005;6162;1;COM.MAY. HIERRO Y ACERO;1
EN EL MUNICIPI;2005;6192;1;COM.MAY. INSTRUM. MEDICOS Y ORTOPEDICOS;7
EN EL MUNICIPI;2005;6191;1;COM.MAY. JUGUETES Y ARTICULOS DEPORTE;3
EN EL MUNICIPI;2005;6173;1;COM.MAY. MADERA Y CORCHO;4
EN EL MUNICIPI;2005;6176;1;COM.MAY. MAQUINARIA AGRICOLA;1
EN EL MUNICIPI;2005;6175;1;COM.MAY. MAQUINARIA PARA MADERA Y METAL;5
EN EL MUNICIPI;2005;6177;1;COM.MAY. MAQUINARIA TEXTIL;2
EN EL MUNICIPI;2005;6178;1;COM.MAY. MAQUINAS Y MATERIAL OFICINA;4
EN EL MUNICIPI;2005;6174;1;COM.MAY. MATERIALES CONSTRUCCION;7
EN EL MUNICIPI;2005;6164;1;COM.MAY. METALES NO FERREOS;1
EN EL MUNICIPI;2005;6193;1;COM.MAY. METALES PRECIOSOS, Y JOYERIA;3
EN EL MUNICIPI;2005;6128;1;COM.MAY. PESCADOS;5
EN EL MUNICIPI;2005;6165;1;COM.MAY. PETROLEO Y LUBRICANTES;1
EN EL MUNICIPI;2005;6133;1;COM.MAY. PRENDAS EXTERIORES VESTIR;22
EN EL MUNICIPI;2005;6127;1;COM.MAY. VINOS Y VINAGRES DEL PAIS;1
EN EL MUNICIPI;2005;6139;1;COM.MAY.ACCESORIOS VESTIDO NCOP;4
EN EL MUNICIPI;2005;6154;1;COM.MAY.APAR.Y MAT. ELECTRONICO;14
EN EL MUNICIPI;2005;6195;1;COM.MAY.ART.PAPELERIA Y ESCRITORIO;6
EN EL MUNICIPI;2005;6126;1;COM.MAY.BEBIDAS Y TABACO;4
