CODI_DIVISIO_TERRITORIAL;ANY;EPIGRAF;SECCIO;DESCRIPCIO_EPIGRAF;TOTAL
EN EL MUNICIPI;1996;731;2;ABOGADOS;89
EN EL MUNICIPI;1996;436;1;ACABADO DE TEXTILES;5
EN EL MUNICIPI;1996;4685;1;ACTIV. ANEXAS IND. MUEBLE;9
EN EL MUNICIPI;1996;756;1;ACTIV. AUXILIARES Y COMPLEMENTARIAS TTE.;16
EN EL MUNICIPI;1996;475;1;ACTIVIDADES ANEXAS ARTES GRAFICAS;14
EN EL MUNICIPI;1996;019;3;ACTIVIDADES CINE,TEATRO, Y CIRCO NCOP;2
EN EL MUNICIPI;1996;013;3;ACTORES DE CINE Y TEATRO;1
EN EL MUNICIPI;1996;841;2;ACUPUNTORES, NATUROPATAS Y OTROS;5
EN EL MUNICIPI;1996;9794;1;ADIESTRAMIENTO Y CUIDADOS DE ANIMALES;1
EN EL MUNICIPI;1996;723;2;ADMINISTRADORES DE FINCAS;5
EN EL MUNICIPI;1996;8321;1;AGENCIAS DE SEGUROS Y CORREDURIAS;16
EN EL MUNICIPI;1996;755;1;AGENCIAS DE VIAJES;8
EN EL MUNICIPI;1996;974;1;AGENCIAS PRESTACION SERV. DOMESTICOS;1
EN EL MUNICIPI;1996;771;2;AGENTES COBRADORES;2
EN EL MUNICIPI;1996;721;2;AGENTES COLEGIADOS PROPIEDAD IND.E INMOB;7
EN EL MUNICIPI;1996;511;2;AGENTES COMERCIALES;140
EN EL MUNICIPI;1996;728;2;AGENTES DE ADUANAS;1
EN EL MUNICIPI;1996;713;2;AGENTES DE SEGUROS AFECTOS;41
EN EL MUNICIPI;1996;712;2;AGENTES REPRESENTANTES DE SEGUROS;7
EN EL MUNICIPI;1996;508;1;AGRUPACIONES Y UNIONES TEMPOR. EMPRESAS;3
EN EL MUNICIPI;1996;5013;1;ALBAÑILERIA Y PEQ. TRABAJOS CONSTRUCCION;169
EN EL MUNICIPI;1996;7545;1;ALMACENES Y DEPOSITOS DE LIQUIDOS;1
EN EL MUNICIPI;1996;854;1;ALQUILER AUTOMOVILES SIN CONDUCTOR;6
EN EL MUNICIPI;1996;8561;1;ALQUILER DE BIENES DE CONSUMO;5
EN EL MUNICIPI;1996;8562;1;ALQUILER DE PELICULAS DE VIDEO;24
EN EL MUNICIPI;1996;852;1;ALQUILER MAQUINARIA Y EQUIP. CONSTRUCC.;9
EN EL MUNICIPI;1996;851;1;ALQUILER MAQUINARIA Y EQUIPO AGRICOLA;1
EN EL MUNICIPI;1996;859;1;ALQUILER OTROS BIENES MUEBLES NCOP;6
EN EL MUNICIPI;1996;8559;1;ALQUILER OTROS MEDIOS TRANSP. N.C.O.P.;1
EN EL MUNICIPI;1996;048;3;ARBITROS DE ESPECTACULOS DEPORTIVOS;1
EN EL MUNICIPI;1996;411;2;ARQUITECTOS;25
EN EL MUNICIPI;1996;421;2;ARQUITECTOS TECNICOS Y APAREJADORES;34
EN EL MUNICIPI;1996;474;1;ARTES GRAFICAS (IMPRESION GRAFICA);43
EN EL MUNICIPI;1996;822;1;ASEGURADORAS DE ENFERMEDAD Y RIESGOS;5
EN EL MUNICIPI;1996;952;1;ASIST. Y SERV. DISMINUIDOS NO RESIDENC.;9
EN EL MUNICIPI;1996;951;1;ASISTENCIA Y SERV. SOCIALES DISMINUIDOS;1
EN EL MUNICIPI;1996;881;2;ASTROLOGOS Y SIMILARES;2
EN EL MUNICIPI;1996;747;2;AUDITORES DE CUENTAS Y CENSORES JURADOS;2
EN EL MUNICIPI;1996;6641;1;AUTOVENTA MUSICA GRABADA EN EXPOSITORES;1
EN EL MUNICIPI;1996;836;2;AYUD. TECN. SANITARIOS Y FISIOTERAPEUTAS;21
EN EL MUNICIPI;1996;047;3;BALONMANO,VOLEIBOL,PELOTA,HIPICA,LUCHA;1
EN EL MUNICIPI;1996;811;1;BANCA;16
EN EL MUNICIPI;1996;6731;1;BARES CATEGORIA ESPECIAL;17
EN EL MUNICIPI;1996;4912;1;BISUTERIA;3
EN EL MUNICIPI;1996;6745;1;CAFE-BAR SOCIEDADES,CASINOS,CLUBES...;18
EN EL MUNICIPI;1996;6746;1;CAFE-BAR TEATROS Y CINES;4
EN EL MUNICIPI;1996;6722;1;CAFETERIAS DOS TAZAS;1
EN EL MUNICIPI;1996;6721;1;CAFETERIAS TRES TAZAS;1
EN EL MUNICIPI;1996;812;1;CAJAS DE AHORRO;23
EN EL MUNICIPI;1996;5055;1;CARPINTERIA Y CERRAJERIA;97
EN EL MUNICIPI;1996;4621;1;CHAPAS DE MADERA;1
