CODI_DIVISIO_TERRITORIAL;BARRI;HOMES;DONES;TOTAL
B-01;Artigas;53;35;88
B-02;Bonavista;1;1;2
B-03;Bufalà;17;15;32
B-04;Can Claris;5;6;11
B-05;Canyadó;0;5;5
B-06;Canyet;1;1;2
B-07;Casagemes;14;3;17
B-08;Centre;9;8;17
B-09;Coll i Pujol;9;6;15
B-10;Congrés;18;13;31
B-11;Dalt de la Vila;6;2;8
B-12;El Remei;6;2;8
B-13;Gorg;28;29;57
B-14;La Mora;0;1;1
B-15;La Pau;24;21;45
B-16;La Salut;123;85;208
B-18;Lloreda;7;4;11
B-19;Manresà;2;0;2
B-20;Mas Ram;2;0;2
B-21;Montigalà;4;1;5
B-22;Morera;7;8;15
B-23;Nova Lloreda;13;12;25
B-24;Pomar;5;8;13
B-26;Progrés;18;22;40
B-27;Puigfred;17;9;26
B-28;Raval;20;19;39
B-29;Sant Antoni de Llefià;57;45;102
B-30;Sant Crist de Can Cabanyes;33;20;53
B-31;Sant Joan de Llefià;37;42;79
B-32;Sant Mori de Llefià;49;41;90
B-33;Sant Roc;126;64;190
B-34;Sistrells;11;14;25
