CODI_DIVISIO_TERRITORIAL;BARRI;HOMES;DONES;TOTAL
B-DESCONEGUT;DESCONEGUT;8;6;14
B-01;Centre;16;14;30
B-02;Coll i Pujol;5;4;9
B-03;Dalt de la Vila;6;4;10
B-04;Gorg;32;14;46
B-05;Progrés;22;17;39
B-06;Raval;27;17;44
B-07;Can Claris;2;2;4
B-08;Canyet;0;1;1
B-09;Bufalà;23;25;48
B-10;Bonavista;7;6;13
B-11;Manresà;1;0;1
B-12;Canyadó;0;3;3
B-13;Casagemes;7;10;17
B-15;Pomar;11;9;20
B-16;Morera;16;14;30
B-17;Mas Ram;0;1;1
B-19;Sant Crist de Can Cabanyes;40;24;64
B-20;Nova Lloreda;7;10;17
B-21;Sistrells;10;7;17
B-22;La Salut;123;67;190
B-23;Lloreda;5;9;14
B-24;La Pau;21;14;35
B-25;Puigfred;16;16;32
B-27;Sant Joan de Llefià;43;29;72
B-28;Sant Antoni de Llefià;38;36;74
B-29;Sant Mori de Llefià;39;22;61
B-30;Artigas;31;20;51
B-31;Sant Roc;121;77;198
B-32;Congrés;22;19;41
B-33;El Remei;8;8;16
B-34;La Mora;0;1;1
B-36;Montigalà Occidental;0;3;3
