CODI_DIVISIO_TERRITORIAL;US;PROMIG_VALOR_CAD;NRE_LOCALS
SENSE IDENTIFICAR;ALTRES USOS;     2,942,425.43;17
SENSE IDENTIFICAR;COMERÇ;        85,447.25;1820
SENSE IDENTIFICAR;EMMAGATZEMATGE;         7,016.81;13204
SENSE IDENTIFICAR;ENSENYAMENT;       468,373.87;57
SENSE IDENTIFICAR;ESPECTACLES;       590,211.18;4
SENSE IDENTIFICAR;ESPORTIU;     2,365,726.08;19
SENSE IDENTIFICAR;HOTEL;       148,171.86;20
SENSE IDENTIFICAR;INDUSTRIA;       172,886.38;566
SENSE IDENTIFICAR;OFICINA;        82,397.51;191
SENSE IDENTIFICAR;PUBLIC;       624,927.84;1
SENSE IDENTIFICAR;SOL SENSE EDIFICAR;       222,722.67;223
SENSE IDENTIFICAR;VIVENDA;        33,652.21;21314
S-01001;ALTRES USOS;        69,270.90;1
S-01001;COMERÇ;        93,118.07;26
S-01001;EMMAGATZEMATGE;         8,110.50;338
S-01001;ENSENYAMENT;       357,147.45;6
S-01001;INDUSTRIA;       110,897.36;9
S-01001;OFICINA;        71,250.48;8
S-01001;SOL SENSE EDIFICAR;        53,277.57;3
S-01001;VIVENDA;        55,034.66;442
S-01002;COMERÇ;        81,902.44;124
S-01002;EMMAGATZEMATGE;         8,841.88;245
S-01002;ENSENYAMENT;       558,834.15;6
S-01002;ESPECTACLES;       422,664.29;1
S-01002;ESPORTIU;       637,535.61;1
S-01002;HOTEL;        98,694.75;5
S-01002;INDUSTRIA;        50,983.40;24
S-01002;OFICINA;       150,750.08;26
S-01002;SOL SENSE EDIFICAR;         9,828.21;2
S-01002;VIVENDA;        57,217.24;681
S-01003;ALTRES USOS;        46,558.15;1
S-01003;COMERÇ;        76,326.00;34
S-01003;EMMAGATZEMATGE;        14,642.76;83
S-01003;ENSENYAMENT;       284,861.62;3
S-01003;ESPECTACLES;        47,328.14;2
S-01003;HOTEL;       221,878.89;2
S-01003;INDUSTRIA;        99,594.67;13
S-01003;OFICINA;        63,161.49;18
S-01003;PUBLIC;       436,219.23;1
S-01003;VIVENDA;        61,825.68;296
S-01004;COMERÇ;        55,281.95;18
S-01004;EMMAGATZEMATGE;        14,879.79;30
S-01004;HOTEL;        62,727.39;8
S-01004;INDUSTRIA;        33,063.75;7
S-01004;OFICINA;        64,749.23;6
S-01004;SOL SENSE EDIFICAR;        30,951.66;3
S-01004;VIVENDA;        51,291.50;301
S-01005;ALTRES USOS;       162,484.01;3
S-01005;COMERÇ;        38,528.36;48
S-01005;EMMAGATZEMATGE;         6,312.28;294
S-01005;ENSENYAMENT;       111,773.14;2
S-01005;ESPORTIU;       929,828.72;1
S-01005;INDUSTRIA;        55,298.95;3
S-01005;OFICINA;        66,986.01;16
S-01005;SOL SENSE EDIFICAR;        49,572.72;4
S-01005;VIVENDA;        55,387.50;362
S-01007;COMERÇ;        97,714.52;50
S-01007;EMMAGATZEMATGE;         7,520.88;376
S-01007;ENSENYAMENT;       138,928.02;11
S-01007;ESPORTIU;       144,540.55;1
S-01007;HOTEL;       212,776.48;5
S-01007;INDUSTRIA;       104,276.72;6
S-01007;OFICINA;       118,886.46;31
S-01007;VIVENDA;        48,989.20;560
S-01008;COMERÇ;        47,927.84;26
S-01008;EMMAGATZEMATGE;        27,643.64;14
S-01008;ENSENYAMENT;        40,378.58;1
S-01008;ESPECTACLES;       237,431.98;1
S-01008;ESPORTIU;        19,260.76;1
S-01008;HOTEL;       312,001.43;2
S-01008;INDUSTRIA;        24,202.47;3
S-01008;OFICINA;        64,940.09;9
S-01008;VIVENDA;        49,608.40;310
S-02001;COMERÇ;        53,744.26;31
S-02001;EMMAGATZEMATGE;         8,864.09;218
S-02001;ENSENYAMENT;        41,662.21;2
S-02001;INDUSTRIA;       133,099.43;23
S-02001;OFICINA;        44,573.16;17
S-02001;SOL SENSE EDIFICAR;       918,135.79;6
S-02001;VIVENDA;        43,768.60;397
S-02002;ALTRES USOS;       112,963.16;1
S-02002;COMERÇ;        54,869.77;12
S-02002;EMMAGATZEMATGE;         7,091.86;225
S-02002;ENSENYAMENT;       164,382.75;1
S-02002;INDUSTRIA;       136,527.16;15
S-02002;OFICINA;       113,405.66;8
S-02002;SOL SENSE EDIFICAR;       177,018.01;4
S-02002;VIVENDA;        57,007.85;325
S-02003;COMERÇ;        33,116.29;166
S-02003;EMMAGATZEMATGE;         6,699.19;507
S-02003;ENSENYAMENT;        59,006.81;2
S-02003;ESPECTACLES;     1,809,733.17;1
S-02003;ESPORTIU;        72,139.10;7
S-02003;HOTEL;       113,948.44;3
S-02003;INDUSTRIA;        80,247.97;39
S-02003;OFICINA;       111,649.08;36
S-02003;SOL SENSE EDIFICAR;       231,030.10;10
S-02003;VIVENDA;        36,113.44;1118
S-02004;ALTRES USOS;       501,296.32;5
S-02004;COMERÇ;        59,784.76;75
S-02004;EMMAGATZEMATGE;         6,494.39;810
S-02004;ENSENYAMENT;       626,980.42;3
S-02004;ESPECTACLES;        13,729.85;1
S-02004;HOTEL;        11,653.03;1
