CODI_DIVISIO_TERRITORIAL;US;PROMIG_VALOR_CAD;NRE_LOCALS
SENSE IDENTIFICAR;ALTRES USOS;     2,337,221.47;32
SENSE IDENTIFICAR;COMERÇ;       111,406.31;1739
SENSE IDENTIFICAR;EMMAGATZEMATGE;        12,646.28;13101
SENSE IDENTIFICAR;ENSENYAMENT;       617,841.84;53
SENSE IDENTIFICAR;ESPECTACLES;       795,695.25;2
SENSE IDENTIFICAR;ESPORTIU;     2,726,103.69;26
SENSE IDENTIFICAR;HOTEL;       229,312.56;20
SENSE IDENTIFICAR;INDUSTRIA;       225,981.80;534
SENSE IDENTIFICAR;OFICINA;       111,226.10;198
SENSE IDENTIFICAR;PUBLIC;       607,013.98;2
SENSE IDENTIFICAR;RELIGIOS;       413,044.12;18
SENSE IDENTIFICAR;SOL SENSE EDIFICAR;       322,482.91;208
SENSE IDENTIFICAR;VIVENDA;        45,159.02;20463
S-01001;ALTRES USOS;        92,199.55;1
S-01001;COMERÇ;       113,924.64;29
S-01001;EMMAGATZEMATGE;        10,734.62;336
S-01001;ENSENYAMENT;       475,363.24;6
S-01001;ESPORTIU;       125,751.51;1
S-01001;INDUSTRIA;       148,094.11;9
S-01001;OFICINA;       100,988.59;7
S-01001;SOL SENSE EDIFICAR;        34,244.52;2
S-01001;VIVENDA;        72,809.69;445
S-01002;COMERÇ;       109,507.07;135
S-01002;EMMAGATZEMATGE;        11,579.31;243
S-01002;ENSENYAMENT;       676,254.36;7
S-01002;ESPECTACLES;       562,566.15;1
S-01002;ESPORTIU;       848,559.88;1
S-01002;HOTEL;       131,362.70;5
S-01002;INDUSTRIA;        67,510.70;20
S-01002;OFICINA;       196,143.41;27
S-01002;RELIGIOS;       578,236.44;2
S-01002;SOL SENSE EDIFICAR;        13,081.34;2
S-01002;VIVENDA;        78,349.79;674
S-01003;ALTRES USOS;        61,968.88;1
S-01003;COMERÇ;        93,900.99;38
S-01003;EMMAGATZEMATGE;        18,698.49;130
S-01003;ENSENYAMENT;       381,781.27;3
S-01003;HOTEL;       320,404.17;3
S-01003;INDUSTRIA;       148,874.86;10
S-01003;OFICINA;       104,781.24;21
S-01003;VIVENDA;        82,347.65;373
S-01004;COMERÇ;        74,578.21;20
S-01004;EMMAGATZEMATGE;        20,468.97;29
S-01004;ENSENYAMENT;       190,272.43;1
S-01004;HOTEL;        83,490.14;8
S-01004;INDUSTRIA;        32,324.13;6
S-01004;OFICINA;        78,259.56;7
S-01004;RELIGIOS;       150,696.90;1
S-01004;SOL SENSE EDIFICAR;        41,196.64;3
S-01004;VIVENDA;        67,417.70;305
S-01005;ALTRES USOS;       180,999.03;4
S-01005;COMERÇ;        45,216.18;45
S-01005;EMMAGATZEMATGE;         8,399.10;294
S-01005;ENSENYAMENT;       148,770.04;2
S-01005;ESPORTIU;     1,237,602.01;1
S-01005;INDUSTRIA;        73,602.89;3
S-01005;OFICINA;        88,837.16;14
S-01005;SOL SENSE EDIFICAR;        63,527.38;5
S-01005;VIVENDA;        73,671.17;361
S-01007;COMERÇ;       126,438.05;47
S-01007;EMMAGATZEMATGE;        10,236.30;376
S-01007;ENSENYAMENT;       170,285.16;13
S-01007;ESPORTIU;       192,383.46;1
S-01007;HOTEL;       266,772.04;7
S-01007;INDUSTRIA;       191,086.02;4
S-01007;OFICINA;       158,759.95;31
S-01007;RELIGIOS;       100,107.28;2
S-01007;SOL SENSE EDIFICAR;        33,135.86;1
S-01007;VIVENDA;        66,727.45;561
S-01008;COMERÇ;        63,351.70;27
S-01008;EMMAGATZEMATGE;        32,648.47;16
S-01008;ENSENYAMENT;        53,743.87;1
S-01008;ESPORTIU;        25,636.06;1
S-01008;HOTEL;       415,273.89;2
S-01008;INDUSTRIA;        32,213.48;3
S-01008;OFICINA;        86,435.24;9
S-01008;SOL SENSE EDIFICAR;        15,660.11;1
S-01008;VIVENDA;        68,012.60;315
S-02001;COMERÇ;        74,450.52;27
S-02001;EMMAGATZEMATGE;        10,756.03;206
S-02001;ENSENYAMENT;        28,522.84;1
S-02001;INDUSTRIA;       199,733.45;17
S-02001;OFICINA;        63,433.58;17
S-02001;SOL SENSE EDIFICAR;        69,460.47;8
S-02001;VIVENDA;        60,168.32;360
S-02002;ALTRES USOS;       150,353.95;1
S-02002;COMERÇ;        73,624.34;11
S-02002;EMMAGATZEMATGE;         9,441.15;223
S-02002;ENSENYAMENT;       218,793.43;1
S-02002;INDUSTRIA;       227,875.99;11
S-02002;OFICINA;       152,222.02;8
S-02002;SOL SENSE EDIFICAR;       198,606.54;5
S-02002;VIVENDA;        74,449.18;323
S-02003;COMERÇ;        44,684.82;169
S-02003;EMMAGATZEMATGE;        12,800.51;504
S-02003;ENSENYAMENT;        78,538.05;2
S-02003;ESPECTACLES;     2,408,754.83;1
S-02003;ESPORTIU;       110,938.86;6
S-02003;HOTEL;       151,665.36;3
S-02003;INDUSTRIA;        63,927.31;36
S-02003;OFICINA;       145,617.65;37
S-02003;SOL SENSE EDIFICAR;       366,567.30;11
S-02003;VIVENDA;        47,975.90;1122
S-02004;ALTRES USOS;       529,794.82;7
S-02004;COMERÇ;        80,814.47;76
S-02004;EMMAGATZEMATGE;         8,585.72;808
S-02004;ENSENYAMENT;       834,510.92;3
S-02004;ESPECTACLES;        18,274.42;1
S-02004;ESPORTIU;       836,616.33;1
S-02004;HOTEL;        15,510.17;1
S-02004;INDUSTRIA;        87,146.47;9
S-02004;OFICINA;       151,416.03;34
S-02004;PUBLIC;     2,383,140.27;1
S-02004;RELIGIOS;       357,390.46;1
S-02004;SOL SENSE EDIFICAR;        99,529.69;4
S-02004;VIVENDA;        70,810.96;929
S-02005;COMERÇ;        23,121.76;4
S-02005;EMMAGATZEMATGE;        15,167.07;22
S-02005;ENSENYAMENT;       187,326.09;1
S-02005;ESPORTIU;        32,062.67;1
S-02005;INDUSTRIA;        78,988.12;5
S-02005;RELIGIOS;       267,007.47;1
