SECCIO_CENSAL;US;PROMIG_VALOR_CAD;NR_LOCALS
S-02006;SOL SENSE EDIFICAR;         1,224.34;2
S-02006;VIVENDA;        34,178.43;322
S-02007;COMERÇ;        23,476.99;28
S-02007;EMMAGATZEMATGE;        18,675.87;16
S-02007;ENSENYAMENT;        37,564.25;3
S-02007;OFICINA;        24,685.46;4
S-02007;RELIGIOS;       438,018.52;1
S-02007;VIVENDA;        28,084.45;343
S-02008;ALTRES USOS;       241,587.92;2
S-02008;COMERÇ;        62,568.15;39
S-02008;EMMAGATZEMATGE;         7,612.19;841
S-02008;ENSENYAMENT;       192,436.85;4
S-02008;INDUSTRIA;        40,086.01;4
S-02008;OFICINA;        69,231.78;10
S-02008;SOL SENSE EDIFICAR;       200,647.85;3
S-02008;VIVENDA;        74,414.77;529
S-02009;COMERÇ;        31,183.73;21
S-02009;EMMAGATZEMATGE;        19,670.72;6
S-02009;OFICINA;        15,479.96;2
S-02009;VIVENDA;        27,918.95;406
S-02010;COMERÇ;        35,531.61;35
S-02010;EMMAGATZEMATGE;        13,218.39;21
S-02010;INDUSTRIA;        45,696.36;5
S-02010;OFICINA;        39,396.51;1
S-02010;SOL SENSE EDIFICAR;        22,410.35;5
S-02010;VIVENDA;        39,046.59;405
S-02011;COMERÇ;        58,826.48;36
S-02011;EMMAGATZEMATGE;        11,573.20;94
S-02011;ENSENYAMENT;        41,556.79;1
S-02011;VIVENDA;        41,210.14;551
S-02012;COMERÇ;        42,638.82;7
S-02012;EMMAGATZEMATGE;        24,013.85;19
S-02012;ENSENYAMENT;        82,846.91;1
S-02012;INDUSTRIA;        63,294.45;2
S-02012;OFICINA;        60,350.42;2
S-02012;SOL SENSE EDIFICAR;        14,173.21;4
S-02012;VIVENDA;        38,902.96;353
S-02013;ALTRES USOS;        36,549.22;1
S-02013;COMERÇ;        46,424.74;41
S-02013;EMMAGATZEMATGE;         7,822.27;189
S-02013;ENSENYAMENT;        36,543.80;1
S-02013;SOL SENSE EDIFICAR;         4,757.87;3
S-02013;VIVENDA;        33,498.37;495
S-02014;COMERÇ;        41,207.94;32
S-02014;EMMAGATZEMATGE;        14,768.64;73
S-02014;ENSENYAMENT;       155,737.17;1
S-02014;ESPORTIU;       547,926.20;1
S-02014;VIVENDA;        33,942.32;398
S-02015;ALTRES USOS;       101,878.08;1
S-02015;COMERÇ;        33,927.29;44
S-02015;EMMAGATZEMATGE;        29,279.15;18
S-02015;INDUSTRIA;        52,019.23;1
S-02015;SOL SENSE EDIFICAR;        44,504.20;4
S-02015;VIVENDA;        38,750.94;351
S-03001;COMERÇ;        74,629.50;30
S-03001;EMMAGATZEMATGE;        14,962.85;438
S-03001;ESPORTIU;    42,558,632.79;1
S-03001;HOTEL;       148,145.26;4
S-03001;INDUSTRIA;       334,767.16;69
S-03001;OFICINA;       192,148.16;3
S-03001;SOL SENSE EDIFICAR;       475,526.91;22
S-03001;VIVENDA;        63,525.19;399
S-03002;COMERÇ;        33,725.54;48
S-03002;EMMAGATZEMATGE;        20,551.24;191
S-03002;INDUSTRIA;        89,245.98;108
S-03002;OFICINA;     1,700,390.81;3
S-03002;RELIGIOS;       440,287.22;1
S-03002;SOL SENSE EDIFICAR;       101,457.37;4
S-03002;VIVENDA;        50,103.93;310
S-03003;COMERÇ;        68,022.88;47
S-03003;EMMAGATZEMATGE;         9,353.26;599
S-03003;ENSENYAMENT;        28,948.05;1
S-03003;INDUSTRIA;       165,465.57;9
S-03003;OFICINA;        55,441.56;6
