SECCIO_CENSAL;US;PROMIG_VALOR_CAD;NR_LOCALS
SENSE IDENTIFICAR;ALTRES USOS;     2,225,088.67;35
SENSE IDENTIFICAR;COMERÇ;       116,644.87;1.736
SENSE IDENTIFICAR;EMMAGATZEMATGE;        13,147.12;13.126
SENSE IDENTIFICAR;ENSENYAMENT;       651,075.91;56
SENSE IDENTIFICAR;ESPECTACLES;       827,523.06;2
SENSE IDENTIFICAR;ESPORTIU;     2,894,460.92;25
SENSE IDENTIFICAR;HOTEL;       251,986.78;21
SENSE IDENTIFICAR;INDUSTRIA;       237,799.29;535
SENSE IDENTIFICAR;OFICINA;       117,084.38;198
SENSE IDENTIFICAR;PUBLIC;       631,294.54;2
SENSE IDENTIFICAR;RELIGIOS;       418,434.12;19
SENSE IDENTIFICAR;SOL SENSE EDIFICAR;       308,799.25;224
SENSE IDENTIFICAR;VIVENDA;        46,933.74;20.498
S-01001;ALTRES USOS;        95,887.53;1
S-01001;COMERÇ;       118,481.62;29
S-01001;EMMAGATZEMATGE;        11,164.00;336
S-01001;ENSENYAMENT;       494,377.77;6
S-01001;ESPORTIU;       130,781.57;1
S-01001;INDUSTRIA;       154,017.87;9
S-01001;OFICINA;       105,028.12;7
S-01001;SOL SENSE EDIFICAR;        35,614.30;2
S-01001;VIVENDA;        75,722.07;445
S-01002;ALTRES USOS;       293,796.13;3
S-01002;COMERÇ;       109,630.46;136
S-01002;EMMAGATZEMATGE;        12,042.48;243
S-01002;ENSENYAMENT;       703,304.53;7
S-01002;ESPECTACLES;       585,068.79;1
S-01002;ESPORTIU;       882,502.27;1
S-01002;HOTEL;       180,948.28;6
S-01002;INDUSTRIA;        70,024.16;19
S-01002;OFICINA;       205,099.06;25
S-01002;RELIGIOS;       601,365.90;2
S-01002;SOL SENSE EDIFICAR;        26,650.61;4
S-01002;VIVENDA;        81,876.44;675
S-01003;ALTRES USOS;        64,447.63;1
S-01003;COMERÇ;        96,054.05;39
S-01003;EMMAGATZEMATGE;        15,975.97;129
S-01003;ENSENYAMENT;       397,052.51;3
S-01003;ESPORTIU;     3,909,796.97;1
S-01003;HOTEL;       333,220.33;3
S-01003;INDUSTRIA;       154,829.85;10
S-01003;OFICINA;       111,283.25;20
S-01003;VIVENDA;        86,096.51;371
S-01004;COMERÇ;        77,561.34;20
S-01004;EMMAGATZEMATGE;        21,287.72;29
S-01004;ENSENYAMENT;       197,883.32;1
S-01004;HOTEL;        86,829.74;8
S-01004;INDUSTRIA;        33,617.09;6
S-01004;OFICINA;        81,389.94;7
S-01004;RELIGIOS;       156,724.77;1
S-01004;SOL SENSE EDIFICAR;        42,844.50;3
S-01004;VIVENDA;        70,335.85;305
S-01005;ALTRES USOS;       160,267.11;5
S-01005;COMERÇ;        46,614.59;47
S-01005;EMMAGATZEMATGE;         8,735.06;294
S-01005;ENSENYAMENT;       154,720.83;2
S-01005;ESPORTIU;     1,287,106.09;1
S-01005;INDUSTRIA;        76,547.00;3
S-01005;OFICINA;        91,908.37;13
S-01005;SOL SENSE EDIFICAR;        66,068.48;5
S-01005;VIVENDA;        75,621.06;364
S-01007;COMERÇ;       129,691.15;48
S-01007;EMMAGATZEMATGE;        10,811.96;378
S-01007;ENSENYAMENT;       177,096.56;13
S-01007;ESPORTIU;       200,078.79;1
S-01007;HOTEL;       277,442.91;7
S-01007;INDUSTRIA;       198,729.45;4
S-01007;OFICINA;       162,260.78;32
S-01007;RELIGIOS;       104,111.57;2
S-01007;SOL SENSE EDIFICAR;        34,461.29;1
S-01007;VIVENDA;        69,385.83;564
S-01008;COMERÇ;        67,694.14;26
S-01008;EMMAGATZEMATGE;        33,954.40;16
S-01008;ENSENYAMENT;        55,893.62;1
S-01008;ESPORTIU;        26,661.50;1
S-01008;HOTEL;       431,884.84;2
S-01008;INDUSTRIA;        33,502.01;3
S-01008;OFICINA;        89,892.65;9
S-01008;SOL SENSE EDIFICAR;        16,286.51;1
S-01008;VIVENDA;        71,503.94;313
S-02001;COMERÇ;        43,272.07;81
S-02001;EMMAGATZEMATGE;         8,487.99;469
S-02001;ENSENYAMENT;        64,340.96;3
S-02001;INDUSTRIA;       219,929.59;16
S-02001;OFICINA;        63,301.35;18
S-02001;SOL SENSE EDIFICAR;       370,826.11;10
S-02001;VIVENDA;        49,305.89;958
S-02002;ALTRES USOS;       156,368.10;1
S-02002;COMERÇ;        76,569.30;11
S-02002;EMMAGATZEMATGE;         9,620.55;237
S-02002;ENSENYAMENT;       227,545.16;1
S-02002;INDUSTRIA;       193,507.94;10
S-02002;OFICINA;       158,310.89;8
S-02002;PUBLIC;     1,493,951.22;1
S-02002;SOL SENSE EDIFICAR;       245,005.26;6
S-02002;VIVENDA;        76,142.63;322
S-02003;COMERÇ;        56,242.57;108
S-02003;EMMAGATZEMATGE;        20,737.32;244
S-02003;ESPORTIU;       115,376.41;6
S-02003;HOTEL;       797,067.85;3
S-02003;INDUSTRIA;        64,039.61;35
S-02003;OFICINA;       158,255.50;34
S-02003;SOL SENSE EDIFICAR;         9,330.14;7
S-02003;VIVENDA;        63,658.35;426
S-02004;ALTRES USOS;       550,986.60;7
S-02004;COMERÇ;        84,047.04;76
S-02004;EMMAGATZEMATGE;         8,975.98;808
S-02004;ENSENYAMENT;       867,891.36;3
S-02004;ESPECTACLES;        19,005.39;1
S-02004;ESPORTIU;       870,080.98;1
S-02004;HOTEL;        16,130.57;1
S-02004;INDUSTRIA;        95,411.23;7
S-02004;OFICINA;       134,402.39;33
S-02004;PUBLIC;     2,478,465.88;1
S-02004;RELIGIOS;       371,686.07;1
S-02004;SOL SENSE EDIFICAR;       103,510.87;4
S-02004;VIVENDA;        74,568.57;930
S-02005;COMERÇ;        40,691.72;11
S-02005;EMMAGATZEMATGE;        16,559.55;10
S-02005;ENSENYAMENT;       194,819.13;1
S-02005;ESPORTIU;        33,345.17;1
S-02005;INDUSTRIA;        72,476.18;5
S-02005;OFICINA;        59,295.82;1
S-02005;RELIGIOS;       277,687.76;1
S-02005;SOL SENSE EDIFICAR;        31,859.95;3
S-02005;VIVENDA;        41,006.53;170
S-02006;COMERÇ;        34,149.63;10
S-02006;EMMAGATZEMATGE;         6,958.45;128
S-02006;INDUSTRIA;        37,661.59;3
S-02006;SOL SENSE EDIFICAR;         1,142.97;2
S-02006;VIVENDA;        31,823.53;327
S-02007;COMERÇ;        21,916.54;28
S-02007;EMMAGATZEMATGE;        17,434.54;16
S-02007;ENSENYAMENT;        35,067.47;3
S-02007;OFICINA;        23,044.69;4
S-02007;RELIGIOS;       408,904.52;1
S-02007;VIVENDA;        26,174.95;349
S-02008;ALTRES USOS;       225,530.18;2
S-02008;COMERÇ;        56,883.58;40
S-02008;EMMAGATZEMATGE;         6,799.36;693
S-02008;ENSENYAMENT;       179,646.06;4
S-02008;INDUSTRIA;       112,627.98;5
S-02008;OFICINA;        59,299.28;12
S-02008;SOL SENSE EDIFICAR;        95,937.17;2
S-02008;VIVENDA;        69,195.75;498
S-02009;COMERÇ;        22,161.31;20
S-02009;EMMAGATZEMATGE;        18,363.27;6
S-02009;OFICINA;        55,940.98;3
S-02009;VIVENDA;        26,034.91;409
S-02010;COMERÇ;        33,003.07;35
S-02010;EMMAGATZEMATGE;        12,770.89;20
S-02010;INDUSTRIA;        42,659.05;5
S-02010;OFICINA;        36,777.93;1
S-02010;SOL SENSE EDIFICAR;        20,920.80;5
S-02010;VIVENDA;        36,300.54;405
S-02011;COMERÇ;        55,374.12;34
S-02011;EMMAGATZEMATGE;        10,962.18;96
S-02011;ENSENYAMENT;        38,794.62;1
S-02011;VIVENDA;        38,699.85;550
S-02012;COMERÇ;        38,231.66;7
S-02012;EMMAGATZEMATGE;        22,417.72;19
S-02012;ENSENYAMENT;        77,340.29;1
S-02012;INDUSTRIA;        59,087.44;2
S-02012;OFICINA;        56,339.09;2
S-02012;SOL SENSE EDIFICAR;        17,206.12;3
S-02012;VIVENDA;        36,322.02;352
S-02013;ALTRES USOS;        34,119.89;1
S-02013;COMERÇ;        45,651.20;39
S-02013;EMMAGATZEMATGE;         7,296.41;189
S-02013;ENSENYAMENT;        34,114.83;1
S-02013;SOL SENSE EDIFICAR;         4,441.64;3
S-02013;VIVENDA;        31,193.17;499
S-02014;COMERÇ;        40,185.58;33
S-02014;EMMAGATZEMATGE;        13,461.52;72
S-02014;ENSENYAMENT;       145,385.72;1
S-02014;ESPORTIU;       511,506.92;1
S-02014;VIVENDA;        31,631.78;400
S-02015;ALTRES USOS;        95,106.50;1
S-02015;COMERÇ;        31,672.23;44
S-02015;EMMAGATZEMATGE;        27,333.04;18
S-02015;INDUSTRIA;        48,561.65;1
S-02015;SOL SENSE EDIFICAR;        41,546.12;4
S-02015;VIVENDA;        36,446.71;349
S-03001;COMERÇ;        64,457.43;16
S-03001;EMMAGATZEMATGE;        38,558.65;99
S-03001;HOTEL;       138,298.42;4
S-03001;INDUSTRIA;       312,322.96;69
S-03001;OFICINA;       181,603.97;4
S-03001;SOL SENSE EDIFICAR;       463,606.89;21
S-03001;VIVENDA;        48,433.00;268
S-03002;COMERÇ;        30,377.38;48
S-03002;EMMAGATZEMATGE;        19,250.82;192
S-03002;ENSENYAMENT;        96,202.43;1
S-03002;INDUSTRIA;        70,143.30;108
S-03002;OFICINA;     1,587,370.03;3
S-03002;RELIGIOS;       411,022.44;1
S-03002;SOL SENSE EDIFICAR;        99,683.15;3
S-03002;VIVENDA;        46,626.02;310
S-03003;COMERÇ;        62,728.39;48
S-03003;EMMAGATZEMATGE;         8,691.31;602
S-03003;ENSENYAMENT;        27,023.96;1
S-03003;INDUSTRIA;       154,467.50;9
S-03003;OFICINA;        51,756.51;6
S-03003;SOL SENSE EDIFICAR;       550,937.72;6
S-03003;VIVENDA;        54,042.97;634
S-03004;ALTRES USOS;     1,334,171.24;1
S-03004;COMERÇ;        66,315.13;62
S-03004;EMMAGATZEMATGE;         7,305.45;953
S-03004;ENSENYAMENT;        98,296.84;1
S-03004;ESPORTIU;       326,553.54;1
S-03004;INDUSTRIA;        52,353.18;13
S-03004;OFICINA;        45,364.16;9
S-03004;SOL SENSE EDIFICAR;       185,052.60;2
S-03004;VIVENDA;        63,342.13;910
S-03005;COMERÇ;        43,550.24;10
S-03005;EMMAGATZEMATGE;        12,723.54;100
S-03005;ESPORTIU;       200,375.56;1
S-03005;HOTEL;       105,431.12;2
S-03005;INDUSTRIA;       145,708.24;23
S-03005;OFICINA;        65,412.56;3
S-03005;SOL SENSE EDIFICAR;     1,032,967.18;7
S-03005;VIVENDA;        45,327.33;435
S-03006;COMERÇ;        53,183.20;14
S-03006;EMMAGATZEMATGE;         9,990.91;240
S-03006;INDUSTRIA;        69,774.20;13
S-03006;OFICINA;        39,895.46;2
S-03006;SOL SENSE EDIFICAR;        44,339.12;4
S-03006;VIVENDA;        62,396.70;459
S-03007;COMERÇ;        79,207.67;20
S-03007;EMMAGATZEMATGE;         7,534.20;344
S-03007;ENSENYAMENT;       281,290.63;6
S-03007;ESPORTIU;       381,917.15;1
S-03007;INDUSTRIA;        71,433.31;5
S-03007;OFICINA;        57,284.09;6
S-03007;SOL SENSE EDIFICAR;         3,551.40;1
S-03007;VIVENDA;        62,161.58;418
S-03008;COMERÇ;        56,212.55;33
S-03008;EMMAGATZEMATGE;        10,300.57;83
