CODI_DIVISIO_TERRITORIAL;EDAT;NRE_HOMES;NRE_DONES
S-01001;000-010;37;36
S-01001;011-020;59;53
S-01001;021-030;65;67
S-01001;031-040;100;102
S-01001;041-050;87;94
S-01001;051-060;113;116
S-01001;061-070;105;98
S-01001;071-080;51;64
S-01001;80+;47;83
S-01002;000-010;32;23
S-01002;011-020;53;47
S-01002;021-030;50;53
S-01002;031-040;79;90
S-01002;041-050;95;96
S-01002;051-060;77;86
S-01002;061-070;49;73
S-01002;071-080;47;72
S-01002;80+;59;111
S-01003;000-010;27;21
S-01003;011-020;26;44
S-01003;021-030;51;35
S-01003;031-040;68;68
S-01003;041-050;65;64
S-01003;051-060;71;67
S-01003;061-070;42;62
S-01003;071-080;42;54
S-01003;80+;48;80
S-01004;000-010;22;21
S-01004;011-020;26;41
S-01004;021-030;34;34
S-01004;031-040;55;77
S-01004;041-050;68;58
S-01004;051-060;52;57
S-01004;061-070;60;59
S-01004;071-080;35;37
S-01004;80+;28;49
S-01005;000-010;41;38
S-01005;011-020;62;39
S-01005;021-030;63;49
S-01005;031-040;102;117
S-01005;041-050;93;101
S-01005;051-060;83;112
S-01005;061-070;72;93
S-01005;071-080;72;87
S-01005;80+;78;148
S-01007;000-010;20;31
S-01007;011-020;39;42
S-01007;021-030;53;45
S-01007;031-040;67;77
S-01007;041-050;69;82
S-01007;051-060;70;99
S-01007;061-070;73;92
S-01007;071-080;46;58
S-01007;80+;53;91
S-01008;000-010;16;10
S-01008;011-020;24;28
S-01008;021-030;20;29
S-01008;031-040;42;27
S-01008;041-050;51;45
S-01008;051-060;41;48
S-01008;061-070;29;29
S-01008;071-080;36;42
S-01008;80+;31;65
S-02001;000-010;52;44
S-02001;011-020;48;42
S-02001;021-030;71;58
S-02001;031-040;89;104
S-02001;041-050;101;104
S-02001;051-060;73;85
S-02001;061-070;65;70
S-02001;071-080;61;68
S-02001;80+;62;98
S-02002;000-010;45;38
S-02002;011-020;94;77
S-02002;021-030;105;91
S-02002;031-040;94;104
S-02002;041-050;107;117
S-02002;051-060;158;170
S-02002;061-070;101;106
S-02002;071-080;40;57
S-02002;80+;44;76
S-02003;000-010;32;14
S-02003;011-020;33;35
S-02003;021-030;40;40
S-02003;031-040;65;65
S-02003;041-050;73;78
S-02003;051-060;62;69
S-02003;061-070;50;44
S-02003;071-080;34;45
S-02003;80+;36;58
S-02004;000-010;57;45
S-02004;011-020;104;92
S-02004;021-030;100;83
S-02004;031-040;94;117
S-02004;041-050;130;131
S-02004;051-060;121;155
S-02004;061-070;111;135
S-02004;071-080;77;100
S-02004;80+;82;142
S-02005;000-010;46;45
S-02005;011-020;49;50
S-02005;021-030;60;55
S-02005;031-040;129;109
S-02005;041-050;93;89
S-02005;051-060;81;76
S-02005;061-070;86;83
S-02005;071-080;53;61
S-02005;80+;33;77
S-02007;000-010;46;45
S-02007;011-020;55;62
S-02007;021-030;73;70
S-02007;031-040;161;132
S-02007;041-050;109;87
S-02007;051-060;86;70
S-02007;061-070;73;77
S-02007;071-080;58;81
S-02007;80+;30;68
S-02008;000-010;74;65
S-02008;011-020;86;88
S-02008;021-030;96;77
S-02008;031-040;129;143
S-02008;041-050;155;178
S-02008;051-060;122;162
S-02008;061-070;130;150
S-02008;071-080;98;105
S-02008;80+;87;125
S-02009;000-010;50;33
S-02009;011-020;42;50
S-02009;021-030;59;60
S-02009;031-040;160;100
S-02009;041-050;127;95
S-02009;051-060;54;43
S-02009;061-070;53;55
S-02009;071-080;54;79
S-02009;80+;41;62
S-02010;000-010;49;48
S-02010;011-020;70;80
S-02010;021-030;69;65
S-02010;031-040;166;161
S-02010;041-050;147;101
S-02010;051-060;72;71
S-02010;061-070;78;100
S-02010;071-080;69;68
S-02010;80+;39;72
S-02011;000-010;49;49
S-02011;011-020;78;57
S-02011;021-030;81;80
S-02011;031-040;160;130
S-02011;041-050;113;109
S-02011;051-060;91;99
S-02011;061-070;134;145
S-02011;071-080;70;80
S-02011;80+;36;55
S-02012;000-010;27;46
S-02012;011-020;54;36
S-02012;021-030;66;53
S-02012;031-040;100;97
S-02012;041-050;92;83
S-02012;051-060;62;67
S-02012;061-070;55;49
S-02012;071-080;40;52
S-02012;80+;28;52
S-02013;000-010;52;43
S-02013;011-020;57;58
S-02013;021-030;81;54
S-02013;031-040;130;105
S-02013;041-050;120;99
S-02013;051-060;81;75
S-02013;061-070;79;95
S-02013;071-080;54;56
S-02013;80+;34;60
S-02015;000-010;30;25
S-02015;011-020;47;44
S-02015;021-030;36;42
S-02015;031-040;87;76
S-02015;041-050;79;84
S-02015;051-060;59;50
S-02015;061-070;66;81
S-02015;071-080;67;78
S-02015;80+;30;57
S-03001;000-010;74;50
S-03001;011-020;81;90
S-03001;021-030;133;106
S-03001;031-040;193;198
S-03001;041-050;145;141
S-03001;051-060;157;180
S-03001;061-070;159;143
S-03001;071-080;83;91
S-03001;80+;50;89
S-03003;000-010;81;58
S-03003;011-020;85;83
S-03003;021-030;83;79
S-03003;031-040;149;139
S-03003;041-050;177;180
S-03003;051-060;106;108
S-03003;061-070;98;104
S-03003;071-080;56;79
S-03003;80+;61;95
S-03004;000-010;78;69
S-03004;011-020;97;73
S-03004;021-030;73;77
S-03004;031-040;126;132
S-03004;041-050;170;151
S-03004;051-060;106;142
S-03004;061-070;100;78
S-03004;071-080;38;47
S-03004;80+;40;58
S-03005;000-010;55;42
S-03005;011-020;58;51
S-03005;021-030;67;63
S-03005;031-040;135;139
S-03005;041-050;135;117
S-03005;051-060;96;100
S-03005;061-070;77;80
S-03005;071-080;52;69
S-03005;80+;43;88
S-03006;000-010;37;41
S-03006;011-020;65;53
S-03006;021-030;65;55
S-03006;031-040;75;93
S-03006;041-050;93;111
S-03006;051-060;79;92
S-03006;061-070;71;64
S-03006;071-080;29;38
S-03006;80+;34;67
S-03007;000-010;20;33
S-03007;011-020;48;47
S-03007;021-030;73;50
S-03007;031-040;83;90
S-03007;041-050;83;98
S-03007;051-060;84;102
S-03007;061-070;82;87
S-03007;071-080;40;62
S-03007;80+;35;73
S-03008;000-010;23;25
S-03008;011-020;29;29
S-03008;021-030;24;39
S-03008;031-040;58;59
S-03008;041-050;46;51
S-03008;051-060;46;49
S-03008;061-070;33;43
S-03008;071-080;26;28
S-03008;80+;28;54
S-03009;000-010;21;21
S-03009;011-020;28;32
S-03009;021-030;33;28
S-03009;031-040;52;48
S-03009;041-050;43;54
S-03009;051-060;43;56
S-03009;061-070;28;34
S-03009;071-080;25;27
S-03009;80+;18;44
S-03010;000-010;15;21
S-03010;011-020;39;34
S-03010;021-030;46;38
S-03010;031-040;74;56
S-03010;041-050;72;77
S-03010;051-060;59;46
S-03010;061-070;53;82
S-03010;071-080;79;90
S-03010;80+;40;64
S-03011;000-010;35;31
S-03011;011-020;43;56
S-03011;021-030;47;48
S-03011;031-040;89;74
S-03011;041-050;75;92
S-03011;051-060;88;87
S-03011;061-070;66;70
S-03011;071-080;50;62
S-03011;80+;23;71
S-03012;000-010;32;32
S-03012;011-020;48;51
S-03012;021-030;36;52
S-03012;031-040;75;79
S-03012;041-050;84;98
S-03012;051-060;67;81
S-03012;061-070;64;89
S-03012;071-080;64;75
S-03012;80+;52;80
S-03013;000-010;171;188
S-03013;011-020;137;109
S-03013;021-030;86;81
S-03013;031-040;297;296
S-03013;041-050;352;324
S-03013;051-060;152;129
S-03013;061-070;77;99
S-03013;071-080;47;46
S-03013;80+;26;44
S-04001;000-010;138;113
S-04001;011-020;147;144
S-04001;021-030;101;93
S-04001;031-040;159;199
S-04001;041-050;291;237
S-04001;051-060;115;122
S-04001;061-070;80;73
S-04001;071-080;28;40
S-04001;80+;17;22
S-04002;000-010;57;52
S-04002;011-020;75;65
S-04002;021-030;69;70
S-04002;031-040;116;128
S-04002;041-050;149;152
S-04002;051-060;105;92
S-04002;061-070;72;89
S-04002;071-080;65;78
S-04002;80+;49;61
S-04003;000-010;46;33
S-04003;011-020;55;55
S-04003;021-030;54;56
S-04003;031-040;129;124
S-04003;041-050;111;104
S-04003;051-060;60;72
S-04003;061-070;65;82
S-04003;071-080;52;62
S-04003;80+;37;71
S-04004;000-010;80;74
S-04004;011-020;124;106
S-04004;021-030;139;128
S-04004;031-040;151;137
S-04004;041-050;177;191
S-04004;051-060;164;190
S-04004;061-070;142;145
S-04004;071-080;65;71
S-04004;80+;61;116
