CODI_DIVISIO_TERRITORIAL;EDAT;NRE_HOMES;NRE_DONES
S-01001;000-010;47;59
S-01001;011-020;62;55
S-01001;021-030;68;69
S-01001;031-040;99;99
S-01001;041-050;86;98
S-01001;051-060;113;119
S-01001;061-070;104;101
S-01001;071-080;49;60
S-01001;80+;38;68
S-01002;000-010;44;46
S-01002;011-020;52;46
S-01002;021-030;54;60
S-01002;031-040;91;113
S-01002;041-050;97;98
S-01002;051-060;73;78
S-01002;061-070;46;71
S-01002;071-080;44;69
S-01002;80+;52;106
S-01003;000-010;33;30
S-01003;011-020;33;39
S-01003;021-030;51;39
S-01003;031-040;59;58
S-01003;041-050;60;70
S-01003;051-060;68;65
S-01003;061-070;43;62
S-01003;071-080;44;54
S-01003;80+;39;64
S-01004;000-010;32;22
S-01004;011-020;29;41
S-01004;021-030;36;35
S-01004;031-040;50;69
S-01004;041-050;69;52
S-01004;051-060;49;56
S-01004;061-070;60;60
S-01004;071-080;35;37
S-01004;80+;22;41
S-01005;000-010;50;46
S-01005;011-020;63;41
S-01005;021-030;65;51
S-01005;031-040;95;97
S-01005;041-050;93;100
S-01005;051-060;81;103
S-01005;061-070;74;93
S-01005;071-080;66;88
S-01005;80+;69;132
S-01007;000-010;25;30
S-01007;011-020;45;43
S-01007;021-030;56;52
S-01007;031-040;70;81
S-01007;041-050;76;85
S-01007;051-060;79;103
S-01007;061-070;77;95
S-01007;071-080;46;55
S-01007;80+;46;86
S-01008;000-010;26;12
S-01008;011-020;26;28
S-01008;021-030;23;33
S-01008;031-040;52;31
S-01008;041-050;50;51
S-01008;051-060;41;50
S-01008;061-070;28;30
S-01008;071-080;36;42
S-01008;80+;23;50
S-02001;000-010;65;55
S-02001;011-020;48;41
S-02001;021-030;67;55
S-02001;031-040;104;115
S-02001;041-050;104;98
S-02001;051-060;69;84
S-02001;061-070;64;68
S-02001;071-080;61;69
S-02001;80+;55;81
S-02002;000-010;51;49
S-02002;011-020;90;79
S-02002;021-030;102;93
S-02002;031-040;102;105
S-02002;041-050;112;117
S-02002;051-060;150;167
S-02002;061-070;98;106
S-02002;071-080;39;55
S-02002;80+;35;66
S-02003;000-010;40;27
S-02003;011-020;32;33
S-02003;021-030;42;39
S-02003;031-040;69;80
S-02003;041-050;64;74
S-02003;051-060;60;70
S-02003;061-070;52;48
S-02003;071-080;32;46
S-02003;80+;31;55
S-02004;000-010;84;54
S-02004;011-020;108;92
S-02004;021-030;108;88
