CODI_DIVISIO_TERRITORIAL;EDAT;NRE_HOMES;NRE_DONES
S-01001;000-010;40;51
S-01001;011-020;59;51
S-01001;021-030;65;70
S-01001;031-040;104;110
S-01001;041-050;89;95
S-01001;051-060;112;116
S-01001;061-070;103;100
S-01001;071-080;48;61
S-01001;80+;42;76
S-01002;000-010;36;32
S-01002;011-020;55;48
S-01002;021-030;53;55
S-01002;031-040;86;103
S-01002;041-050;98;99
S-01002;051-060;77;82
S-01002;061-070;47;73
S-01002;071-080;47;72
S-01002;80+;56;108
S-01003;000-010;33;24
S-01003;011-020;27;39
S-01003;021-030;50;39
S-01003;031-040;70;64
S-01003;041-050;60;63
S-01003;051-060;64;67
S-01003;061-070;43;63
S-01003;071-080;42;54
S-01003;80+;45;68
S-01004;000-010;25;22
S-01004;011-020;26;40
S-01004;021-030;35;32
S-01004;031-040;56;76
S-01004;041-050;70;55
S-01004;051-060;51;54
S-01004;061-070;63;60
S-01004;071-080;36;38
S-01004;80+;25;45
S-01005;000-010;46;43
S-01005;011-020;61;41
S-01005;021-030;62;53
S-01005;031-040;92;102
S-01005;041-050;92;99
S-01005;051-060;85;108
S-01005;061-070;72;93
S-01005;071-080;69;88
S-01005;80+;75;142
S-01007;000-010;19;30
S-01007;011-020;41;44
S-01007;021-030;54;47
S-01007;031-040;70;80
S-01007;041-050;73;83
S-01007;051-060;75;103
S-01007;061-070;76;93
S-01007;071-080;46;57
S-01007;80+;53;88
S-01008;000-010;21;12
S-01008;011-020;26;29
S-01008;021-030;23;33
S-01008;031-040;47;29
S-01008;041-050;51;51
S-01008;051-060;39;47
S-01008;061-070;29;30
S-01008;071-080;36;42
S-01008;80+;26;55
S-02001;000-010;55;45
S-02001;011-020;50;43
S-02001;021-030;74;59
S-02001;031-040;84;101
S-02001;041-050;98;102
S-02001;051-060;72;87
S-02001;061-070;66;71
S-02001;071-080;62;70
S-02001;80+;59;90
S-02002;000-010;47;44
S-02002;011-020;91;81
S-02002;021-030;101;94
S-02002;031-040;97;104
S-02002;041-050;112;119
S-02002;051-060;156;167
S-02002;061-070;99;108
S-02002;071-080;40;58
S-02002;80+;39;71
S-02003;000-010;34;21
S-02003;011-020;32;33
S-02003;021-030;41;39
S-02003;031-040;66;72
S-02003;041-050;64;76
S-02003;051-060;59;69
S-02003;061-070;52;47
S-02003;071-080;32;46
S-02003;80+;34;58
S-02004;000-010;69;54
S-02004;011-020;110;93
S-02004;021-030;107;92
S-02004;031-040;101;123
S-02004;041-050;134;134
S-02004;051-060;116;159
S-02004;061-070;111;136
S-02004;071-080;79;98
S-02004;80+;74;132
S-02005;000-010;51;54
S-02005;011-020;54;46
S-02005;021-030;63;55
S-02005;031-040;130;116
S-02005;041-050;90;84
S-02005;051-060;76;75
S-02005;061-070;87;86
S-02005;071-080;51;62
S-02005;80+;31;68
S-02007;000-010;56;53
S-02007;011-020;54;61
S-02007;021-030;83;69
S-02007;031-040;157;138
S-02007;041-050;116;86
S-02007;051-060;85;76
S-02007;061-070;73;79
S-02007;071-080;56;80
S-02007;80+;29;64
S-02008;000-010;79;72
S-02008;011-020;85;88
S-02008;021-030;96;76
S-02008;031-040;122;152
S-02008;041-050;153;179
S-02008;051-060;123;163
S-02008;061-070;125;147
S-02008;071-080;98;103
S-02008;80+;80;112
S-02009;000-010;60;50
S-02009;011-020;46;58
S-02009;021-030;76;67
S-02009;031-040;141;109
S-02009;041-050;132;104
S-02009;051-060;54;47
S-02009;061-070;50;57
S-02009;071-080;51;77
S-02009;80+;39;57
S-02010;000-010;56;51
S-02010;011-020;73;77
S-02010;021-030;71;60
S-02010;031-040;162;160
S-02010;041-050;143;99
S-02010;051-060;69;70
S-02010;061-070;78;100
S-02010;071-080;67;66
S-02010;80+;37;71
S-02011;000-010;60;51
S-02011;011-020;77;56
S-02011;021-030;79;89
S-02011;031-040;155;127
S-02011;041-050;114;106
S-02011;051-060;89;101
S-02011;061-070;132;144
S-02011;071-080;69;77
S-02011;80+;33;49
S-02012;000-010;36;49
S-02012;011-020;55;35
S-02012;021-030;61;48
S-02012;031-040;99;102
S-02012;041-050;96;80
S-02012;051-060;59;64
S-02012;061-070;55;50
S-02012;071-080;41;51
S-02012;80+;22;51
S-02013;000-010;59;50
S-02013;011-020;51;52
S-02013;021-030;80;69
S-02013;031-040;122;92
S-02013;041-050;115;94
S-02013;051-060;78;72
S-02013;061-070;77;94
S-02013;071-080;52;54
S-02013;80+;28;54
S-02015;000-010;31;28
S-02015;011-020;52;47
S-02015;021-030;37;45
S-02015;031-040;80;82
S-02015;041-050;81;88
S-02015;051-060;60;50
S-02015;061-070;67;79
S-02015;071-080;64;78
S-02015;80+;28;52
S-03001;000-010;85;53
S-03001;011-020;77;91
S-03001;021-030;148;117
S-03001;031-040;192;181
S-03001;041-050;158;149
S-03001;051-060;156;181
S-03001;061-070;159;140
S-03001;071-080;80;90
S-03001;80+;50;86
S-03003;000-010;93;74
S-03003;011-020;81;79
S-03003;021-030;93;83
S-03003;031-040;170;149
S-03003;041-050;157;174
S-03003;051-060;105;98
S-03003;061-070;93;103
S-03003;071-080;53;84
S-03003;80+;56;85
S-03004;000-010;94;79
S-03004;011-020;94;71
S-03004;021-030;75;76
S-03004;031-040;128;143
S-03004;041-050;169;149
S-03004;051-060;106;140
S-03004;061-070;99;80
S-03004;071-080;37;45
S-03004;80+;37;56
S-03005;000-010;62;50
S-03005;011-020;60;51
S-03005;021-030;63;59
S-03005;031-040;137;145
S-03005;041-050;140;121
S-03005;051-060;92;95
S-03005;061-070;72;78
S-03005;071-080;51;70
S-03005;80+;38;78
S-03006;000-010;39;50
S-03006;011-020;66;54
S-03006;021-030;61;56
S-03006;031-040;76;89
S-03006;041-050;97;117
S-03006;051-060;79;91
S-03006;061-070;71;64
S-03006;071-080;29;38
S-03006;80+;31;61
S-03007;000-010;29;44
S-03007;011-020;51;52
S-03007;021-030;71;58
S-03007;031-040;87;90
S-03007;041-050;84;95
S-03007;051-060;90;107
S-03007;061-070;78;83
S-03007;071-080;39;58
S-03007;80+;32;72
S-03008;000-010;34;26
S-03008;011-020;29;29
S-03008;021-030;24;38
S-03008;031-040;55;59
S-03008;041-050;48;53
S-03008;051-060;44;50
S-03008;061-070;35;43
S-03008;071-080;26;28
S-03008;80+;26;47
S-03009;000-010;23;22
S-03009;011-020;27;33
S-03009;021-030;33;29
S-03009;031-040;54;49
S-03009;041-050;46;56
S-03009;051-060;45;57
S-03009;061-070;26;34
