CODI_DIVISIO_TERRITORIAL;EDAT;NRE_HOMES;NRE_DONES
S-01001;000-010;67;72
S-01001;011-020;63;64
S-01001;021-030;72;59
S-01001;031-040;92;82
S-01001;041-050;121;120
S-01001;051-060;88;110
S-01001;061-070;104;117
S-01001;071-080;74;81
S-01001;80+;29;60
S-01002;000-010;39;44
S-01002;011-020;68;61
S-01002;021-030;52;70
S-01002;031-040;71;70
S-01002;041-050;88;114
S-01002;051-060;84;104
S-01002;061-070;64;67
S-01002;071-080;41;71
S-01002;80+;49;100
S-01003;000-010;41;32
S-01003;011-020;33;46
S-01003;021-030;51;46
S-01003;031-040;66;65
S-01003;041-050;82;85
S-01003;051-060;67;75
S-01003;061-070;48;58
S-01003;071-080;38;62
S-01003;80+;48;55
S-01004;000-010;66;52
S-01004;011-020;67;64
S-01004;021-030;60;72
S-01004;031-040;66;76
S-01004;041-050;134;124
S-01004;051-060;109;107
S-01004;061-070;72;90
S-01004;071-080;72;79
S-01004;80+;46;76
S-01005;000-010;66;62
S-01005;011-020;78;70
S-01005;021-030;59;60
S-01005;031-040;93;95
S-01005;041-050;121;130
S-01005;051-060;90;107
S-01005;061-070;66;97
S-01005;071-080;62;86
S-01005;80+;65;109
S-01007;000-010;53;42
S-01007;011-020;34;71
S-01007;021-030;62;52
S-01007;031-040;66;72
S-01007;041-050;95;96
S-01007;051-060;77;81
S-01007;061-070;96;117
S-01007;071-080;57;65
S-01007;80+;37;76
S-02001;000-010;63;64
S-02001;011-020;78;71
S-02001;021-030;51;54
S-02001;031-040;91;95
S-02001;041-050;116;126
S-02001;051-060;73;86
S-02001;061-070;70;84
S-02001;071-080;56;70
S-02001;80+;53;71
S-02002;000-010;50;65
S-02002;011-020;70;67
S-02002;021-030;107;91
S-02002;031-040;110;108
S-02002;041-050;121;113
S-02002;051-060;126;153
S-02002;061-070;155;153
S-02002;071-080;63;82
S-02002;80+;31;65
S-02003;000-010;34;37
S-02003;011-020;43;48
S-02003;021-030;36;48
S-02003;031-040;50;63
S-02003;041-050;91;98
S-02003;051-060;67;62
S-02003;061-070;51;57
S-02003;071-080;39;49
S-02003;80+;21;54
S-02004;000-010;97;68
S-02004;011-020;114;97
S-02004;021-030;125;100
S-02004;031-040;111;100
S-02004;041-050;133;156
S-02004;051-060;145;170
S-02004;061-070;120;132
S-02004;071-080;96;143
S-02004;80+;62;115
S-02005;000-010;51;51
S-02005;011-020;76;67
S-02005;021-030;62;45
S-02005;031-040;91;89
S-02005;041-050;124;104
S-02005;051-060;79;72
S-02005;061-070;61;89
S-02005;071-080;66;71
S-02005;80+;29;55
S-02007;000-010;49;52
S-02007;011-020;53;54
S-02007;021-030;76;65
S-02007;031-040;107;84
S-02007;041-050;132;115
S-02007;051-060;85;81
S-02007;061-070;58;64
S-02007;071-080;56;75
S-02007;80+;37;62
S-02008;000-010;93;105
S-02008;011-020;101;88
S-02008;021-030;101;104
S-02008;031-040;140;144
S-02008;041-050;175;192
S-02008;051-060;143;167
S-02008;061-070;136;175
S-02008;071-080;100;134
S-02008;80+;80;106
S-02009;000-010;60;54
S-02009;011-020;66;54
S-02009;021-030;85;72
S-02009;031-040;96;90
S-02009;041-050;122;99
S-02009;051-060;85;74
S-02009;061-070;36;44
S-02009;071-080;32;64
S-02009;80+;36;58
S-02010;000-010;77;76
S-02010;011-020;86;80
S-02010;021-030;80;95
S-02010;031-040;107;102
S-02010;041-050;144;147
S-02010;051-060;103;94
S-02010;061-070;51;59
S-02010;071-080;62;78
S-02010;80+;50;58
S-02011;000-010;53;35
S-02011;011-020;85;64
S-02011;021-030;66;70
S-02011;031-040;104;77
S-02011;041-050;128;123
S-02011;051-060;83;98
S-02011;061-070;79;112
S-02011;071-080;99;122
S-02011;80+;41;65
S-02012;000-010;46;43
S-02012;011-020;56;64
S-02012;021-030;51;55
S-02012;031-040;80;83
S-02012;041-050;106;100
S-02012;051-060;68;70
S-02012;061-070;50;62
S-02012;071-080;38;45
S-02012;80+;25;42
S-02013;000-010;58;44
S-02013;011-020;59;61
S-02013;021-030;68;62
S-02013;031-040;88;77
S-02013;041-050;111;83
S-02013;051-060;96;78
S-02013;061-070;75;75
S-02013;071-080;67;87
S-02013;80+;28;45
S-02015;000-010;44;48
S-02015;011-020;52;48
S-02015;021-030;58;59
S-02015;031-040;87;57
S-02015;041-050;94;75
S-02015;051-060;62;66
S-02015;061-070;46;55
S-02015;071-080;64;76
S-02015;80+;37;59
S-03001;000-010;150;142
S-03001;011-020;141;103
S-03001;021-030;129;142
S-03001;031-040;263;252
S-03001;041-050;231;217
S-03001;051-060;186;194
S-03001;061-070;172;203
S-03001;071-080;101;110
S-03001;80+;44;84
S-03003;000-010;94;92
S-03003;011-020;101;90
S-03003;021-030;85;95
S-03003;031-040;131;121
S-03003;041-050;179;181
S-03003;051-060;145;133
S-03003;061-070;80;107
S-03003;071-080;74;75
S-03003;80+;48;79
S-03004;000-010;93;75
S-03004;011-020;117;104
S-03004;021-030;84;76
S-03004;031-040;96;105
S-03004;041-050;174;182
S-03004;051-060;120;137
S-03004;061-070;92;107
S-03004;071-080;61;70
S-03004;80+;26;51
S-03005;000-010;80;62
S-03005;011-020;94;67
S-03005;021-030;54;52
S-03005;031-040;107;112
S-03005;041-050;164;148
S-03005;051-060;107;103
S-03005;061-070;85;92
S-03005;071-080;55;60
S-03005;80+;39;61
S-03006;000-010;59;58
S-03006;011-020;73;66
S-03006;021-030;61;59
S-03006;031-040;87;95
S-03006;041-050;98;98
S-03006;051-060;87;108
S-03006;061-070;70;82
S-03006;071-080;48;48
S-03006;80+;26;48
S-03007;000-010;47;48
S-03007;011-020;55;73
S-03007;021-030;47;51
S-03007;031-040;79;81
S-03007;041-050;99;111
S-03007;051-060;84;97
S-03007;061-070;82;88
S-03007;071-080;54;73
S-03007;80+;33;65
S-03008;000-010;28;26
S-03008;011-020;45;44
S-03008;021-030;29;34
S-03008;031-040;35;48
S-03008;041-050;64;72
S-03008;051-060;47;55
S-03008;061-070;47;46
S-03008;071-080;29;36
S-03008;80+;23;31
S-03009;000-010;63;67
S-03009;011-020;84;74
S-03009;021-030;92;85
S-03009;031-040;89;103
S-03009;041-050;140;152
S-03009;051-060;132;141
S-03009;061-070;96;128
S-03009;071-080;83;111
S-03009;80+;64;104
S-03010;000-010;29;24
S-03010;011-020;39;35
S-03010;021-030;49;46
S-03010;031-040;50;36
S-03010;041-050;78;75
S-03010;051-060;72;77
S-03010;061-070;41;34
S-03010;071-080;59;94
S-03010;80+;42;64
S-03011;000-010;54;36
S-03011;011-020;70;57
S-03011;021-030;48;67
S-03011;031-040;92;84
S-03011;041-050;116;115
S-03011;051-060;91;95
S-03011;061-070;73;78
S-03011;071-080;59;63
S-03011;80+;31;38
S-03013;000-010;144;140
S-03013;011-020;144;118
S-03013;021-030;49;39
S-03013;031-040;109;110
S-03013;041-050;241;244
S-03013;051-060;119;110
S-03013;061-070;53;57
S-03013;071-080;39;37
S-03013;80+;2;12
S-03014;000-010;122;106
S-03014;011-020;90;79
S-03014;021-030;42;37
S-03014;031-040;85;104
S-03014;041-050;182;179
S-03014;051-060;103;95
S-03014;061-070;57;57
S-03014;071-080;27;41
S-03014;80+;18;34
S-04001;000-010;105;79
S-04001;011-020;210;200
S-04001;021-030;96;81
S-04001;031-040;89;95
S-04001;041-050;256;280
S-04001;051-060;166;153
S-04001;061-070;86;98
S-04001;071-080;47;51
S-04001;80+;20;38
S-04002;000-010;64;60
S-04002;011-020;96;92
S-04002;021-030;64;63
S-04002;031-040;89;105
S-04002;041-050;152;167
S-04002;051-060;129;133
S-04002;061-070;88;84
S-04002;071-080;47;78
S-04002;80+;48;65
S-04003;000-010;97;78
S-04003;011-020;79;67
S-04003;021-030;66;64
S-04003;031-040;96;118
S-04003;041-050;166;160
S-04003;051-060;94;93
S-04003;061-070;70;96
S-04003;071-080;54;73
S-04003;80+;35;57
S-04004;000-010;77;73
S-04004;011-020;132;110
S-04004;021-030;142;114
S-04004;031-040;128;132
S-04004;041-050;181;181
S-04004;051-060;167;194
S-04004;061-070;145;178
S-04004;071-080;105;108
S-04004;80+;75;137
S-04005;000-010;80;86
S-04005;011-020;117;135
S-04005;021-030;97;83
S-04005;031-040;113;115
S-04005;041-050;207;189
S-04005;051-060;152;167
S-04005;061-070;89;87
S-04005;071-080;56;62
S-04005;80+;31;70
S-04006;000-010;148;137
S-04006;011-020;156;185
S-04006;021-030;122;110
S-04006;031-040;144;167
S-04006;041-050;289;272
S-04006;051-060;196;182
S-04006;061-070;123;132
S-04006;071-080;58;69
S-04006;80+;38;71
S-04007;000-010;42;34
S-04007;011-020;70;68
S-04007;021-030;68;68
S-04007;031-040;57;67
S-04007;041-050;109;99
S-04007;051-060;116;113
S-04007;061-070;108;124
S-04007;071-080;73;77
S-04007;80+;27;49
S-04008;000-010;45;34
S-04008;011-020;72;49
S-04008;021-030;85;60
S-04008;031-040;76;93
S-04008;041-050;104;103
S-04008;051-060;102;114
S-04008;061-070;85;109
S-04008;071-080;70;69
S-04008;80+;29;68
S-04009;000-010;29;32
S-04009;011-020;61;58
S-04009;021-030;52;50
S-04009;031-040;57;55
S-04009;041-050;63;74
S-04009;051-060;76;76
S-04009;061-070;52;57
S-04009;071-080;33;40
S-04009;80+;29;37
S-04010;000-010;75;63
S-04010;011-020;70;51
S-04010;021-030;78;70
S-04010;031-040;82;93
S-04010;041-050;126;101
S-04010;051-060;92;91
S-04010;061-070;56;71
S-04010;071-080;45;43
S-04010;80+;18;42
S-04011;000-010;74;72
S-04011;011-020;66;79
S-04011;021-030;84;61
S-04011;031-040;108;112
S-04011;041-050;132;138
S-04011;051-060;96;107
S-04011;061-070;85;88
S-04011;071-080;37;70
S-04011;80+;30;52
S-04012;000-010;52;62
S-04012;011-020;100;92
S-04012;021-030;54;60
S-04012;031-040;92;73
S-04012;041-050;132;140
S-04012;051-060;99;94
S-04012;061-070;72;82
S-04012;071-080;54;68
S-04012;80+;33;79
S-04013;000-010;34;34
S-04013;011-020;68;64
S-04013;021-030;71;62
S-04013;031-040;48;60
S-04013;041-050;75;88
S-04013;051-060;108;117
S-04013;061-070;67;84
S-04013;071-080;55;45
S-04013;80+;16;34
S-04014;000-010;66;61
S-04014;011-020;214;173
S-04014;021-030;144;156
S-04014;031-040;90;82
S-04014;041-050;163;199
S-04014;051-060;269;283
S-04014;061-070;174;159
S-04014;071-080;65;66
S-04014;80+;23;33
S-04015;000-010;55;47
S-04015;011-020;106;108
S-04015;021-030;81;83
S-04015;031-040;62;71
S-04015;041-050;108;136
S-04015;051-060;131;141
S-04015;061-070;76;89
S-04015;071-080;40;31
S-04015;80+;2;15
S-04016;000-010;79;90
S-04016;011-020;189;162
S-04016;021-030;90;83
S-04016;031-040;81;82
S-04016;041-050;220;255
S-04016;051-060;186;187
S-04016;061-070;96;97
S-04016;071-080;50;50
S-04016;80+;23;35
S-05001;000-010;99;86
S-05001;011-020;125;128
S-05001;021-030;105;90
S-05001;031-040;106;107
S-05001;041-050;201;212
S-05001;051-060;168;168
S-05001;061-070;114;133
S-05001;071-080;79;114
S-05001;80+;78;154
S-05002;000-010;40;31
S-05002;011-020;48;50
S-05002;021-030;22;38
S-05002;031-040;25;29
S-05002;041-050;69;74
S-05002;051-060;52;61
S-05002;061-070;30;50
S-05002;071-080;59;90
S-05002;80+;28;39
S-05003;000-010;145;151
S-05003;011-020;176;163
S-05003;021-030;118;149
S-05003;031-040;224;212
S-05003;041-050;243;251
S-05003;051-060;206;212
S-05003;061-070;189;199
S-05003;071-080;97;118
S-05003;80+;57;101
S-05004;000-010;121;93
S-05004;011-020;84;70
S-05004;021-030;62;52
S-05004;031-040;148;149
S-05004;041-050;183;198
S-05004;051-060;106;98
S-05004;061-070;84;93
S-05004;071-080;66;75
S-05004;80+;28;52
S-05005;000-010;79;71
S-05005;011-020;127;91
S-05005;021-030;89;78
S-05005;031-040;99;113
S-05005;041-050;159;171
S-05005;051-060;160;154
S-05005;061-070;79;106
S-05005;071-080;104;130
S-05005;80+;69;90
S-05006;000-010;47;40
S-05006;011-020;64;60
S-05006;021-030;61;57
S-05006;031-040;55;66
S-05006;041-050;100;97
S-05006;051-060;95;108
S-05006;061-070;74;82
S-05006;071-080;45;64
S-05006;80+;31;71
S-05007;000-010;41;43
S-05007;011-020;64;65
S-05007;021-030;47;48
S-05007;031-040;56;53
S-05007;041-050;90;94
S-05007;051-060;77;89
S-05007;061-070;57;77
S-05007;071-080;40;39
S-05007;80+;25;39
S-06001;000-010;53;51
S-06001;011-020;72;100
S-06001;021-030;74;56
S-06001;031-040;80;76
S-06001;041-050;121;119
S-06001;051-060;125;106
S-06001;061-070;86;93
S-06001;071-080;44;40
S-06001;80+;25;41
S-06002;000-010;64;60
S-06002;011-020;86;77
S-06002;021-030;106;81
S-06002;031-040;91;90
S-06002;041-050;114;107
S-06002;051-060;141;159
S-06002;061-070;137;124
S-06002;071-080;85;86
S-06002;80+;46;43
S-06003;000-010;38;43
S-06003;011-020;58;56
S-06003;021-030;59;53
S-06003;031-040;76;67
S-06003;041-050;79;84
S-06003;051-060;86;77
S-06003;061-070;57;56
S-06003;071-080;42;74
S-06003;80+;38;68
S-06004;000-010;54;62
S-06004;011-020;60;59
S-06004;021-030;51;60
S-06004;031-040;72;78
S-06004;041-050;98;91
S-06004;051-060;77;89
S-06004;061-070;65;57
S-06004;071-080;42;67
S-06004;80+;41;81
S-06005;000-010;67;62
S-06005;011-020;68;51
S-06005;021-030;62;68
S-06005;031-040;85;81
S-06005;041-050;101;92
S-06005;051-060;109;108
S-06005;061-070;72;65
S-06005;071-080;49;82
S-06005;80+;46;85
S-06006;000-010;40;38
S-06006;011-020;44;43
S-06006;021-030;60;45
S-06006;031-040;55;68
S-06006;041-050;71;65
S-06006;051-060;79;88
S-06006;061-070;71;66
S-06006;071-080;40;41
S-06006;80+;28;57
S-07001;000-010;82;70
S-07001;011-020;90;110
S-07001;021-030;133;126
S-07001;031-040;147;131
S-07001;041-050;169;163
S-07001;051-060;128;159
S-07001;061-070;97;119
S-07001;071-080;76;87
S-07001;80+;29;55
S-07002;000-010;88;88
S-07002;011-020;122;108
S-07002;021-030;117;124
S-07002;031-040;152;151
S-07002;041-050;167;160
S-07002;051-060;183;204
S-07002;061-070;174;214
S-07002;071-080;79;98
S-07002;80+;44;63
S-07003;000-010;46;68
S-07003;011-020;74;58
S-07003;021-030;87;66
S-07003;031-040;123;119
S-07003;041-050;141;130
S-07003;051-060;102;140
S-07003;061-070;80;96
S-07003;071-080;34;67
S-07003;80+;52;99
S-07004;000-010;56;54
S-07004;011-020;49;48
S-07004;021-030;49;53
S-07004;031-040;85;81
S-07004;041-050;100;108
S-07004;051-060;77;94
S-07004;061-070;53;62
S-07004;071-080;46;53
S-07004;80+;28;48
S-07005;000-010;33;23
S-07005;011-020;53;57
S-07005;021-030;44;44
S-07005;031-040;57;61
S-07005;041-050;93;93
S-07005;051-060;58;60
S-07005;061-070;39;37
S-07005;071-080;35;36
S-07005;80+;20;41
S-07006;000-010;45;49
S-07006;011-020;70;42
S-07006;021-030;62;50
S-07006;031-040;59;74
S-07006;041-050;109;108
S-07006;051-060;56;65
S-07006;061-070;58;87
S-07006;071-080;53;57
S-07006;80+;24;36
S-07007;000-010;82;49
S-07007;011-020;78;64
S-07007;021-030;106;77
S-07007;031-040;103;89
S-07007;041-050;127;96
S-07007;051-060;92;94
S-07007;061-070;42;46
S-07007;071-080;39;41
S-07007;80+;17;27
S-07008;000-010;105;87
S-07008;011-020;117;79
S-07008;021-030;127;125
S-07008;031-040;124;133
S-07008;041-050;167;139
S-07008;051-060;111;100
S-07008;061-070;61;61
S-07008;071-080;43;47
S-07008;80+;20;33
S-07009;000-010;70;77
S-07009;011-020;105;100
S-07009;021-030;87;73
S-07009;031-040;100;119
S-07009;041-050;167;138
S-07009;051-060;120;100
S-07009;061-070;103;126
S-07009;071-080;65;77
S-07009;80+;26;54
S-07010;000-010;54;50
S-07010;011-020;57;38
S-07010;021-030;50;60
S-07010;031-040;85;65
S-07010;041-050;88;77
S-07010;051-060;54;61
S-07010;061-070;42;53
S-07010;071-080;32;39
S-07010;80+;23;40
S-07011;000-010;91;93
S-07011;011-020;115;104
S-07011;021-030;101;101
S-07011;031-040;167;188
S-07011;041-050;182;171
S-07011;051-060;122;130
S-07011;061-070;120;128
