CODI_DIVISIO_TERRITORIAL;EDAT;NRE_HOMES;NRE_DONES
S-01001;000-010;61;76
S-01001;011-020;57;49
S-01001;021-030;65;71
S-01001;031-040;104;105
S-01001;041-050;86;101
S-01001;051-060;109;123
S-01001;061-070;98;102
S-01001;071-080;42;58
S-01001;80+;27;61
S-01002;000-010;58;58
S-01002;011-020;54;48
S-01002;021-030;54;58
S-01002;031-040;85;109
S-01002;041-050;92;102
S-01002;051-060;77;79
S-01002;061-070;46;67
S-01002;071-080;41;64
S-01002;80+;44;94
S-01003;000-010;38;39
S-01003;011-020;31;37
S-01003;021-030;46;37
S-01003;031-040;58;64
S-01003;041-050;69;66
S-01003;051-060;65;69
S-01003;061-070;42;65
S-01003;071-080;45;54
S-01003;80+;35;49
S-01004;000-010;44;30
S-01004;011-020;34;42
S-01004;021-030;36;37
S-01004;031-040;50;65
S-01004;041-050;80;56
S-01004;051-060;51;55
S-01004;061-070;54;61
S-01004;071-080;33;36
S-01004;80+;19;33
S-01005;000-010;61;55
S-01005;011-020;60;40
S-01005;021-030;64;56
S-01005;031-040;92;100
S-01005;041-050;88;99
S-01005;051-060;84;104
S-01005;061-070;71;94
S-01005;071-080;63;86
S-01005;80+;59;112
S-01007;000-010;33;45
S-01007;011-020;41;45
S-01007;021-030;58;57
S-01007;031-040;69;86
S-01007;041-050;79;82
S-01007;051-060;75;103
S-01007;061-070;72;91
S-01007;071-080;45;57
S-01007;80+;38;74
S-01008;000-010;31;21
S-01008;011-020;29;30
S-01008;021-030;22;26
S-01008;031-040;45;29
S-01008;041-050;52;54
S-01008;051-060;36;49
S-01008;061-070;28;28
S-01008;071-080;35;41
S-01008;80+;18;35
S-02001;000-010;67;72
S-02001;011-020;50;40
S-02001;021-030;62;65
S-02001;031-040;100;101
S-02001;041-050;97;110
S-02001;051-060;69;92
S-02001;061-070;65;68
S-02001;071-080;58;72
S-02001;80+;42;69
S-02002;000-010;63;60
S-02002;011-020;82;80
S-02002;021-030;100;86
S-02002;031-040;98;104
S-02002;041-050;104;125
S-02002;051-060;148;166
S-02002;061-070;100;105
S-02002;071-080;39;57
S-02002;80+;25;55
S-02003;000-010;46;26
S-02003;011-020;35;34
S-02003;021-030;41;42
S-02003;031-040;59;74
S-02003;041-050;67;65
S-02003;051-060;59;71
S-02003;061-070;49;43
S-02003;071-080;32;46
S-02003;80+;21;42
S-02004;000-010;96;74
S-02004;011-020;113;95
S-02004;021-030;108;85
S-02004;031-040;105;123
S-02004;041-050;133;144
S-02004;051-060;115;157
S-02004;061-070;106;136
S-02004;071-080;77;98
S-02004;80+;58;110
S-02005;000-010;67;64
S-02005;011-020;52;46
S-02005;021-030;60;52
S-02005;031-040;133;112
S-02005;041-050;88;73
S-02005;051-060;64;74
S-02005;061-070;78;86
S-02005;071-080;46;54
S-02005;80+;26;53
S-02007;000-010;60;56
S-02007;011-020;52;44
S-02007;021-030;82;56
S-02007;031-040;126;121
S-02007;041-050;97;83
S-02007;051-060;72;65
S-02007;061-070;60;75
S-02007;071-080;55;75
S-02007;80+;23;50
S-02008;000-010;115;97
S-02008;011-020;84;86
S-02008;021-030;93;76
S-02008;031-040;128;155
S-02008;041-050;165;171
S-02008;051-060;124;160
S-02008;061-070;124;149
S-02008;071-080;94;101
S-02008;80+;61;86
S-02009;000-010;81;70
S-02009;011-020;51;60
S-02009;021-030;75;72
S-02009;031-040;111;90
S-02009;041-050;118;97
S-02009;051-060;50;51
S-02009;061-070;48;58
S-02009;071-080;52;75
S-02009;80+;32;47
S-02010;000-010;80;67
S-02010;011-020;66;75
S-02010;021-030;78;67
S-02010;031-040;141;144
S-02010;041-050;128;101
S-02010;051-060;66;74
S-02010;061-070;73;95
S-02010;071-080;62;64
S-02010;80+;24;56
S-02011;000-010;70;56
S-02011;011-020;73;55
S-02011;021-030;75;75
S-02011;031-040;143;105
S-02011;041-050;107;113
S-02011;051-060;80;103
S-02011;061-070;128;142
S-02011;071-080;66;79
S-02011;80+;29;45
S-02012;000-010;53;68
S-02012;011-020;46;32
S-02012;021-030;63;59
S-02012;031-040;95;104
S-02012;041-050;85;69
S-02012;051-060;60;65
S-02012;061-070;53;49
S-02012;071-080;37;47
S-02012;80+;18;42
S-02013;000-010;66;61
S-02013;011-020;48;52
S-02013;021-030;73;68
S-02013;031-040;104;87
S-02013;041-050;106;85
S-02013;051-060;74;70
S-02013;061-070;77;93
S-02013;071-080;48;52
S-02013;80+;18;37
S-02015;000-010;38;37
S-02015;011-020;52;48
S-02015;021-030;47;43
S-02015;031-040;78;61
S-02015;041-050;77;88
S-02015;051-060;50;50
S-02015;061-070;70;76
S-02015;071-080;58;76
S-02015;80+;20;36
S-03001;000-010;115;89
S-03001;011-020;74;89
S-03001;021-030;160;139
S-03001;031-040;193;177
S-03001;041-050;148;158
S-03001;051-060;147;185
S-03001;061-070;149;138
S-03001;071-080;74;82
