CODI_DIVISIO_TERRITORIAL;EDAT;NRE_HOMES;NRE_DONES
S-01001;000-010;67;76
S-01001;011-020;68;67
S-01001;021-030;71;61
S-01001;031-040;97;82
S-01001;041-050;119;126
S-01001;051-060;92;107
S-01001;061-070;101;116
S-01001;071-080;75;85
S-01001;80+;27;58
S-01002;000-010;43;50
S-01002;011-020;77;57
S-01002;021-030;55;72
S-01002;031-040;72;71
S-01002;041-050;89;114
S-01002;051-060;82;102
S-01002;061-070;63;68
S-01002;071-080;43;71
S-01002;80+;38;85
S-01003;000-010;45;35
S-01003;011-020;32;50
S-01003;021-030;53;51
S-01003;031-040;62;68
S-01003;041-050;75;83
S-01003;051-060;67;76
S-01003;061-070;48;58
S-01003;071-080;39;61
S-01003;80+;45;53
S-01004;000-010;72;52
S-01004;011-020;68;64
S-01004;021-030;57;63
S-01004;031-040;69;78
S-01004;041-050;133;126
S-01004;051-060;106;107
S-01004;061-070;79;94
S-01004;071-080;73;80
S-01004;80+;43;70
S-01005;000-010;74;75
S-01005;011-020;76;70
S-01005;021-030;56;63
S-01005;031-040;105;104
S-01005;041-050;126;128
S-01005;051-060;86;108
S-01005;061-070;66;97
S-01005;071-080;61;85
S-01005;80+;58;104
S-01007;000-010;50;45
S-01007;011-020;32;71
S-01007;021-030;67;57
S-01007;031-040;66;69
S-01007;041-050;90;98
S-01007;051-060;75;85
S-01007;061-070;96;117
S-01007;071-080;54;65
S-01007;80+;31;69
S-02001;000-010;71;68
S-02001;011-020;81;71
S-02001;021-030;55;62
S-02001;031-040;98;94
S-02001;041-050;119;130
S-02001;051-060;74;86
S-02001;061-070;72;83
S-02001;071-080;56;70
S-02001;80+;45;60
S-02002;000-010;60;68
S-02002;011-020;70;73
S-02002;021-030;103;92
S-02002;031-040;106;106
S-02002;041-050;119;108
S-02002;051-060;123;157
S-02002;061-070;149;152
S-02002;071-080;63;79
S-02002;80+;29;58
S-02003;000-010;38;43
S-02003;011-020;44;47
S-02003;021-030;36;43
S-02003;031-040;48;68
S-02003;041-050;93;97
S-02003;051-060;65;59
S-02003;061-070;47;56
S-02003;071-080;39;48
S-02003;80+;20;50
S-02004;000-010;104;66
S-02004;011-020;115;94
S-02004;021-030;124;101
S-02004;031-040;110;104
S-02004;041-050;131;159
S-02004;051-060;142;174
S-02004;061-070;120;129
S-02004;071-080;93;136
S-02004;80+;57;104
S-02005;000-010;56;52
S-02005;011-020;74;69
S-02005;021-030;66;49
S-02005;031-040;90;93
S-02005;041-050;122;106
S-02005;051-060;80;72
S-02005;061-070;59;90
S-02005;071-080;66;67
S-02005;80+;26;50
S-02007;000-010;50;66
S-02007;011-020;56;58
S-02007;021-030;68;60
S-02007;031-040;105;85
S-02007;041-050;136;116
S-02007;051-060;87;85
S-02007;061-070;57;62
S-02007;071-080;51;71
S-02007;80+;30;58
S-02008;000-010;103;121
S-02008;011-020;106;85
S-02008;021-030;97;102
S-02008;031-040;145;144
S-02008;041-050;176;193
S-02008;051-060;145;166
S-02008;061-070;134;172
S-02008;071-080;87;131
S-02008;80+;74;100
S-02009;000-010;63;59
S-02009;011-020;67;57
S-02009;021-030;77;65
S-02009;031-040;102;87
S-02009;041-050;117;101
S-02009;051-060;85;74
S-02009;061-070;35;44
S-02009;071-080;32;64
S-02009;80+;36;54
S-02010;000-010;87;77
S-02010;011-020;85;86
S-02010;021-030;78;94
S-02010;031-040;105;101
S-02010;041-050;141;153
S-02010;051-060;103;98
S-02010;061-070;47;57
S-02010;071-080;63;76
S-02010;80+;44;50
S-02011;000-010;60;35
S-02011;011-020;87;61
S-02011;021-030;66;65
S-02011;031-040;103;78
S-02011;041-050;127;118
S-02011;051-060;86;101
S-02011;061-070;75;108
S-02011;071-080;94;118
S-02011;80+;39;62
S-02012;000-010;51;47
S-02012;011-020;54;62
S-02012;021-030;60;60
S-02012;031-040;70;77
S-02012;041-050;103;94
S-02012;051-060;67;70
S-02012;061-070;47;60
S-02012;071-080;37;45
S-02012;80+;18;37
S-02013;000-010;60;48
S-02013;011-020;58;60
S-02013;021-030;68;65
S-02013;031-040;89;73
S-02013;041-050;112;82
S-02013;051-060;92;77
S-02013;061-070;69;72
S-02013;071-080;64;85
S-02013;80+;25;41
S-02015;000-010;53;54
S-02015;011-020;50;47
S-02015;021-030;60;64
S-02015;031-040;85;65
S-02015;041-050;95;68
S-02015;051-060;64;65
S-02015;061-070;46;59
S-02015;071-080;57;75
S-02015;80+;34;55
S-03001;000-010;211;191
S-03001;011-020;180;148
S-03001;021-030;159;168
S-03001;031-040;329;310
S-03001;041-050;311;296
S-03001;051-060;208;227
S-03001;061-070;185;203
S-03001;071-080;104;113
S-03001;80+;40;75
S-03003;000-010;107;96
S-03003;011-020;108;87
S-03003;021-030;89;94
S-03003;031-040;137;133
S-03003;041-050;177;176
S-03003;051-060;142;132
S-03003;061-070;81;108
S-03003;071-080;72;75
S-03003;80+;38;73
S-03004;000-010;93;75
S-03004;011-020;115;107
S-03004;021-030;91;73
S-03004;031-040;95;95
S-03004;041-050;171;182
S-03004;051-060;122;138
S-03004;061-070;94;110
S-03004;071-080;60;71
S-03004;80+;24;48
S-03005;000-010;104;81
S-03005;011-020;110;69
S-03005;021-030;57;56
S-03005;031-040;126;137
S-03005;041-050;177;163
S-03005;051-060;110;109
S-03005;061-070;86;99
S-03005;071-080;54;57
S-03005;80+;35;60
S-03006;000-010;63;60
S-03006;011-020;78;66
S-03006;021-030;66;59
S-03006;031-040;81;89
S-03006;041-050;100;103
S-03006;051-060;91;112
S-03006;061-070;67;83
S-03006;071-080;48;48
S-03006;80+;22;45
S-03007;000-010;50;61
S-03007;011-020;60;71
S-03007;021-030;48;56
S-03007;031-040;73;79
S-03007;041-050;101;120
S-03007;051-060;81;98
S-03007;061-070;80;88
S-03007;071-080;54;72
S-03007;80+;30;60
S-03008;000-010;28;28
S-03008;011-020;41;42
S-03008;021-030;28;33
S-03008;031-040;38;53
S-03008;041-050;64;65
S-03008;051-060;46;54
S-03008;061-070;47;46
S-03008;071-080;28;35
S-03008;80+;21;27
S-03009;000-010;70;73
S-03009;011-020;83;75
S-03009;021-030;91;79
S-03009;031-040;90;106
S-03009;041-050;143;151
S-03009;051-060;132;141
S-03009;061-070;97;127
S-03009;071-080;80;109
S-03009;80+;60;99
S-03010;000-010;31;26
S-03010;011-020;40;39
S-03010;021-030;58;47
S-03010;031-040;50;35
S-03010;041-050;77;74
S-03010;051-060;70;76
S-03010;061-070;40;34
S-03010;071-080;56;91
S-03010;80+;39;57
S-03011;000-010;59;36
S-03011;011-020;68;52
S-03011;021-030;54;60
S-03011;031-040;95;81
S-03011;041-050;112;115
S-03011;051-060;88;94
S-03011;061-070;66;76
S-03011;071-080;58;61
S-03011;80+;30;36
S-03013;000-010;141;146
S-03013;011-020;144;114
S-03013;021-030;51;40
S-03013;031-040;111;112
S-03013;041-050;236;225
S-03013;051-060;123;110
S-03013;061-070;54;55
S-03013;071-080;37;34
S-03013;80+;3;12
S-03014;000-010;129;115
S-03014;011-020;91;76
S-03014;021-030;41;43
S-03014;031-040;89;109
S-03014;041-050;184;179
S-03014;051-060;102;95
S-03014;061-070;61;61
S-03014;071-080;26;41
S-03014;80+;17;32
S-04001;000-010;110;80
S-04001;011-020;212;198
S-04001;021-030;96;77
S-04001;031-040;93;98
S-04001;041-050;256;277
S-04001;051-060;165;149
S-04001;061-070;88;101
S-04001;071-080;47;53
S-04001;80+;18;32
S-04002;000-010;70;68
S-04002;011-020;97;90
S-04002;021-030;64;62
S-04002;031-040;86;106
S-04002;041-050;151;165
S-04002;051-060;123;127
S-04002;061-070;89;85
S-04002;071-080;46;75
S-04002;80+;42;57
S-04003;000-010;108;82
S-04003;011-020;80;64
S-04003;021-030;64;65
S-04003;031-040;95;119
S-04003;041-050;169;157
S-04003;051-060;92;90
S-04003;061-070;70;96
S-04003;071-080;53;72
S-04003;80+;32;49
S-04004;000-010;80;81
S-04004;011-020;136;107
S-04004;021-030;142;113
S-04004;031-040;123;135
S-04004;041-050;183;174
S-04004;051-060;167;201
S-04004;061-070;146;179
S-04004;071-080;102;107
S-04004;80+;60;121
S-04005;000-010;89;94
S-04005;011-020;118;134
S-04005;021-030;106;84
S-04005;031-040;115;115
S-04005;041-050;206;196
S-04005;051-060;150;160
S-04005;061-070;95;89
S-04005;071-080;56;60
S-04005;80+;27;67
S-04006;000-010;163;135
S-04006;011-020;157;179
S-04006;021-030;133;117
S-04006;031-040;153;164
S-04006;041-050;279;262
S-04006;051-060;197;172
S-04006;061-070;118;132
S-04006;071-080;56;65
S-04006;80+;33;67
S-04007;000-010;51;39
S-04007;011-020;74;70
S-04007;021-030;68;65
S-04007;031-040;59;70
S-04007;041-050;104;103
S-04007;051-060;116;113
S-04007;061-070;105;125
S-04007;071-080;71;74
S-04007;80+;23;44
S-04008;000-010;49;39
S-04008;011-020;66;54
S-04008;021-030;80;61
S-04008;031-040;71;91
S-04008;041-050;98;107
S-04008;051-060;102;112
S-04008;061-070;87;107
S-04008;071-080;68;69
S-04008;80+;26;59
S-04009;000-010;39;32
S-04009;011-020;60;55
S-04009;021-030;46;50
S-04009;031-040;57;58
S-04009;041-050;59;75
S-04009;051-060;74;71
S-04009;061-070;50;55
S-04009;071-080;33;39
S-04009;80+;28;33
S-04010;000-010;78;69
S-04010;011-020;71;54
S-04010;021-030;83;70
S-04010;031-040;82;94
S-04010;041-050;125;108
S-04010;051-060;85;92
S-04010;061-070;57;71
S-04010;071-080;42;41
S-04010;80+;16;39
S-04011;000-010;94;88
S-04011;011-020;68;80
S-04011;021-030;85;67
S-04011;031-040;127;127
S-04011;041-050;145;152
S-04011;051-060;102;113
S-04011;061-070;82;87
S-04011;071-080;34;69
S-04011;80+;24;49
S-04012;000-010;56;67
S-04012;011-020;100;98
S-04012;021-030;48;64
S-04012;031-040;88;75
S-04012;041-050;135;143
S-04012;051-060;97;89
S-04012;061-070;75;84
S-04012;071-080;50;68
S-04012;80+;28;64
S-04013;000-010;35;39
S-04013;011-020;71;67
S-04013;021-030;67;66
S-04013;031-040;48;60
S-04013;041-050;75;82
S-04013;051-060;108;117
S-04013;061-070;66;81
S-04013;071-080;49;46
S-04013;80+;15;30
S-04014;000-010;69;71
S-04014;011-020;211;180
S-04014;021-030;148;151
S-04014;031-040;86;80
S-04014;041-050;167;203
S-04014;051-060;268;277
S-04014;061-070;170;153
S-04014;071-080;66;67
S-04014;80+;22;29
S-04015;000-010;57;52
S-04015;011-020;105;105
S-04015;021-030;83;81
S-04015;031-040;63;68
S-04015;041-050;106;133
S-04015;051-060;127;137
S-04015;061-070;75;88
S-04015;071-080;39;32
S-04015;80+;4;12
S-04016;000-010;81;93
S-04016;011-020;190;156
S-04016;021-030;84;83
S-04016;031-040;82;91
S-04016;041-050;218;246
S-04016;051-060;181;173
S-04016;061-070;90;93
S-04016;071-080;45;47
S-04016;80+;17;30
S-05001;000-010;107;96
S-05001;011-020;122;128
S-05001;021-030;113;91
S-05001;031-040;104;105
S-05001;041-050;201;211
S-05001;051-060;166;168
S-05001;061-070;117;132
S-05001;071-080;77;115
S-05001;80+;72;131
S-05002;000-010;40;33
S-05002;011-020;47;51
S-05002;021-030;19;36
S-05002;031-040;23;29
S-05002;041-050;67;75
S-05002;051-060;54;57
S-05002;061-070;29;50
S-05002;071-080;53;87
S-05002;80+;27;37
S-05003;000-010;176;163
S-05003;011-020;165;160
S-05003;021-030;113;139
S-05003;031-040;228;211
S-05003;041-050;241;250
S-05003;051-060;203;212
S-05003;061-070;192;198
S-05003;071-080;94;114
S-05003;80+;49;95
S-05004;000-010;153;120
S-05004;011-020;97;74
S-05004;021-030;70;62
S-05004;031-040;184;184
S-05004;041-050;203;209
S-05004;051-060;120;117
S-05004;061-070;86;104
S-05004;071-080;68;77
S-05004;80+;25;52
S-05005;000-010;75;75
S-05005;011-020;126;94
S-05005;021-030;98;85
S-05005;031-040;108;120
S-05005;041-050;166;180
S-05005;051-060;167;160
S-05005;061-070;79;107
S-05005;071-080;99;128
S-05005;80+;57;81
S-05006;000-010;46;47
S-05006;011-020;65;60
S-05006;021-030;60;62
