CODI_DIVISIO_TERRITORIAL;EDAT;NRE_HOMES;NRE_DONES
S-01001;000-010;54;72
S-01001;011-020;59;52
S-01001;021-030;63;68
S-01001;031-040;109;104
S-01001;041-050;83;101
S-01001;051-060;113;121
S-01001;061-070;103;103
S-01001;071-080;47;58
S-01001;80+;32;64
S-01002;000-010;50;53
S-01002;011-020;56;45
S-01002;021-030;54;59
S-01002;031-040;95;117
S-01002;041-050;93;93
S-01002;051-060;76;77
S-01002;061-070;45;68
S-01002;071-080;42;66
S-01002;80+;49;99
S-01003;000-010;38;34
S-01003;011-020;33;38
S-01003;021-030;49;38
S-01003;031-040;53;62
S-01003;041-050;66;68
S-01003;051-060;66;63
S-01003;061-070;42;66
S-01003;071-080;43;56
S-01003;80+;38;53
S-01004;000-010;38;27
S-01004;011-020;32;41
S-01004;021-030;35;38
S-01004;031-040;53;67
S-01004;041-050;77;55
S-01004;051-060;49;54
S-01004;061-070;57;62
S-01004;071-080;34;37
S-01004;80+;20;34
S-01005;000-010;60;51
S-01005;011-020;59;39
S-01005;021-030;66;53
S-01005;031-040;98;97
S-01005;041-050;94;101
S-01005;051-060;80;101
S-01005;061-070;73;94
S-01005;071-080;62;87
S-01005;80+;62;119
S-01007;000-010;31;41
S-01007;011-020;43;45
S-01007;021-030;55;57
S-01007;031-040;75;83
S-01007;041-050;79;86
S-01007;051-060;78;105
S-01007;061-070;74;94
S-01007;071-080;46;57
S-01007;80+;44;80
S-01008;000-010;27;18
S-01008;011-020;29;28
S-01008;021-030;23;27
S-01008;031-040;46;27
S-01008;041-050;52;55
S-01008;051-060;38;49
S-01008;061-070;27;28
S-01008;071-080;34;41
S-01008;80+;18;43
S-02001;000-010;62;63
S-02001;011-020;50;41
S-02001;021-030;70;62
S-02001;031-040;105;100
S-02001;041-050;105;106
S-02001;051-060;71;87
S-02001;061-070;65;69
S-02001;071-080;60;70
S-02001;80+;46;72
S-02002;000-010;57;57
S-02002;011-020;84;79
S-02002;021-030;97;86
S-02002;031-040;92;108
S-02002;041-050;107;120
S-02002;051-060;148;163
S-02002;061-070;97;105
S-02002;071-080;39;55
S-02002;80+;33;64
S-02003;000-010;43;23
S-02003;011-020;33;33
S-02003;021-030;36;42
S-02003;031-040;68;79
S-02003;041-050;60;65
S-02003;051-060;60;71
S-02003;061-070;50;44
S-02003;071-080;33;46
S-02003;80+;26;47
S-02004;000-010;89;67
S-02004;011-020;112;96
S-02004;021-030;113;85
S-02004;031-040;115;119
S-02004;041-050;138;150
S-02004;051-060;117;158
S-02004;061-070;109;136
S-02004;071-080;79;97
S-02004;80+;63;117
S-02005;000-010;58;53
S-02005;011-020;49;46
S-02005;021-030;57;50
S-02005;031-040;132;109
S-02005;041-050;89;73
S-02005;051-060;68;74
S-02005;061-070;82;85
S-02005;071-080;50;55
S-02005;80+;27;64
S-02007;000-010;55;56
S-02007;011-020;54;47
S-02007;021-030;77;63
S-02007;031-040;129;131
S-02007;041-050;106;87
S-02007;051-060;78;69
S-02007;061-070;61;77
S-02007;071-080;55;76
S-02007;80+;24;57
S-02008;000-010;98;83
S-02008;011-020;86;88
S-02008;021-030;96;70
S-02008;031-040;120;152
S-02008;041-050;160;169
S-02008;051-060;131;164
S-02008;061-070;122;149
S-02008;071-080;93;103
S-02008;80+;62;93
S-02009;000-010;76;60
S-02009;011-020;45;60
S-02009;021-030;70;73
S-02009;031-040;119;89
S-02009;041-050;118;97
S-02009;051-060;57;47
S-02009;061-070;49;54
S-02009;071-080;51;72
S-02009;80+;35;51
S-02010;000-010;71;68
S-02010;011-020;67;79
S-02010;021-030;76;73
S-02010;031-040;145;142
S-02010;041-050;138;101
S-02010;051-060;69;72
S-02010;061-070;75;96
S-02010;071-080;60;63
S-02010;80+;29;67
S-02011;000-010;72;59
S-02011;011-020;70;57
S-02011;021-030;81;80
S-02011;031-040;141;114
S-02011;041-050;115;112
S-02011;051-060;84;105
S-02011;061-070;132;141
S-02011;071-080;68;77
S-02011;80+;31;47
S-02012;000-010;44;61
S-02012;011-020;49;36
S-02012;021-030;71;49
S-02012;031-040;94;102
S-02012;041-050;85;73
S-02012;051-060;61;62
S-02012;061-070;54;48
S-02012;071-080;41;48
S-02012;80+;21;47
S-02013;000-010;63;52
S-02013;011-020;50;52
S-02013;021-030;77;59
S-02013;031-040;103;91
S-02013;041-050;111;86
S-02013;051-060;77;71
S-02013;061-070;76;93
S-02013;071-080;51;54
S-02013;80+;21;47
