CODI_DIVISIO_TERRITORIAL;CODI_NACIONALITAT;DESC_NACIONALITAT;NRE_HOMES;NRE_DONES
S-01001;;ALTRES;22;33
S-01001;108;ESPANYA;640;697
S-01002;;ALTRES;31;23
S-01002;115;ITALIA;6;5
S-01002;108;ESPANYA;509;635
S-01002;351;VENEZUELA;3;4
S-01002;341;BOLIVIA;6;5
S-01003;128;ROMANIA;4;3
S-01003;108;ESPANYA;406;447
S-01003;;ALTRES;24;31
S-01004;108;ESPANYA;374;403
S-01004;;ALTRES;13;19
S-01005;407;XINA;7;8
S-01005;340;ARGENTINA;6;6
S-01005;348;PERU;3;3
S-01005;115;ITALIA;6;6
S-01005;;ALTRES;30;43
S-01005;108;ESPANYA;597;699
S-01005;148;ARMENIA;5;4
S-01007;341;BOLIVIA;3;6
S-01007;108;ESPANYA;486;595
S-01007;;ALTRES;18;24
S-01008;108;ESPANYA;286;312
S-01008;;ALTRES;12;16
S-02001;;ALTRES;33;27
S-02001;228;MARROC;12;6
S-02001;108;ESPANYA;556;612
S-02001;341;BOLIVIA;8;11
S-02001;345;ECUADOR;5;8
S-02001;407;XINA;6;4
S-02002;341;BOLIVIA;5;6
S-02002;;ALTRES;34;27
S-02002;108;ESPANYA;743;813
S-02003;108;ESPANYA;383;425
S-02003;104;BULGARIA;3;4
S-02003;;ALTRES;16;21
S-02003;343;COLOMBIA;4;4
S-02003;315;CUBA;3;4
S-02003;345;ECUADOR;5;3
S-02004;;ALTRES;20;23
S-02004;347;PARAGUAI;5;7
S-02004;128;ROMANIA;3;5
S-02004;115;ITALIA;11;7
S-02004;340;ARGENTINA;7;5
S-02004;108;ESPANYA;852;967
S-02004;344;CHILE;3;7
S-02005;;ALTRES;50;24
S-02005;340;ARGENTINA;5;4
S-02005;341;BOLIVIA;3;4
S-02005;128;ROMANIA;12;12
S-02005;350;URUGUAI;5;4
S-02005;228;MARROC;13;9
S-02005;407;XINA;6;9
S-02005;347;PARAGUAI;3;9
S-02005;108;ESPANYA;536;571
S-02007;239;SENEGAL;4;3
S-02007;344;CHILE;5;4
S-02007;433;SIRIA;4;4
S-02007;407;XINA;12;16
S-02007;228;MARROC;45;39
S-02007;108;ESPANYA;525;539
S-02007;;ALTRES;37;52
S-02007;410;INDIA;21;10
S-02007;426;PAKISTAN;23;10
S-02007;128;ROMANIA;13;11
S-02007;345;ECUADOR;17;14
S-02007;326;REP. DOMINICANA;3;4
S-02008;345;ECUADOR;4;5
S-02008;407;XINA;6;6
S-02008;;ALTRES;32;43
S-02008;108;ESPANYA;919;1038
S-02009;216;GAMBIA;6;4
S-02009;341;BOLIVIA;5;13
S-02009;139;GEORGIA;12;3
S-02009;345;ECUADOR;13;12
S-02009;128;ROMANIA;9;9
S-02009;108;ESPANYA;412;443
S-02009;347;PARAGUAI;3;3
S-02009;234;NIGERIA;5;3
S-02009;;ALTRES;57;49
S-02009;426;PAKISTAN;29;5
S-02009;410;INDIA;34;21
S-02009;228;MARROC;61;56
S-02009;350;URUGUAI;3;5
S-02010;341;BOLIVIA;8;5
S-02010;128;ROMANIA;9;5
S-02010;228;MARROC;28;42
S-02010;115;ITALIA;4;4
S-02010;108;ESPANYA;656;664
S-02010;;ALTRES;35;26
S-02010;345;ECUADOR;6;4
S-02010;407;XINA;10;4
S-02011;148;ARMENIA;18;13
S-02011;407;XINA;7;8
S-02011;;ALTRES;36;16
S-02011;228;MARROC;12;9
S-02011;345;ECUADOR;6;9
S-02011;128;ROMANIA;3;4
S-02011;426;PAKISTAN;8;3
S-02011;410;INDIA;10;3
S-02011;108;ESPANYA;708;735
S-02012;228;MARROC;12;6
S-02012;347;PARAGUAI;5;4
S-02012;;ALTRES;26;17
S-02012;218;GUINEA;6;8
S-02012;108;ESPANYA;458;482
S-02012;407;XINA;9;10
S-02012;426;PAKISTAN;8;3
S-02013;407;XINA;4;3
S-02013;410;INDIA;14;3
S-02013;108;ESPANYA;475;476
S-02013;345;ECUADOR;8;6
S-02013;228;MARROC;87;73
S-02013;234;NIGERIA;4;4
S-02013;128;ROMANIA;7;10
S-02013;;ALTRES;39;42
S-02013;348;PERU;3;4
S-02013;426;PAKISTAN;21;10
S-02015;407;XINA;5;6
S-02015;;ALTRES;30;26
S-02015;108;ESPANYA;436;488
S-02015;341;BOLIVIA;5;4
S-02015;228;MARROC;24;25
S-03001;410;INDIA;18;14
S-03001;347;PARAGUAI;3;6
S-03001;315;CUBA;4;3
S-03001;128;ROMANIA;8;6
S-03001;407;XINA;48;29
S-03001;345;ECUADOR;7;8
S-03001;108;ESPANYA;930;921
S-03001;228;MARROC;20;15
