CODI_DIVISIO_TERRITORIAL;CODI_NACIONALITAT;DESC_NACIONALITAT;NRE_HOMES;NRE_DONES
S-01001;;ALTRES;20;24
S-01001;108;ESPANYA;644;689
S-01002;115;ITALIA;5;6
S-01002;108;ESPANYA;503;618
S-01002;;ALTRES;33;27
S-01003;108;ESPANYA;410;461
S-01003;;ALTRES;30;34
S-01004;;ALTRES;10;24
S-01004;108;ESPANYA;370;409
S-01005;108;ESPANYA;602;718
S-01005;115;ITALIA;7;7
S-01005;341;BOLIVIA;3;9
S-01005;148;ARMENIA;5;4
S-01005;348;PERU;3;3
S-01005;;ALTRES;32;29
S-01005;407;XINA;4;4
S-01005;340;ARGENTINA;10;10
S-01007;115;ITALIA;5;3
S-01007;;ALTRES;16;21
S-01007;108;ESPANYA;469;593
S-01008;;ALTRES;10;8
S-01008;108;ESPANYA;280;315
S-02001;407;XINA;7;6
S-02001;345;ECUADOR;3;5
S-02001;341;BOLIVIA;9;11
S-02001;228;MARROC;7;6
S-02001;;ALTRES;27;22
S-02001;108;ESPANYA;569;623
S-02002;;ALTRES;35;33
S-02002;108;ESPANYA;753;803
S-02003;108;ESPANYA;394;412
S-02003;;ALTRES;24;29
S-02003;345;ECUADOR;4;3
S-02003;315;CUBA;3;4
S-02004;344;CHILE;3;5
S-02004;347;PARAGUAI;4;4
S-02004;108;ESPANYA;836;955
S-02004;115;ITALIA;8;5
S-02004;;ALTRES;15;21
S-02004;128;ROMANIA;3;5
S-02004;340;ARGENTINA;7;5
S-02005;326;REP. DOMINICANA;3;4
S-02005;350;URUGUAI;3;3
S-02005;347;PARAGUAI;4;5
S-02005;128;ROMANIA;14;15
S-02005;;ALTRES;38;23
S-02005;407;XINA;5;4
S-02005;340;ARGENTINA;4;3
S-02005;341;BOLIVIA;6;7
S-02005;228;MARROC;11;5
S-02005;108;ESPANYA;538;570
S-02005;345;ECUADOR;4;6
S-02007;433;SIRIA;4;4
S-02007;;ALTRES;39;55
S-02007;139;GEORGIA;4;3
S-02007;128;ROMANIA;13;11
S-02007;410;INDIA;26;10
S-02007;345;ECUADOR;14;13
S-02007;426;PAKISTAN;15;6
S-02007;407;XINA;7;9
S-02007;228;MARROC;54;42
S-02007;108;ESPANYA;515;539
S-02008;108;ESPANYA;940;1047
S-02008;;ALTRES;33;39
S-02008;345;ECUADOR;4;7
S-02009;426;PAKISTAN;24;3
S-02009;345;ECUADOR;16;15
S-02009;343;COLOMBIA;3;3
S-02009;108;ESPANYA;413;414
S-02009;135;UCRAINA;4;3
S-02009;228;MARROC;65;52
S-02009;216;GAMBIA;5;4
S-02009;;ALTRES;60;55
S-02009;410;INDIA;44;21
S-02009;128;ROMANIA;6;7
S-02010;115;ITALIA;5;3
S-02010;341;BOLIVIA;7;4
S-02010;345;ECUADOR;10;9
S-02010;228;MARROC;33;35
S-02010;108;ESPANYA;652;677
S-02010;407;XINA;6;4
S-02010;;ALTRES;46;34
S-02011;148;ARMENIA;19;14
S-02011;108;ESPANYA;711;734
S-02011;407;XINA;7;6
S-02011;426;PAKISTAN;10;3
S-02011;343;COLOMBIA;3;3
S-02011;228;MARROC;12;15
S-02011;345;ECUADOR;8;10
S-02011;;ALTRES;42;19
S-02012;426;PAKISTAN;5;5
S-02012;340;ARGENTINA;6;3
S-02012;228;MARROC;8;6
S-02012;347;PARAGUAI;4;4
S-02012;;ALTRES;21;14
S-02012;218;GUINEA;6;8
S-02012;108;ESPANYA;461;481
S-02012;345;ECUADOR;5;3
S-02012;407;XINA;8;11
S-02013;345;ECUADOR;12;6
S-02013;;ALTRES;44;33
S-02013;344;CHILE;3;3
S-02013;234;NIGERIA;4;5
S-02013;410;INDIA;12;4
S-02013;228;MARROC;98;67
S-02013;426;PAKISTAN;22;12
S-02013;108;ESPANYA;485;503
S-02013;128;ROMANIA;4;6
S-02013;348;PERU;4;6
S-02015;;ALTRES;36;25
S-02015;228;MARROC;22;24
S-02015;108;ESPANYA;443;488
S-03001;228;MARROC;15;11
S-03001;345;ECUADOR;7;11
S-03001;407;XINA;50;43
S-03001;410;INDIA;10;11
S-03001;347;PARAGUAI;3;4
S-03001;340;ARGENTINA;3;8
S-03001;341;BOLIVIA;9;11
S-03001;350;URUGUAI;4;3
S-03001;108;ESPANYA;918;922
S-03001;426;PAKISTAN;14;16
S-03001;128;ROMANIA;6;5
S-03001;;ALTRES;27;32
S-03001;154;RUSIA;4;7
S-03001;148;ARMENIA;5;4
S-03003;407;XINA;22;17
S-03003;;ALTRES;25;25
S-03003;135;UCRAINA;4;3
S-03003;341;BOLIVIA;16;11
S-03003;228;MARROC;14;23
S-03003;343;COLOMBIA;6;10
S-03003;340;ARGENTINA;4;3
S-03003;108;ESPANYA;778;812
S-03003;345;ECUADOR;8;10
S-03003;128;ROMANIA;9;6
S-03003;426;PAKISTAN;10;5
S-03004;;ALTRES;44;41
S-03004;108;ESPANYA;781;782
S-03004;407;XINA;3;4
S-03005;340;ARGENTINA;3;4
S-03005;115;ITALIA;10;6
S-03005;350;URUGUAI;6;4
S-03005;407;XINA;33;28
S-03005;135;UCRAINA;3;3
S-03005;343;COLOMBIA;3;4
S-03005;108;ESPANYA;578;647
S-03005;341;BOLIVIA;9;8
S-03005;228;MARROC;36;16
S-03005;410;INDIA;4;4
S-03005;;ALTRES;26;20
S-03005;345;ECUADOR;7;5
S-03006;345;ECUADOR;5;9
S-03006;108;ESPANYA;495;571
S-03006;115;ITALIA;4;3
S-03006;315;CUBA;5;4
S-03006;341;BOLIVIA;6;7
S-03006;228;MARROC;9;4
S-03006;407;XINA;12;5
S-03006;;ALTRES;12;11
S-03007;344;CHILE;4;3
S-03007;;ALTRES;17;19
S-03007;135;UCRAINA;3;3
S-03007;108;ESPANYA;524;617
S-03008;108;ESPANYA;277;343
S-03008;341;BOLIVIA;7;10
S-03008;407;XINA;4;5
S-03008;128;ROMANIA;4;3
S-03008;;ALTRES;17;13
S-03008;343;COLOMBIA;4;3
S-03009;108;ESPANYA;261;318
S-03009;345;ECUADOR;5;4
S-03009;;ALTRES;25;22
S-03010;228;MARROC;10;3
S-03010;347;PARAGUAI;3;5
S-03010;;ALTRES;28;32
S-03010;350;URUGUAI;4;3
S-03010;108;ESPANYA;425;461
S-03010;407;XINA;7;4
S-03011;135;UCRAINA;6;3
S-03011;407;XINA;6;6
S-03011;108;ESPANYA;471;548
S-03011;;ALTRES;20;26
S-03011;228;MARROC;13;8
S-03012;348;PERU;4;3
S-03012;108;ESPANYA;486;575
S-03012;342;BRASIL;4;6
S-03012;228;MARROC;6;10
S-03012;148;ARMENIA;5;4
S-03012;;ALTRES;17;39
S-03013;228;MARROC;12;7
S-03013;;ALTRES;33;45
S-03013;122;POLONIA;17;3
S-03013;108;ESPANYA;1187;1162
S-03013;115;ITALIA;16;14
S-03013;110;FRANÇA;14;10
S-03013;126;ALEMANIA;6;5
S-03013;407;XINA;60;70
S-04001;;ALTRES;18;20
S-04001;228;MARROC;13;22
S-04001;108;ESPANYA;1045;1001
S-04002;108;ESPANYA;724;753
S-04002;348;PERU;3;3
S-04002;123;PORTUGAL;5;4
S-04002;;ALTRES;19;19
S-04002;128;ROMANIA;3;5
S-04002;154;RUSIA;3;3
S-04003;108;ESPANYA;575;625
S-04003;128;ROMANIA;11;14
S-04003;;ALTRES;23;20
S-04004;108;ESPANYA;1052;1103
S-04004;128;ROMANIA;6;6
S-04004;342;BRASIL;3;4
S-04004;;ALTRES;19;22
S-04004;407;XINA;23;23
S-04005;;ALTRES;9;21
S-04005;108;ESPANYA;727;724
S-04005;122;POLONIA;4;3
S-04005;345;ECUADOR;3;7
S-04005;407;XINA;8;3
S-04006;108;ESPANYA;1157;1195
S-04006;;ALTRES;18;30
S-04006;228;MARROC;15;10
S-04006;345;ECUADOR;3;6
S-04006;407;XINA;6;5
S-04007;115;ITALIA;3;5
S-04007;;ALTRES;10;12
S-04007;108;ESPANYA;861;923
S-04008;;ALTRES;17;13
S-04008;128;ROMANIA;12;9
S-04008;108;ESPANYA;696;743
S-04008;348;PERU;3;4
S-04009;108;ESPANYA;425;456
S-04009;128;ROMANIA;5;3
S-04009;228;MARROC;3;4
S-04009;;ALTRES;33;25
S-04010;343;COLOMBIA;7;5
S-04010;345;ECUADOR;10;4
S-04010;;ALTRES;20;15
S-04010;128;ROMANIA;3;4
S-04010;228;MARROC;15;18
S-04010;108;ESPANYA;540;576
S-04010;407;XINA;12;12
S-04011;108;ESPANYA;604;661
S-04011;345;ECUADOR;6;6
S-04011;;ALTRES;19;17
S-04011;128;ROMANIA;15;5
S-04012;;ALTRES;14;20
S-04012;351;VENEZUELA;3;3
S-04012;108;ESPANYA;661;692
S-04013;108;ESPANYA;554;560
S-04013;;ALTRES;21;16
S-04014;108;ESPANYA;1198;1240
S-04014;;ALTRES;15;16
S-04014;343;COLOMBIA;5;3
S-04015;108;ESPANYA;704;709
S-04015;;ALTRES;8;9
S-04016;;ALTRES;23;10
S-04016;108;ESPANYA;1024;1019
S-05001;;ALTRES;30;42
S-05001;344;CHILE;6;3
