CODI_DIVISIO_TERRITORIAL;CODI_NACIONALITAT;DESC_NACIONALITAT;NRE_HOMES;NRE_DONES
S-01001;108;ESPANYA;646;695
S-01001;;ALTRES;20;33
S-01002;108;ESPANYA;508;646
S-01002;407;XINA;5;3
S-01002;;ALTRES;23;27
S-01002;228;MARROC;5;3
S-01002;341;BOLIVIA;4;4
S-01002;115;ITALIA;8;4
S-01003;;ALTRES;23;26
S-01003;108;ESPANYA;407;455
S-01004;108;ESPANYA;369;390
S-01004;;ALTRES;13;23
S-01005;108;ESPANYA;604;686
S-01005;128;ROMANIA;3;5
S-01005;115;ITALIA;6;5
S-01005;148;ARMENIA;5;4
S-01005;;ALTRES;26;34
S-01005;407;XINA;8;11
S-01005;340;ARGENTINA;4;6
S-01007;108;ESPANYA;490;599
S-01007;104;BULGARIA;3;3
S-01007;341;BOLIVIA;3;6
S-01007;;ALTRES;24;22
S-01008;;ALTRES;10;16
S-01008;115;ITALIA;3;3
S-01008;108;ESPANYA;292;308
S-02001;;ALTRES;37;25
S-02001;228;MARROC;7;9
S-02001;108;ESPANYA;573;613
S-02001;341;BOLIVIA;7;8
S-02001;345;ECUADOR;7;4
S-02001;326;REP. DOMINICANA;3;4
S-02001;407;XINA;3;3
S-02002;341;BOLIVIA;4;6
S-02002;108;ESPANYA;744;801
S-02002;;ALTRES;31;30
S-02003;343;COLOMBIA;4;3
S-02003;108;ESPANYA;393;440
S-02003;;ALTRES;19;26
S-02003;115;ITALIA;6;3
S-02004;115;ITALIA;9;5
S-02004;;ALTRES;39;31
S-02004;340;ARGENTINA;6;4
S-02004;344;CHILE;3;7
S-02004;347;PARAGUAI;4;4
S-02004;108;ESPANYA;857;966
S-02005;;ALTRES;39;35
S-02005;340;ARGENTINA;4;5
S-02005;345;ECUADOR;5;3
S-02005;128;ROMANIA;9;7
S-02005;326;REP. DOMINICANA;3;5
S-02005;228;MARROC;22;11
S-02005;407;XINA;4;5
S-02005;108;ESPANYA;547;566
S-02007;345;ECUADOR;8;12
S-02007;344;CHILE;6;9
S-02007;433;SIRIA;4;4
S-02007;;ALTRES;27;42
S-02007;407;XINA;16;17
S-02007;135;UCRAINA;3;3
S-02007;154;RUSIA;3;3
S-02007;139;GEORGIA;5;4
S-02007;128;ROMANIA;16;11
S-02007;347;PARAGUAI;5;3
S-02007;228;MARROC;38;36
S-02007;239;SENEGAL;3;3
S-02007;426;PAKISTAN;18;8
S-02007;410;INDIA;16;11
S-02007;108;ESPANYA;529;541
S-02008;340;ARGENTINA;3;3
S-02008;;ALTRES;36;33
S-02008;407;XINA;5;5
S-02008;108;ESPANYA;921;1033
S-02009;351;VENEZUELA;4;3
S-02009;108;ESPANYA;421;450
S-02009;;ALTRES;47;40
S-02009;139;GEORGIA;11;3
S-02009;426;PAKISTAN;30;7
S-02009;128;ROMANIA;9;9
S-02009;216;GAMBIA;6;4
S-02009;410;INDIA;26;13
S-02009;348;PERU;4;3
S-02009;228;MARROC;65;64
S-02009;345;ECUADOR;13;9
S-02009;340;ARGENTINA;3;5
S-02010;341;BOLIVIA;8;4
S-02010;228;MARROC;28;38
S-02010;108;ESPANYA;647;667
S-02010;407;XINA;9;6
S-02010;345;ECUADOR;4;4
S-02010;;ALTRES;38;27
S-02010;128;ROMANIA;13;7
S-02010;115;ITALIA;3;3
S-02011;426;PAKISTAN;11;3
S-02011;108;ESPANYA;710;723
S-02011;407;XINA;8;7
S-02011;148;ARMENIA;19;12
S-02011;410;INDIA;8;4
S-02011;447;UZBEKISTAN;3;3
S-02011;154;RUSIA;3;3
S-02011;;ALTRES;34;21
S-02011;228;MARROC;9;7
S-02012;;ALTRES;25;16
S-02012;228;MARROC;11;9
S-02012;347;PARAGUAI;5;5
S-02012;108;ESPANYA;455;480
S-02012;407;XINA;5;7
S-02012;218;GUINEA;7;5
S-02013;345;ECUADOR;7;5
S-02013;239;SENEGAL;5;3
S-02013;426;PAKISTAN;27;11
S-02013;410;INDIA;14;5
S-02013;148;ARMENIA;4;5
S-02013;;ALTRES;32;35
S-02013;128;ROMANIA;6;11
S-02013;108;ESPANYA;468;467
S-02013;228;MARROC;76;70
S-02013;407;XINA;5;3
S-02013;348;PERU;3;3
S-02015;108;ESPANYA;438;485
S-02015;;ALTRES;26;23
S-02015;228;MARROC;29;26
S-02015;341;BOLIVIA;4;3
S-02015;218;GUINEA;4;3
S-02015;407;XINA;4;4
S-03001;108;ESPANYA;917;915
S-03001;410;INDIA;17;16
