CODI_DIVISIO_TERRITORIAL;BARRI;COMUNITAT_AUTONOMA;ZERO_14ANYS;DE_15_24ANYS;DE_25_44ANYS;DE_45_64ANYS;DE_65ANYS_I_MES;TOTAL
B-26;Montigalà;Galícia;0;0;2;28;18;48
B-26;Montigalà;Madrid (Comunitat de);0;0;14;9;3;26
B-26;Montigalà;Múrcia (Regió de);0;0;1;18;19;38
B-26;Montigalà;Navarra (Comunitat Foral de);0;0;0;2;1;3
B-26;Montigalà;País Basc;1;1;0;9;1;12
B-26;Montigalà;Rioja (La);0;0;0;2;0;2
B-27;Sant Joan De Llefià;Andalusia;11;8;59;787;1.020;1.885
B-27;Sant Joan De Llefià;Aragó;0;0;7;25;50;82
B-27;Sant Joan De Llefià;Astúries (Principat d');0;0;2;9;7;18
B-27;Sant Joan De Llefià;Balears (Illes);3;0;4;3;1;11
B-27;Sant Joan De Llefià;Canàries;1;0;0;1;2;4
B-27;Sant Joan De Llefià;Cantàbria;0;0;1;3;1;5
B-27;Sant Joan De Llefià;Castella-la Manxa;1;0;5;107;193;306
B-27;Sant Joan De Llefià;Castella-Lleó;1;1;10;108;136;256
B-27;Sant Joan De Llefià;Catalunya;1.884;856;2.480;1.360;203;6.783
B-27;Sant Joan De Llefià;Ceuta-Melilla;3;0;3;26;26;58
B-27;Sant Joan De Llefià;Comunitat Valenciana;5;1;9;23;22;60
B-27;Sant Joan De Llefià;estranger;115;337;1.120;536;74;2.182
B-27;Sant Joan De Llefià;Extremadura;2;0;12;196;242;452
B-27;Sant Joan De Llefià;Galícia;0;0;10;56;88;154
B-27;Sant Joan De Llefià;Madrid (Comunitat de);1;4;13;12;14;44
B-27;Sant Joan De Llefià;Múrcia (Regió de);1;0;1;22;60;84
B-27;Sant Joan De Llefià;Navarra (Comunitat Foral de);0;0;1;2;2;5
B-27;Sant Joan De Llefià;País Basc;4;0;6;8;2;20
B-27;Sant Joan De Llefià;Rioja (La);0;0;0;1;0;1
B-28;Sant Antoni De Llefià;Andalusia;6;2;56;854;1.281;2.199
B-28;Sant Antoni De Llefià;Aragó;1;1;9;54;104;169
B-28;Sant Antoni De Llefià;Astúries (Principat d');0;0;4;9;6;19
B-28;Sant Antoni De Llefià;Balears (Illes);3;1;6;4;0;14
B-28;Sant Antoni De Llefià;Canàries;2;0;4;3;1;10
B-28;Sant Antoni De Llefià;Cantàbria;0;0;1;3;4;8
B-28;Sant Antoni De Llefià;Castella-la Manxa;1;1;14;159;282;457
