CODI_DIVISIO_TERRITORIAL;BARRI;COMUNITAT_AUTONOMA;ZERO_14ANYS;DE_15_24ANYS;DE_25_44ANYS;DE_45_64ANYS;DE_65ANYS_I_MES;TOTAL
B-01;Centre;Andalusia;5;2;18;193;177;395
B-01;Centre;Aragó;0;0;9;16;38;63
B-01;Centre;Astúries (Principat d );1;0;2;1;1;5
B-01;Centre;Balears (Illes);0;1;2;2;3;8
B-01;Centre;Canàries;0;1;3;0;3;7
B-01;Centre;Cantàbria;0;0;2;3;2;7
B-01;Centre;Castella-la Manxa;0;0;6;32;20;58
B-01;Centre;Castella-Lleó;1;0;6;27;40;74
B-01;Centre;Catalunya;1180;606;1805;1635;1058;6284
B-01;Centre;Ceuta-Melilla;0;1;0;7;4;12
B-01;Centre;Comunitat Valenciana;1;1;8;17;28;55
B-01;Centre;estranger;69;63;216;124;28;500
B-01;Centre;Extremadura;0;0;2;42;34;78
B-01;Centre;Galícia;0;0;7;15;20;42
B-01;Centre;Madrid (Comunitat de);0;3;12;13;6;34
B-01;Centre;Múrcia (Regió de);0;0;3;19;52;74
B-01;Centre;Navarra (Comunitat Foral de);1;0;3;3;5;12
B-01;Centre;País Basc;0;0;8;6;2;16
B-01;Centre;Rioja (La);0;0;3;0;5;8
B-02;Coll I Pujol;Andalusia;0;0;28;137;159;324
B-02;Coll I Pujol;Aragó;1;0;10;25;38;74
B-02;Coll I Pujol;Astúries (Principat d );0;1;5;6;1;13
B-02;Coll I Pujol;Balears (Illes);1;1;6;2;3;13
B-02;Coll I Pujol;Canàries;0;0;2;2;1;5
B-02;Coll I Pujol;Cantàbria;0;0;1;1;3;5
B-02;Coll I Pujol;Castella-la Manxa;1;0;5;22;35;63
B-02;Coll I Pujol;Castella-Lleó;1;0;11;33;35;80
B-02;Coll I Pujol;Catalunya;939;667;1789;1846;1529;6770
B-02;Coll I Pujol;Ceuta-Melilla;0;0;2;3;0;5
B-02;Coll I Pujol;Comunitat Valenciana;0;1;11;20;43;75
B-02;Coll I Pujol;estranger;69;61;314;165;39;648
B-02;Coll I Pujol;Extremadura;0;0;2;19;20;41
B-02;Coll I Pujol;Galícia;0;0;6;9;22;37
B-02;Coll I Pujol;Madrid (Comunitat de);0;0;10;12;15;37
B-02;Coll I Pujol;Múrcia (Regió de);0;0;2;6;39;47
B-02;Coll I Pujol;Navarra (Comunitat Foral de);0;0;5;2;4;11
B-02;Coll I Pujol;País Basc;1;1;8;2;3;15
B-02;Coll I Pujol;Rioja (La);0;0;0;2;5;7
B-03;Dalt De La Vila;Andalusia;1;1;15;90;336;443
B-03;Dalt De La Vila;Aragó;0;0;3;9;56;68
B-03;Dalt De La Vila;Astúries (Principat d );0;0;0;3;3;6
B-03;Dalt De La Vila;Balears (Illes);0;0;1;0;0;1
B-03;Dalt De La Vila;Canàries;0;0;0;0;1;1
B-03;Dalt De La Vila;Cantàbria;0;0;0;1;1;2
B-03;Dalt De La Vila;Castella-la Manxa;1;0;0;12;69;82
B-03;Dalt De La Vila;Castella-Lleó;1;0;3;16;91;111
B-03;Dalt De La Vila;Catalunya;443;223;625;473;318;2082
B-03;Dalt De La Vila;Ceuta-Melilla;0;0;0;6;10;16
B-03;Dalt De La Vila;Comunitat Valenciana;2;0;0;4;24;30
B-03;Dalt De La Vila;estranger;49;111;343;126;23;652
B-03;Dalt De La Vila;Extremadura;0;0;3;24;66;93
B-03;Dalt De La Vila;Galícia;1;0;1;0;22;24
B-03;Dalt De La Vila;Madrid (Comunitat de);2;0;5;3;8;18
B-03;Dalt De La Vila;Múrcia (Regió de);0;0;1;7;47;55
B-03;Dalt De La Vila;Navarra (Comunitat Foral de);1;0;0;0;6;7
B-03;Dalt De La Vila;País Basc;0;0;2;1;1;4
B-03;Dalt De La Vila;Rioja (La);1;0;0;0;2;3
B-04;Gorg;Andalusia;0;0;5;28;33;66
B-04;Gorg;Aragó;0;0;2;1;6;9
B-04;Gorg;Astúries (Principat d );0;0;0;2;0;2
B-04;Gorg;Canàries;0;0;0;1;0;1
B-04;Gorg;Cantàbria;0;0;0;1;1;2
B-04;Gorg;Castella-la Manxa;0;0;2;5;5;12
