CODI_DIVISIO_TERRITORIAL;BARRI;COMUNITAT_AUTONOMA;ZERO_14ANYS;DE_15_24ANYS;DE_25_44ANYS;DE_45_64ANYS;DE_65ANYS_I_MES;TOTAL
B-25;Puigfred;Extremadura;0;1;23;183;105;312
B-25;Puigfred;Galícia;0;0;6;59;44;109
B-25;Puigfred;Madrid (Comunitat de);6;3;14;20;2;45
B-25;Puigfred;Múrcia (Regió de);1;0;4;17;43;65
B-25;Puigfred;Navarra (Comunitat Foral de);0;1;1;4;3;9
B-25;Puigfred;País Basc;2;0;4;8;0;14
B-25;Puigfred;Rioja (La);0;0;0;1;3;4
B-26;Montigalà;Andalusia;0;4;86;506;192;788
B-26;Montigalà;Aragó;1;0;6;32;13;52
B-26;Montigalà;Astúries (Principat d );0;0;6;5;0;11
B-26;Montigalà;Balears (Illes);0;0;5;1;0;6
B-26;Montigalà;Canàries;0;0;0;1;0;1
B-26;Montigalà;Cantàbria;0;0;1;1;1;3
B-26;Montigalà;Castella-la Manxa;0;0;8;72;31;111
B-26;Montigalà;Castella-Lleó;0;1;15;67;29;112
B-26;Montigalà;Catalunya;1513;776;1979;1097;92;5457
B-26;Montigalà;Ceuta-Melilla;0;0;1;12;4;17
B-26;Montigalà;Comunitat Valenciana;1;0;11;16;4;32
B-26;Montigalà;estranger;30;36;172;124;15;377
B-26;Montigalà;Extremadura;1;0;14;125;35;175
B-26;Montigalà;Galícia;0;0;6;34;14;54
B-26;Montigalà;Madrid (Comunitat de);1;0;15;8;3;27
B-26;Montigalà;Múrcia (Regió de);0;0;2;20;18;40
B-26;Montigalà;Navarra (Comunitat Foral de);0;0;0;2;1;3
B-26;Montigalà;País Basc;1;1;2;9;0;13
B-26;Montigalà;Rioja (La);0;0;0;2;0;2
B-27;Sant Joan De Llefià;Andalusia;14;2;104;1011;872;2003
B-27;Sant Joan De Llefià;Aragó;0;0;6;36;43;85
B-27;Sant Joan De Llefià;Astúries (Principat d );1;0;1;9;7;18
B-27;Sant Joan De Llefià;Balears (Illes);3;2;2;4;1;12
